content_reference_key,content_badge,_fivetran_synced
73fb7ef2-d1f5-4f0c-8938-c26eec9ebad0,STANDARD,2023-07-06 14:33:54.922000+00:00
d60a7229-6a99-4f9a-884c-3717588a8544,STANDARD,2023-07-06 14:32:39.654000+00:00
e1614358-972e-4965-9bc9-0212b68268d4,STANDARD,2023-07-06 14:33:54.360000+00:00
7e514614-4fd6-4103-8999-409f2daeb553,STANDARD,2023-07-06 14:33:54.921000+00:00
82cd228f-5158-4f28-89af-93333ffe913a,STANDARD,2023-07-06 14:32:39.652000+00:00
1b86d9eb-4bfc-4430-a445-77eb84daa5be,STANDARD,2023-07-06 14:32:39.651000+00:00
e1614358-972e-4965-9bc9-0212b68268d4,GENERATED,2023-07-06 14:33:54.360000+00:00
c9b21a2a-ff30-4b58-9a57-5ec5b5a93258,GENERATED,2023-07-06 14:33:54.359000+00:00
10cff7ec-5430-4282-809e-d0604f986347,GENERATED,2023-07-06 14:32:39.651000+00:00
c9b21a2a-ff30-4b58-9a57-5ec5b5a93258,STANDARD,2023-07-06 14:33:54.359000+00:00
7e514614-4fd6-4103-8999-409f2daeb553,GENERATED,2023-07-06 14:33:54.921000+00:00
73fb7ef2-d1f5-4f0c-8938-c26eec9ebad0,GENERATED,2023-07-06 14:33:54.922000+00:00
991cfced-2351-4314-acd4-d68aa171641c,STANDARD,2023-07-06 14:32:39.653000+00:00
82cd228f-5158-4f28-89af-93333ffe913a,GENERATED,2023-07-06 14:32:39.652000+00:00
a7961a3f-089d-4e9f-96be-c02aef3e36fd,STANDARD,2023-07-06 14:32:39.649000+00:00
10cff7ec-5430-4282-809e-d0604f986347,STANDARD,2023-07-06 14:32:39.650000+00:00
