_fivetran_id,financial_event_group_id,amazon_order_id,fee_reason,seller_sku,fn_sku,fee_description,asin,_fivetran_synced
DM5PDsDX9bZ4GwuPyrGNtoeJMBY=,KIHVodcMWe3aWnT3sT4udOJMG3ASH0iS88sycXMD-nw,xn1r8no711,,,,,,2023-05-10 17:35:05.128000+00:00
/V8NKHHJmkJ/yqav/7TgJm7nHoM=,FyuKuJTHqglknpS0UEsPmRky1AfUH57vVB3nVfSr-rs,,,,,,,2023-05-10 17:50:55.599000+00:00
Sab8j4aXPdv2Ac2As87pXFmcd+0=,sKOhpOH_B0hnrcUyTFTL_38skV82X1Rzbd2STwxifGM,114-8839111-6205815,,plus2-black-3mo,,Pinwheel Plus 2 Kids Smartphone (Age 8-18) with Built-in Parent Management System | 700+ Vetted App Library with Child Safety Ratings | No Social Media or Web Browser | Unlocked for Any Cell Carrier,,2023-05-24 20:30:33.697000+00:00
/V8NKHHJmkJ/yqav/7TgJm7nHoM=,jgJqQxLe-sBgSKBfFIXPM-HW6CPr6s8zZXsb5zN1jKM,,,,,,,2023-05-10 17:47:34.296000+00:00
vpAfnS95R4iBwmzDKJp+t8BR4WQ=,jgJqQxLe-sBgSKBfFIXPM-HW6CPr6s8zZXsb5zN1jKM,lnMCQWPQhq,,,,,,2023-05-10 17:47:34.297000+00:00
dS/zGZxGdq1BIMVc7Uu6mrNwp28=,sKOhpOH_B0hnrcUyTFTL_38skV82X1Rzbd2STwxifGM,111-0007703-5585850,,slim5-blue-3mo,,Pinwheel Slim 5 Kids Smartphone (Age 8-18) with Built-in Parent Management System | 700+ Vetted App Library with Child Safety Ratings | No Social Media or Web Browser | Unlocked for Any Cell Carrier,,2023-05-20 20:30:45.977000+00:00
4ye8wJ9ENVHgAArmrEvgyRAbCdA=,9Fe8MT6r7yd6IvwRCTGXzaqembXeXabtsgyMtnXzefQ,113-2329245-8918639,,slim5-blue-3mo,,Pinwheel Slim 5 Kids Smartphone (Age 8-18) with Built-in Parent Management System | 700+ Vetted App Library with Child Safety Ratings | No Social Media or Web Browser | Unlocked for Any Cell Carrier,,2023-05-29 20:30:59.836000+00:00
m41PYdylEa340S0nOKQN4iV2l78=,tjZ3J6W0X-zVu08zYKn7YX1TnEb0S4NEqpnzg0BuKbE,112-7779946-1147438,,plus2-black-12mo,,Pinwheel Plus 2 Kids Smartphone (Age 8-18) with Built-in Parent Management System | 700+ Vetted App Library with Child Safety Ratings | No Social Media or Web Browser | Unlocked for Any Cell Carrier,,2023-06-09 02:31:22.618000+00:00
sPtioyNKh+tXQ9ATfle5WRAS5UI=,Do4NB-vgmxoCyi8Cv1w_npot8nCr4i4H-cEmZEY2muE,aadRcL201c,,,,,,2023-06-26 20:31:42.721000+00:00
/V8NKHHJmkJ/yqav/7TgJm7nHoM=,ITCrLWaZKBP6_Niy1SNpaH-eNnHbC_P1Utv4GhGgNN8,,,,,,,2023-05-10 17:36:21.895000+00:00
oIqzjWDBJ2MamX9tbzJ6u+Ck6Ek=,jgJqQxLe-sBgSKBfFIXPM-HW6CPr6s8zZXsb5zN1jKM,112-7840091-6341828,,slim5-blue-3mo,,Pinwheel Slim 5 Kids Smartphone (Age 8-18) with Built-in Parent Management System | 700+ Vetted App Library with Child Safety Ratings | No Social Media or Web Browser | Unlocked for Any Cell Carrier,,2023-05-10 17:47:34.284000+00:00
/V8NKHHJmkJ/yqav/7TgJm7nHoM=,sKOhpOH_B0hnrcUyTFTL_38skV82X1Rzbd2STwxifGM,,,,,,,2023-05-20 20:30:45.980000+00:00
