asin,marketplace_id,link,variant,height,width,_fivetran_synced
B0BKRXGT52,ATVPDKIKX0DER,https://m.media-amazon.com/images/I/51YJ-FJZP5L.jpg,PT06,1080,1080,2023-07-06 14:33:53.751000+00:00
B0BKRXGT52,ATVPDKIKX0DER,https://m.media-amazon.com/images/I/317vP4WBYuL._SL75_.jpg,MAIN,75,75,2023-07-06 14:33:53.751000+00:00
B0BKR4XZGJ,ATVPDKIKX0DER,https://m.media-amazon.com/images/I/515m9BFbEjL.jpg,MAIN,1500,1500,2023-07-06 14:33:53.528000+00:00
B0BKR4YKB2,ATVPDKIKX0DER,https://m.media-amazon.com/images/I/31T3B+L9wML.jpg,PT06,500,500,2023-07-06 14:33:53.437000+00:00
B0BKR3VM44,ATVPDKIKX0DER,https://m.media-amazon.com/images/I/415LdlnR4jL.jpg,PT04,500,500,2023-07-06 14:33:53.623000+00:00
B0BKRXGT52,ATVPDKIKX0DER,https://m.media-amazon.com/images/I/61QzjivQLtL.jpg,PT02,1080,1080,2023-07-06 14:33:53.751000+00:00
B0BKR4XZGJ,ATVPDKIKX0DER,https://m.media-amazon.com/images/I/31qkQd4x5oL.jpg,PT03,500,500,2023-07-06 14:33:53.528000+00:00
B0BKR4YKB2,ATVPDKIKX0DER,https://m.media-amazon.com/images/I/51BiwKydouL.jpg,PT04,1080,1080,2023-07-06 14:33:53.436000+00:00
B0BKR3VM44,ATVPDKIKX0DER,https://m.media-amazon.com/images/I/41fQEMD6lLL._SL75_.jpg,PT01,75,75,2023-07-06 14:33:53.623000+00:00
B0BKRXGT52,ATVPDKIKX0DER,https://m.media-amazon.com/images/I/31S2HK-N8PL.jpg,PT01,354,500,2023-07-06 14:33:53.751000+00:00
B0BKR4XZGJ,ATVPDKIKX0DER,https://m.media-amazon.com/images/I/51uVVheQhwL.jpg,PT04,1080,1080,2023-07-06 14:33:53.528000+00:00
B0BKR4YKB2,ATVPDKIKX0DER,https://m.media-amazon.com/images/I/61ATopDa3HL.jpg,MAIN,2500,2500,2023-07-06 14:33:53.435000+00:00
B0BKR3VM44,ATVPDKIKX0DER,https://m.media-amazon.com/images/I/61LY1U-fp2L.jpg,PT01,1080,1080,2023-07-06 14:33:53.622000+00:00
