amazon_order_id,order_item_id,asin,seller_sku,title,quantity_ordered,quantity_shipped,product_info_detail_number_of_items,points_granted_points_number,points_granted_monetary_currency_code,points_granted_monetary_amount,item_price_currency_code,item_price_amount,shipping_price_currency_code,shipping_price_amount,item_tax_currency_code,item_tax_amount,shipping_tax_currency_code,shipping_tax_amount,shipping_discount_currency_code,shipping_discount_amount,shipping_discount_tax_currency_code,shipping_discount_tax_amount,promotion_discount_currency_code,promotion_discount_amount,promotion_discount_tax_currency_code,promotion_discount_tax_amount,is_gift,condition_note,condition_id,condition_subtype_id,scheduled_delivery_start_date,scheduled_delivery_end_date,price_designation,tax_collection_model,tax_collection_responsible_party,serial_number_required,is_transparency,ioss_number,store_chain_store_id,deemed_reseller_category,buyer_requested_cancel_is_buyer_requested_cancel,buyer_requested_cancel_buyer_cancel_reason,item_approval_context_approval_type,item_approval_context_approval_status,_fivetran_synced
113-9249887-1965036,75799797254361,B0BKR3VM44,plus2-black-3mo,Pinwheel Plus 2 Kids Smartphone (Age 8-18) with Built-in Parent Management System | 700+ Vetted App Library with Child Safety Ratings | No Social Medi,1,1,1,,,,USD,369.00,,,USD,30.44,,,,,,,USD,0.00,USD,0.00,False,,,,,,,MarketplaceFacilitator,"Amazon Services, Inc.",,False,,,,,,,,2023-05-10 17:28:49.130000+00:00
113-5089517-0614665,48216962932290,B0BKR4XZGJ,plus2-black-12mo,"Pinwheel Plus 2 Smartphone for Kids + 12 mo Caregiver Portal Subscription (Parental Controls Software) - Includes Case, Screen Protector",1,1,1,,,,USD,493.99,,,USD,0.00,,,,,,,USD,0.00,USD,0.00,False,,,,,,,MarketplaceFacilitator,"Amazon Services, Inc.",,False,,,,,,,,2023-05-10 17:24:53.167000+00:00
112-8962182-3865034,64483078104938,B0BKR4YKB2,slim5-blue-3mo,"Pinwheel Slim 5 Smartphone for Kids + 3 mo Caregiver Portal Subscription (Parental Controls Software) - Includes Case, Screen Protector",2,2,1,,,,USD,487.98,,,USD,40.26,,,,,,,USD,0.00,USD,0.00,False,,,,,,,MarketplaceFacilitator,"Amazon Services, Inc.",,False,,,,,,,,2023-05-10 17:24:55.884000+00:00
112-6125560-9989037,46243079520738,B0BKR4YKB2,slim5-blue-3mo,"Pinwheel Slim 5 Smartphone for Kids + 3 mo Caregiver Portal Subscription (Parental Controls Software) - Includes Case, Screen Protector",1,1,1,,,,USD,243.99,,,USD,23.18,,,,,,,USD,0.00,USD,0.00,False,,,,,,,MarketplaceFacilitator,"Amazon Services, Inc.",,False,,,,,,,,2023-05-10 17:24:54.918000+00:00
111-7485459-3775454,43603410804962,B0BKR4XZGJ,plus2-black-12mo,"Pinwheel Plus 2 Smartphone for Kids + 12 mo Caregiver Portal Subscription (Parental Controls Software) - Includes Case, Screen Protector",1,1,1,,,,USD,494.00,,,USD,38.29,,,,,,,USD,0.00,USD,0.00,True,,,,,,,MarketplaceFacilitator,"Amazon Services, Inc.",,False,,,,,,,,2023-05-10 17:24:51.979000+00:00
112-2404634-5052246,77444277974921,B0BKR3VM44,plus2-black-3mo,Pinwheel Plus 2 Kids Smartphone (Age 8-18) with Built-in Parent Management System | 700+ Vetted App Library with Child Safety Ratings | No Social Medi,2,2,1,,,,USD,738.00,USD,29.64,USD,0.00,USD,0.00,USD,29.64,USD,0.00,USD,0.00,USD,0.00,False,,,,,,,,,,False,,,,,,,,2023-05-10 17:29:34.091000+00:00
111-2285982-9390654,76423338076001,B0BKR4XZGJ,plus2-black-12mo,Pinwheel Plus 2 Kids Smartphone (Age 8-18) with Built-in Parent Management System | 700+ Vetted App Library with Child Safety Ratings | No Social Medi,1,1,1,,,,USD,489.00,,,USD,40.34,,,,,,,USD,0.00,USD,0.00,False,,,,,,,MarketplaceFacilitator,"Amazon Services, Inc.",,False,,,,,,,,2023-05-10 17:28:50.876000+00:00
111-9084828-3378654,76565668675681,B0BKR3VM44,plus2-black-3mo,Pinwheel Plus 2 Kids Smartphone (Age 8-18) with Built-in Parent Management System | 700+ Vetted App Library with Child Safety Ratings | No Social Medi,1,1,1,,,,USD,369.00,,,USD,23.25,,,,,,,USD,0.00,USD,0.00,False,,,,,,,MarketplaceFacilitator,"Amazon Services, Inc.",,False,,,,,,,,2023-05-10 17:28:50.976000+00:00
113-1474166-4939429,74402680828281,B0BKR3VM44,plus2-black-3mo,"Pinwheel Plus 2 Smartphone for Kids + 3 mo Caregiver Portal Subscription (Parental Controls Software) - Includes Case, Screen Protector",0,0,1,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,False,,,,,,,,2023-05-10 17:27:12.073000+00:00
112-2883805-3768267,70610877044321,B0BKR4XZGJ,plus2-black-12mo,"Pinwheel Plus 2 Smartphone for Kids + 12 mo Caregiver Portal Subscription (Parental Controls Software) - Includes Case, Screen Protector",1,1,1,,,,USD,493.99,,,USD,43.84,,,,,,,USD,0.00,USD,0.00,False,,,,,,,MarketplaceFacilitator,"Amazon Services, Inc.",,False,,,,,,,,2023-05-10 17:26:07.516000+00:00
112-7754569-8002636,44988569581234,B0BKR4XZGJ,plus2-black-12mo,"Pinwheel Plus 2 Smartphone for Kids + 12 mo Caregiver Portal Subscription (Parental Controls Software) - Includes Case, Screen Protector",1,1,1,,,,USD,493.99,,,USD,0.00,,,,,,,USD,0.00,USD,0.00,False,,,,,,,,,,False,,,,,,,,2023-05-10 17:24:53.680000+00:00
111-5803858-9603463,07399098072338,B0BKR4YKB2,slim5-blue-3mo,"Pinwheel Slim 5 Smartphone for Kids + 3 mo Caregiver Portal Subscription (Parental Controls Software) - Includes Case, Screen Protector",1,1,1,,,,USD,243.99,,,USD,17.08,,,,,,,USD,0.00,USD,0.00,False,,,,,,,MarketplaceFacilitator,"Amazon Services, Inc.",,False,,,,,,,,2023-05-10 17:24:54.219000+00:00
112-8306307-4053830,75958127884641,B0BKR3VM44,plus2-black-3mo,Pinwheel Plus 2 Kids Smartphone (Age 8-18) with Built-in Parent Management System | 700+ Vetted App Library with Child Safety Ratings | No Social Medi,2,2,1,,,,USD,738.00,USD,29.64,USD,0.00,USD,0.00,USD,29.64,USD,0.00,USD,0.00,USD,0.00,False,,,,,,,,,,False,,,,,,,,2023-05-10 17:28:49.807000+00:00
112-3626483-8880231,77402068290601,B0BKR4YKB2,slim5-blue-3mo,Pinwheel Slim 5 Kids Smartphone (Age 8-18) with Built-in Parent Management System | 700+ Vetted App Library with Child Safety Ratings | No Social Medi,1,1,1,,,,USD,239.00,USD,2.99,USD,19.72,USD,0.00,USD,2.99,USD,0.00,USD,0.00,USD,0.00,False,,,,,,,MarketplaceFacilitator,"Amazon Services, Inc.",,False,,,,,,,,2023-05-10 17:29:33.990000+00:00
112-8945428-4151406,75271527705921,B0BKR3VM44,plus2-black-3mo,Pinwheel Plus 2 Kids Smartphone (Age 8-18) with Built-in Parent Management System | 700+ Vetted App Library with Child Safety Ratings | No Social Media or Web Browser | Unlocked for Any Cell Carrier,0,0,1,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,False,,,,,,,,2023-05-10 17:27:37.885000+00:00
112-5678838-2983404,55101559187346,B0BKRXGT52,slim5-blue-12mo,"Pinwheel Slim 5 Smartphone for Kids + 12 mo Caregiver Portal Subscription (Parental Controls Software) - Includes Case, Screen Protector",1,1,1,,,,USD,363.99,,,USD,30.03,,,,,,,USD,0.00,USD,0.00,False,,,,,,,MarketplaceFacilitator,"Amazon Services, Inc.",,False,,,,,,,,2023-05-10 17:26:07.297000+00:00
