amazon_order_id,method,_fivetran_synced
112-4951142-0957044,Standard,2023-05-10 17:27:37.983000+00:00
112-2672774-4515400,Standard,2023-05-10 17:28:51.075000+00:00
112-8306307-4053830,Standard,2023-05-10 17:28:49.703000+00:00
114-7514670-9771419,Standard,2023-05-10 17:24:56.078000+00:00
113-9185807-0138617,Standard,2023-05-10 17:28:50.301000+00:00
114-7901413-6832216,Standard,2023-05-10 17:26:09.270000+00:00
114-8253796-0924233,Standard,2023-05-10 17:26:09.059000+00:00
114-2047342-3345011,Standard,2023-05-10 17:28:49.609000+00:00
113-3188240-8177067,Standard,2023-05-10 17:29:33.113000+00:00
113-0080882-2559436,Standard,2023-05-10 17:30:05.268000+00:00
113-5411842-4081027,Standard,2023-05-10 17:29:32.264000+00:00
113-2918412-7405865,Standard,2023-05-10 17:24:52.945000+00:00
113-6987256-2569009,Standard,2023-05-10 17:27:37.495000+00:00
111-2824992-5331402,Standard,2023-05-10 17:28:50.694000+00:00
111-1110814-6646617,Standard,2023-05-10 17:26:41.614000+00:00
112-4664385-4611444,Standard,2023-05-10 17:26:08.865000+00:00
112-0311016-6177876,Standard,2023-05-10 17:30:05.833000+00:00
112-5344270-0686668,Standard,2023-05-10 17:24:53.794000+00:00
112-8852464-8444266,Standard,2023-05-10 17:24:53.265000+00:00
113-3251390-8272259,Standard,2023-05-10 17:24:52.192000+00:00
112-2875200-9545013,Standard,2023-05-10 17:27:37.395000+00:00
112-6719144-3989049,Standard,2023-05-10 17:27:36.459000+00:00
114-4396215-6000218,Standard,2023-05-10 17:26:07.622000+00:00
114-6099277-1741010,Standard,2023-05-10 17:26:08.248000+00:00
114-8782573-2028259,Standard,2023-05-10 17:29:34.280000+00:00
114-8186385-7119444,Standard,2023-05-12 08:32:25.155000+00:00
114-0187742-3819471,Standard,2023-05-21 20:29:46.579000+00:00
111-3217245-8307420,Standard,2023-05-26 14:29:50.648000+00:00
111-7608483-1933032,Standard,2023-06-01 08:32:34.020000+00:00
113-6952343-6416263,Standard,2023-06-04 20:30:04.169000+00:00
111-1568998-4431455,Standard,2023-06-08 02:31:22.205000+00:00
114-3950259-3696231,Standard,2023-06-14 14:31:06.046000+00:00
113-4873566-6429847,Standard,2023-06-18 08:30:50.266000+00:00
114-7084160-3143431,Standard,2023-06-24 02:31:19.425000+00:00
113-0227232-6411400,Standard,2023-05-10 17:26:06.507000+00:00
111-4739512-2518648,Standard,2023-05-10 17:26:41.417000+00:00
113-0284007-7300247,Standard,2023-05-10 17:28:48.751000+00:00
114-5111145-8080245,Standard,2023-05-10 17:27:15.236000+00:00
114-3643244-8246620,Standard,2023-05-10 17:24:54.006000+00:00
