device_id,manufcaturer,model,carrier
04e18a40a7e15215,samsung,SM-A015V,verizon 
828c2bec916d5b8b,Ulefone,Armor X7,
2d9b66608c6ddaf8,Ulefone,Armor X7 Pro,
43c8d3cfa80a4610,Ulefone,Armor X7 Pro,t-mobile
85e3178b368fed14,samsung,SM-A015M,grameenphone
be2272d892be38a9,Ulefone,Armor X7 Pro,
b373fac18a8ee2bd,samsung,SM-A015M,moov africa bj
2661b25faaeefd46,samsung,SM-A015V,
3a5bc83ba4a44f81,samsung,SM-A015V,
2d9dbbe140121127,samsung,SM-A015V,
6ea89f10979b0c86,samsung,SM-A015V,
cb7ef6e780d511a8,Ulefone,Armor X7 Pro,t-mobile
36bee4d92c4ea33d,Ulefone,Armor X7 Pro,
03b7d443e2315fd2,samsung,SM-A015M,
98c5427cbb485cab,samsung,SM-A015M,
faaf836df4a4469c,samsung,SM-A015M,
06ecbd2603eadda2,samsung,SM-A015M,t-mobile
16eefdc6c02b3934,samsung,SM-A015M,
7879c716788a6f32,samsung,SM-A015M,
4792b30c60cc52bd,samsung,SM-A015M,
089ce1cfce1ec9ab,samsung,SM-A015M,
f3609b88fd6a4829,samsung,SM-A015M,
dbf039c0d52b7606,samsung,SM-A015M,
ac55be188a4122a1,samsung,SM-A015M,
67aa2b7418ec8672,samsung,SM-A015M,t-mobile
9702d41ba120b9f5,samsung,SM-A015M,at&t
21daaf8b7cf417da,samsung,SM-A015M,
a139d1b3d47c6403,samsung,SM-A015M,
bf6363753991bc43,samsung,SM-A015M,mint
b7b7f9eb832d11c1,samsung,SM-A015V,verizon 
4f14e021f187081d,samsung,SM-A015M,
c072c93580576879,Ulefone,Armor X7 Pro,
9e173854cbc280b7,samsung,SM-A015M,t-mobile
6f3137126324eec0,samsung,SM-A015M,
a828ca8013cacc88,samsung,SM-A015M,
c99ecc8c09952678,Ulefone,Armor X7 Pro,
e6e2e66f8d6e68ef,samsung,SM-A015M,t-mobile
0c58c6dd72ba93c4,samsung,SM-A015M,at&t
457c092dea8d9938,Ulefone,Armor X7 Pro,
2072d520d5daca0f,samsung,SM-A015M,
97c2ecf8ff98bd42,samsung,SM-A015V,
b4096cc12b7a40ba,samsung,SM-A015V,verizon 
6d5da0d1f173a512,Ulefone,Armor X7 Pro,t-mobile
476fe38b52044a4f,Ulefone,Armor X7 Pro,
1c0da5fff7e42aee,Ulefone,Armor X7 Pro,airtel
fad9014f6f450ae8,samsung,SM-A015V,Verizon 
34e20eeb1ae73bf4,samsung,SM-A015M,t-mobile
3b7969cb50549eae,samsung,SM-A015M,
8db5c5ff636826f6,samsung,SM-A015M,
1177ba018d5e9300,samsung,SM-A015M,
656d8abbe24205c4,samsung,SM-A015M,
263d36dafe5ce51c,samsung,SM-A015M,
48943ae8728672f9,samsung,SM-A015M,
9a0aa34954f7ada6,samsung,SM-A015M,
cc1901fefdf323dd,Ulefone,Armor X8,
73f2145e7b1e633f,samsung,SM-A015M,t-mobile
01ba14ada40fc1b5,samsung,SM-A015M,
19e5ab829f955410,Ulefone,Armor X7 Pro,
2a11a459cfdec5a4,samsung,SM-A015M,
5bb079167dd0e304,samsung,SM-A015M,
3fc9585df01677af,samsung,SM-A015M,t-mobile
a080d08a6e084a71,samsung,SM-A015M,wireless
48df501f9645c6ce,samsung,SM-A015M,
45385b78cd6e6598,samsung,SM-A015M,
d64e3451ec27569d,samsung,SM-A015M,mint
346602caf00263a7,samsung,SM-A015M,t-mobile
94f0d3d1da8c8541,samsung,SM-A015V,
15aca1c328ea9d1d,samsung,SM-A015M,
5e9292ee3af1f83b,samsung,SM-A015M,
ccc5772116312c4a,Ulefone,Armor X7 Pro,t-mobile
7080fcfee2bde899,samsung,SM-A015M,
e0235cf767d63ab7,Ulefone,Armor X8,
33256ae3c665d338,samsung,SM-A015V,
6e4d67dbeb7abbc0,samsung,SM-A015V,t-mobile
b7c4b7d19e17222a,Ulefone,Armor X8,t-mobile
9b0f87a9419e4e8a,Ulefone,Armor X8,t-mobile
e13d5f2fa74f1247,Ulefone,Armor X8,
