id,ts,children_id,device,messenger_version,os,carrier,network_status,message_type
d5a5fc71591b48518fa8bec904aa27d7,2023-11-01 04:58:11,16c0da93-39c8-4048-a077-666d55363aeb,SM-A136U1,com.pinwheel.messenger@5.39.0+116,Android 13,AT&T,Disconnected,sms
7bf8e1f9c2a346ccb46e46884c80b867,2023-11-22 21:47:04,d1812c0f-e981-4b59-9a62-1a7b8959e17e,Armor X10 Pro,com.pinwheel.messenger@5.39.0+116,Android 11,T-Mobile,Disconnected,mms
c0362b47202d4d5eb574014d31306627,2023-11-22 05:01:02,16c0da93-39c8-4048-a077-666d55363aeb,SM-A136U1,com.pinwheel.messenger@5.39.0+116,Android 13,AT&T,Disconnected,mms
88dcf5054a4a44af8cde792bb2bc80ed,2023-11-22 21:49:29,d1812c0f-e981-4b59-9a62-1a7b8959e17e,Armor X10 Pro,com.pinwheel.messenger@5.39.0+116,Android 11,T-Mobile,Disconnected,sms
a2e15938a2fa4c63a6f7c1eea82d2d17,2023-11-22 21:38:18,d1812c0f-e981-4b59-9a62-1a7b8959e17e,Armor X10 Pro,com.pinwheel.messenger@5.39.0+116,Android 11,T-Mobile,Disconnected,sms
bc0b8d3e82424f169d2ee0ddc1078718,2023-11-22 03:16:43,d1812c0f-e981-4b59-9a62-1a7b8959e17e,Armor X10 Pro,com.pinwheel.messenger@5.39.0+116,Android 11,T-Mobile,Disconnected,sms
03c6a5df2bf34f5d90dda45a921726fc,2023-11-09 20:56:34,43d4fff9-9817-42d4-84c2-f3db53869c6b,G50,com.pinwheel.messenger@5.21.2+86,Android 10,,Connected,mms
6ed9a37c81674cad96c55509f0c6e083,2023-10-11 21:40:03,31716318-d0d8-4390-a325-2c7d16daca3d,G50,com.pinwheel.messenger@5.38.2+115,Android 10,T-Mobile,Disconnected,sms
7c4e3562cd794f909da42056cfda60b9,2023-10-11 21:29:54,31716318-d0d8-4390-a325-2c7d16daca3d,G50,com.pinwheel.messenger@5.38.2+115,Android 10,T-Mobile,Disconnected,sms
1484dea802024baa8bc1eec82d45ceb6,2023-11-08 06:21:03,6e5ca8e2-5fb1-449d-acc4-bb26c54e68e0,SM-A136U1,com.pinwheel.messenger@5.39.0+116,Android 13,AT&T,Disconnected,mms
439bacce129447b0a4f4544ab7b0624b,2023-11-08 05:34:58,6e5ca8e2-5fb1-449d-acc4-bb26c54e68e0,SM-A136U1,com.pinwheel.messenger@5.39.0+116,Android 13,AT&T,Disconnected,sms
0898067ed61b404ca43129b000c2d451,2023-09-11 19:38:50,9009a621-6544-4c78-827b-2047f4409d2b,SM-A015A,com.pinwheel.messenger@5.43.3+126,Android 10,T-Mobile - US,Disconnected,sms
366d53f67d624e178835b0fe727d68e1,2023-10-31 23:39:49,16c0da93-39c8-4048-a077-666d55363aeb,SM-A136U1,com.pinwheel.messenger@5.39.0+116,Android 13,AT&T,Connected,mms
777d3dd4735744698ef92e0ca00c1dd9,2023-10-31 23:31:10,16c0da93-39c8-4048-a077-666d55363aeb,SM-A136U1,com.pinwheel.messenger@5.39.0+116,Android 13,AT&T,Connected,mms
bfa5ed371b97476fac6b54a8298ee758,2023-10-31 22:24:23,c131a0db-b4ac-465e-8db9-3bfd4a89228a,SM-A015V,com.pinwheel.messenger@5.25.0+91,Android 11,,Disconnected,sms
