calendar_date,children_id,outgoing,answered,missed,blocked,rejected,total_calls,total_outgoing_minutes,total_answered_minutes,total_call_minutes,total_users
2023-11-24,0012e448-ebb2-4fd8-a533-08a7e4ac0701,0,0,0,2,0,2,0.0,0.0,0.0,1
2023-11-24,0039af6b-c4e0-4fca-9d65-08b525315ecd,2,0,0,0,0,2,2.55,0.0,2.55,1
2023-11-24,00841a77-5b95-4ef4-bd98-bd8e59675266,4,0,1,0,0,5,2.18,0.0,2.18,1
2023-11-24,00adea74-309b-49ac-b5ba-d5367b3655a9,0,0,5,0,0,5,0.0,0.0,0.0,1
2023-11-24,00d56470-95a4-4b48-aec9-b8ba1fa646ef,8,0,0,0,0,8,192.51,0.0,192.51,1
2023-11-24,0117adf0-dc9f-492d-917f-db5b8a61e2b8,1,1,1,0,0,3,1.18,1.6,2.78,1
2023-11-24,017baa7f-7919-4b09-bd85-b6f66c589471,2,1,1,10,0,14,0.28,5.25,5.53,1
2023-11-24,01a68a5f-0864-4768-a3d0-66551b7c1cc7,2,0,0,0,0,2,1.86,0.0,1.86,1
2023-11-24,01bfefbf-dd42-4e4b-8425-d612b0be7db5,0,0,1,0,0,1,0.0,0.0,0.0,1
2023-11-24,020a920b-3779-410b-89f7-bbd880e05da9,5,5,1,0,0,11,6.6,1.71,8.31,1
2023-11-24,025db01c-8434-4c2f-8259-4c701a4e9301,0,0,2,0,0,2,0.0,0.0,0.0,1
2023-11-24,02812667-9a69-4542-970a-375a048bb9eb,2,1,0,0,0,3,0.03,1.46,1.5,1
2023-11-24,029c8166-a65d-474b-8311-f5223a55aae0,0,1,0,0,0,1,0.0,0.16,0.16,1
2023-11-24,02cb5dcb-0cd1-4c18-aff1-48272c0daf20,2,2,2,0,0,6,0.66,0.63,1.3,1
2023-11-24,02e0dcef-86ac-4bb6-a0bc-2204dd51dae3,1,0,0,0,0,1,0.0,0.0,0.0,1
2023-11-24,0312a43b-d797-4733-81fb-7a38fadd7155,1,0,0,0,0,1,2.11,0.0,2.11,1
2023-11-24,0358275d-bf33-407c-aa06-eee94acb8f44,11,0,0,0,0,11,20.91,0.0,20.91,1
2023-11-24,03895183-3e5c-4042-824d-bf66724cca58,0,1,1,0,0,2,0.0,11.78,11.78,1
2023-11-24,03f7b3c2-35c5-4883-a1cf-6026dffa78a7,0,0,0,1,0,1,0.0,0.0,0.0,1
2023-11-24,044b077e-7ed4-4b5f-a33f-d29bdd11d16e,3,5,2,0,0,10,1.7,3.58,5.28,1
2023-11-24,046ced76-f123-4466-9e3e-157fefc98d17,1,2,0,0,0,3,0.0,2.68,2.68,1
2023-11-24,0483b607-1267-44c1-9a98-4966a966d6a6,1,0,2,0,0,3,0.4,0.0,0.4,1
2023-11-24,04d26ac8-7f66-4d11-b175-45ca52f06d74,1,0,0,1,0,2,0.26,0.0,0.26,1
