ts,child_id,network_response,reason,carrier_identifier
2023-11-24 00:00:41,c738d295-0c89-47bc-a591-7e47bbcb5220,RESTRICTED,"Reason: ServiceState.STATE_EMERGENCY_ONLY, EMERGENCY_ONLY, Description: Your phone's not registered on a network, so you can only make emergency calls.",Ultra
2023-11-24 00:01:41,cd202704-49a6-45f5-b8b7-b0c7e4145e7b,ERROR,"Reason: 1601, ERROR_UNSPECIFIED",Verizon 
2023-11-24 00:03:02,c2da295c-c224-4e0d-b6c1-f580f5f1f4fb,ERROR,"Reason: ServiceState.STATE_OUT_OF_SERVICE, OUT_OF_SERVICE, Description: Mobile network is not available. Connect to a wireless network to make a call.",T-Mobile
2023-11-24 00:04:05,0cc52635-befa-4057-bc8e-39d6d1b03125,ERROR,"Reason: 709, ERROR_UNSPECIFIED",AT&T
2023-11-24 00:09:54,74193862-dd34-41dc-bd6e-0d68dde27e35,ERROR,"Reason: CM_SER_UNAVAILABLE, OUT_OF_SERVICE, Description: Mobile network is not available. Connect to a wireless network to make a call.",T-Mobile
2023-11-24 00:19:20,a5cbe413-d4ac-454c-92b2-9cc61b855a07,UNKNOWN,Reason: null,Mint
2023-11-24 00:23:01,16b2abef-dda6-4a09-808d-90a019c8f1dc,ERROR,"Reason: 487, ERROR_UNSPECIFIED",Verizon 
2023-11-24 00:29:19,fc3d1589-00ab-43ce-bdcf-55b869af0920,ERROR,"Reason: 5480, ERROR_UNSPECIFIED",Verizon 
2023-11-24 00:33:47,91b2ddde-76ad-4a77-8457-5f64851f8ff3,RESTRICTED,"Reason: ServiceState.STATE_EMERGENCY_ONLY, EMERGENCY_ONLY, Description: Your phone's not registered on a network, so you can only make emergency calls.",Mint
2023-11-24 00:35:09,1ce77af0-98c1-4373-b366-c588ebb9a858,ERROR,"Reason: OUT_OF_SERVICE, Description: Your phone's not registered on a network, so you can only make emergency calls.",Mint
2023-11-24 00:36:34,08f7422a-4772-4af8-bcf6-651a3bfaafb1,ERROR,"Reason: 1601, ERROR_UNSPECIFIED",Verizon 
2023-11-24 00:36:48,08f7422a-4772-4af8-bcf6-651a3bfaafb1,ERROR,"Reason: 1601, ERROR_UNSPECIFIED",Verizon 
2023-11-24 00:37:06,08f7422a-4772-4af8-bcf6-651a3bfaafb1,ERROR,"Reason: 1601, ERROR_UNSPECIFIED",Verizon 
2023-11-24 00:40:42,fc3d1589-00ab-43ce-bdcf-55b869af0920,ERROR,"Reason: 2501, ERROR_UNSPECIFIED",Verizon 
2023-11-24 00:42:11,b1075ba0-7593-4a38-991a-0d9af595c976,ERROR,Reason: ERROR_UNSPECIFIED,T-Mobile
2023-11-24 00:47:21,5b796134-78a2-435c-a912-487e751020e7,OTHER,Reason: IMS_MERGED_SUCCESSFULLY,T-Mobile
2023-11-24 00:50:27,3bf4feee-749b-40cd-a4d2-0e9c5ac33d2b,OTHER,Reason: IMS_MERGED_SUCCESSFULLY,AT&T
