calendar_date,children_id,incoming_sms,outgoing_sms,total_sms,incoming_mms,outgoing_mms,total_mms,total_incoming,total_outgoing,total_messages,total_users,total_conversations
2023-11-24,0012e448-ebb2-4fd8-a533-08a7e4ac0701,86,88,174,1,0,1,87,88,175,1,7
2023-11-24,002de249-51df-44f2-b5a6-ced06504fd4f,2,1,3,2,2,4,4,3,7,1,2
2023-11-24,0039af6b-c4e0-4fca-9d65-08b525315ecd,246,219,465,27,13,40,273,232,505,1,7
2023-11-24,004841a7-0976-4f94-8804-fd2281633687,0,2,2,0,2,2,0,4,4,1,1
2023-11-24,0078cd3f-a0f2-41e6-9a0f-e086c28c455a,19,15,34,1234,147,1381,1253,162,1415,1,10
2023-11-24,00899af9-af08-40e8-8237-d53a83dd8697,17,20,37,0,3,3,17,23,40,1,5
2023-11-24,00ac329a-b672-4a24-8e0f-c5a8367302b5,36,35,71,134,18,152,170,53,223,1,9
2023-11-24,00bc8e26-8b10-4eef-8575-24b08ff982f8,0,2,2,0,0,0,0,2,2,1,2
2023-11-24,00cc4e56-1434-4290-9acd-8af8fa5ae981,23,18,41,13,6,19,36,24,60,1,4
2023-11-24,00dcf40f-a91b-4dba-8244-5743552a6c5c,3,1,4,1,2,3,4,3,7,1,3
2023-11-24,0103385b-3189-4b5f-9e7e-e3f32bc88742,20,29,49,34,24,58,54,53,107,1,9
2023-11-24,01296263-e515-499f-ba14-c2edd0cf8629,9,10,19,1,8,9,10,18,28,1,4
2023-11-24,0150327b-706b-4ab4-b677-8e695599d7cf,25,18,43,9,2,11,34,20,54,1,2
2023-11-24,017699ff-d08c-48e9-bcc8-b44c73fbcd00,5,5,10,3,0,3,8,5,13,1,2
2023-11-24,018fcaa5-5215-406b-91f5-a20ba80975ad,4,0,4,0,0,0,4,0,4,1,2
2023-11-24,01ae9f14-c8a6-4445-a8c3-6c0a333a15fa,3,1,4,0,0,0,3,1,4,1,2
2023-11-24,01bfefbf-dd42-4e4b-8425-d612b0be7db5,1,2,3,1,0,1,2,2,4,1,3
2023-11-24,01da4254-c0b5-407d-ad06-3955302fd605,0,1,1,0,0,0,0,1,1,1,1
2023-11-24,02055391-f6d5-476e-9485-95d607846a65,0,1,1,0,0,0,0,1,1,1,1
2023-11-24,02188c4f-321b-4ca9-a5cf-7691edb80f1d,0,2,2,0,0,0,0,2,2,1,1
2023-11-24,024a5d1b-d177-4401-a7be-b2b6c39a99d4,4,7,11,0,0,0,4,7,11,1,3
2023-11-24,025db01c-8434-4c2f-8259-4c701a4e9301,45,42,87,21,1,22,66,43,109,1,8
2023-11-24,027eb123-3998-4765-abf3-fba37e068eef,0,0,0,1,0,1,1,0,1,1,1
2023-11-24,028d251e-5d88-4ef8-8850-e2a185126299,17,28,45,9,9,18,26,37,63,1,4
2023-11-24,02975f9c-b252-4054-9e02-47b33d796113,4,7,11,0,1,1,4,8,12,1,3
2023-11-24,02bb9638-c376-4f81-a8c2-83d9b5f4db3b,18,9,27,1,0,1,19,9,28,1,1
2023-11-24,02d87d19-d4ab-439e-95f6-9b6b85effdc2,10,9,19,3,0,3,13,9,22,1,5
2023-11-24,02e5a568-7b3a-4e48-96dd-6b44cbe1f786,3,3,6,1,2,3,4,5,9,1,5
2023-11-24,02f8a4b0-54ee-4c01-a6ee-ffb9433558c3,65,52,117,247,71,318,312,123,435,1,8
2023-11-24,030b43fa-cf88-4ee8-b8d4-8c760eea0368,1,2,3,0,0,0,1,2,3,1,2
2023-11-24,034d9278-c1f3-4c3b-9aa5-e27ddeb94464,0,1,1,1,0,1,1,1,2,1,1
2023-11-24,0367fd63-bb32-4729-9442-a597c20a7a85,11,18,29,289,40,329,300,58,358,1,6
2023-11-24,0380db27-ee4b-4df2-bee6-acccdcee220b,2,0,2,0,0,0,2,0,2,1,2
2023-11-24,039e4128-000f-4e18-aaba-cda1dfba5b5b,1,4,5,0,1,1,1,5,6,1,2
2023-11-24,03bc2743-343e-43b5-a3cb-caac681c57d1,0,3,3,0,0,0,0,3,3,1,1
2023-11-24,03e1f646-df1b-4716-a862-9b6b42dc05b1,0,0,0,6,0,6,6,0,6,1,1
2023-11-24,0410988c-3011-49d1-8df6-a7d2cae928fe,33,45,78,0,4,4,33,49,82,1,4
2023-11-24,044b077e-7ed4-4b5f-a33f-d29bdd11d16e,84,74,158,15,2,17,99,76,175,1,7
2023-11-24,04667bbe-7ed0-4568-b782-15ac164f73d7,17,21,38,15,1,16,32,22,54,1,5
2023-11-24,047accba-01d5-4f70-b680-e12f4875e910,10,7,17,2,0,2,12,7,19,1,4
2023-11-24,0488cf7a-09fa-4b68-9583-a810814d9ee6,24,30,54,0,2,2,24,32,56,1,6
2023-11-24,04af69bc-d761-4758-8320-5a49677047d3,178,264,442,4,4,8,182,268,450,1,7
2023-11-24,04ccb3ce-b3e6-47e6-92fd-15efe4608ad2,8,20,28,0,0,0,8,20,28,1,3
2023-11-24,04e646bb-8cc4-4c9d-98c4-ac57dbe5d5b7,22,24,46,0,0,0,22,24,46,1,2
2023-11-24,04fd555f-a2a2-4d09-b504-086de5cf7df7,38,39,77,7,6,13,45,45,90,1,7
2023-11-24,0516a26c-797e-4f51-ac8a-e6f976f54374,1,0,1,0,0,0,1,0,1,1,1
2023-11-24,053a0e69-9cc6-432b-a05a-4ba1b6b13a3f,27,35,62,11,3,14,38,38,76,1,12
2023-11-24,0565d8a9-e3bf-48f8-bda0-3b527106336d,1,0,1,0,0,0,1,0,1,1,1
2023-11-24,058e2eb9-a431-4476-93c2-c5ac1160c2b4,22,33,55,0,1,1,22,34,56,1,6
2023-11-24,05a4c00b-4db1-4633-90d1-5366f9330c89,12,19,31,1,1,2,13,20,33,1,2
2023-11-24,05c97e58-ceba-461f-9c2a-27c1ae7c8c46,2,2,4,1,2,3,3,4,7,1,2
