id,connected_account_id,amount,available_on,created,currency,description,exchange_rate,fee,net,source,status,type,reporting_category,_fivetran_synced
txn_1Pcg6nFCPJnn9IgIPX7wbahH,,-6008,2024-07-15 04:01:53+00:00,2024-07-15 04:01:53+00:00,usd,Billing - Usage Fee (2024-07-14),,496,-6504,,available,stripe_fee,fee,2024-08-14 01:52:57.305000+00:00
txn_1Pcg8dFCPJnn9IgI6dEr3QIT,,-53,2024-07-15 04:03:47+00:00,2024-07-15 04:03:47+00:00,usd,Authorization Optimization (2024-07-13): adjustment to Adaptive Acceptance,,0,-53,,available,stripe_fee,fee,2024-08-14 01:52:57.305000+00:00
txn_1PdP5vFCPJnn9IgIawa6CQJ7,,-80,2024-07-17 04:03:59+00:00,2024-07-17 04:03:59+00:00,usd,Authorization Optimization (2024-07-15): adjustment to Adaptive Acceptance,,0,-80,,available,stripe_fee,fee,2024-08-14 01:52:59.590000+00:00
txn_1PdP5yFCPJnn9IgICKNk0gJp,,-7186,2024-07-17 04:04:02+00:00,2024-07-17 04:04:02+00:00,usd,Billing - Usage Fee (2024-07-16),,593,-7779,,available,stripe_fee,fee,2024-08-14 01:52:59.590000+00:00
txn_1PdP6hFCPJnn9IgIazP53NkE,,-398,2024-07-17 04:04:47+00:00,2024-07-17 04:04:47+00:00,usd,Billing - Usage Fee (2024-07-15),,33,-431,,available,stripe_fee,fee,2024-08-14 01:52:59.590000+00:00
txn_1PdP7PFCPJnn9IgIBbtHreMO,,-1591,2024-07-17 04:05:31+00:00,2024-07-17 04:05:31+00:00,usd,Authorization Optimization (2024-07-16): Adaptive Acceptance,,0,-1591,,available,stripe_fee,fee,2024-08-14 01:52:59.590000+00:00
txn_1PdP7qFCPJnn9IgI2Ufjm0dq,,-125,2024-07-17 04:05:58+00:00,2024-07-17 04:05:58+00:00,usd,Card Account Updater (CAU) (2024-07-16): Updates,,10,-135,,available,stripe_fee,fee,2024-08-14 01:52:59.590000+00:00
txn_1Pdm7CFCPJnn9IgI5RY607TG,,-51,2024-07-18 04:38:50+00:00,2024-07-18 04:38:50+00:00,usd,Authorization Optimization (2024-07-16): adjustment to Adaptive Acceptance,,0,-51,,available,stripe_fee,fee,2024-08-14 01:53:00.781000+00:00
txn_1PdoHfFCPJnn9IgIS3nzCZeO,,-5915,2024-07-18 06:57:47+00:00,2024-07-18 06:57:47+00:00,usd,Automatic Taxes (2024-07-17): Automatic tax,,488,-6403,,available,stripe_fee,fee,2024-08-14 01:53:01.057000+00:00
txn_1PdoJEFCPJnn9IgIbj7Ejnj8,,-226,2024-07-18 06:59:24+00:00,2024-07-18 06:59:24+00:00,usd,Invoicing (2024-07-17): Invoicing Starter,,19,-245,,available,stripe_fee,fee,2024-08-14 01:53:01.057000+00:00
txn_1PeAu1FCPJnn9IgIitZtzm7Q,,-4719,2024-07-19 07:06:53+00:00,2024-07-19 07:06:53+00:00,usd,Automatic Taxes (2024-07-18): Automatic tax,,389,-5108,,available,stripe_fee,fee,2024-08-14 01:53:02.416000+00:00
txn_1PeV6BFCPJnn9IgIs7F6MDVS,,-1167,2024-07-20 04:40:47+00:00,2024-07-20 04:40:47+00:00,usd,Authorization Optimization (2024-07-19): Adaptive Acceptance,,0,-1167,,available,stripe_fee,fee,2024-08-14 01:53:03.338000+00:00
txn_1PeoWuFCPJnn9IgIpBbFEitq,,-1382132,2024-07-22 00:00:00+00:00,2024-07-21 01:25:39+00:00,usd,STRIPE PAYOUT,,0,-1382132,po_1PeoWtFCPJnn9IgIiS4AD9eJ,available,payout,payout,2024-08-14 01:53:04.453000+00:00
txn_1PeqoPFCPJnn9IgIVUC7oK8w,,-1378,2024-07-21 03:51:53+00:00,2024-07-21 03:51:53+00:00,usd,Authorization Optimization (2024-07-20): Adaptive Acceptance,,0,-1378,,available,stripe_fee,fee,2024-08-14 01:53:04.438000+00:00
txn_1PetGcFCPJnn9IgIyXqYdwBD,,-3,2024-07-21 06:29:09+00:00,2024-07-21 06:29:09+00:00,usd,3D Secure (2024-07-20): Lookup,,0,-3,,available,stripe_fee,fee,2024-08-14 01:53:04.754000+00:00
txn_1PfaBIFCPJnn9IgIl778TCF6,,-8140,2024-07-23 04:18:32+00:00,2024-07-23 04:18:32+00:00,usd,Billing - Usage Fee (2024-07-22),,672,-8812,,available,stripe_fee,fee,2024-08-14 01:53:07.112000+00:00
txn_1PfaCnFCPJnn9IgIbin0nl8w,,-20,2024-07-23 04:20:05+00:00,2024-07-23 04:20:05+00:00,usd,Authorization Optimization (2024-07-21): adjustment to Adaptive Acceptance,,0,-20,,available,stripe_fee,fee,2024-08-14 01:53:07.112000+00:00
txn_1PfcSUFCPJnn9IgI9A0plPOJ,,-337,2024-07-23 06:44:26+00:00,2024-07-23 06:44:26+00:00,usd,Invoicing (2024-07-22): Invoicing Starter,,28,-365,,available,stripe_fee,fee,2024-08-14 01:53:07.386000+00:00
txn_1Pfw7zFCPJnn9IgIpqEnj426,,-24,2024-07-24 03:44:35+00:00,2024-07-24 03:44:35+00:00,usd,Billing - Usage Fee (2024-07-22),,2,-26,,available,stripe_fee,fee,2024-08-14 01:53:08.313000+00:00
txn_1Pfw8UFCPJnn9IgIkTAtQoxf,,-675,2024-07-24 03:45:06+00:00,2024-07-24 03:45:06+00:00,usd,Card Account Updater (CAU) (2024-07-23): Updates,,56,-731,,available,stripe_fee,fee,2024-08-14 01:53:08.252000+00:00
txn_1PfyOvFCPJnn9IgIoeflHBmb,,-426,2024-07-24 06:10:12+00:00,2024-07-24 06:10:12+00:00,usd,Invoicing (2024-07-23): Invoicing Starter,,35,-461,,available,stripe_fee,fee,2024-08-14 01:53:08.603000+00:00
txn_1Pg6XlFCPJnn9IgIcKK58QDS,,-23483,2024-07-24 14:51:53+00:00,2024-07-24 14:51:53+00:00,usd,Chargeback withdrawal for ch_3Pef5aFCPJnn9IgI0PojAHbv,,1500,-24983,du_1Pg6XYFCPJnn9IgISJR4Qugm,available,adjustment,dispute,2024-08-14 01:53:08.829000+00:00
txn_1PgIlVFCPJnn9IgItPz5ZKga,,-6,2024-07-25 03:54:53+00:00,2024-07-25 03:54:53+00:00,usd,Authorization Optimization (2024-07-23): adjustment to Adaptive Acceptance,,0,-6,,available,stripe_fee,fee,2024-08-14 01:53:09.574000+00:00
txn_1PgLUfFCPJnn9IgIkEHJrkkS,,-260,2024-07-25 06:49:41+00:00,2024-07-25 06:49:41+00:00,usd,Radar (2024-07-24): Standard,,0,-260,,available,stripe_fee,fee,2024-08-14 01:53:09.858000+00:00
txn_1PgLWxFCPJnn9IgIuyuyZ1kG,,-5729,2024-07-25 06:52:03+00:00,2024-07-25 06:52:03+00:00,usd,Automatic Taxes (2024-07-24): Automatic tax,,473,-6202,,available,stripe_fee,fee,2024-08-14 01:53:09.858000+00:00
txn_1PgLX7FCPJnn9IgIBeAcYKdi,,-339,2024-07-25 06:52:12+00:00,2024-07-25 06:52:12+00:00,usd,Invoicing (2024-07-24): Invoicing Starter,,28,-367,,available,stripe_fee,fee,2024-08-14 01:53:09.858000+00:00
txn_1PghhsFCPJnn9IgIXv6Yql9v,,-4935,2024-07-26 06:32:47+00:00,2024-07-26 06:32:47+00:00,usd,Automatic Taxes (2024-07-25): Automatic tax,,407,-5342,,available,stripe_fee,fee,2024-08-14 01:53:11.375000+00:00
txn_1Ph1a4FCPJnn9IgIU2PfdNXp,,-15,2024-07-27 03:46:03+00:00,2024-07-27 03:46:03+00:00,usd,Billing - Usage Fee (2024-07-25),,1,-16,,available,stripe_fee,fee,2024-08-14 01:53:12.279000+00:00
txn_1Ph1bDFCPJnn9IgIKUuQtDvo,,-100,2024-07-27 03:47:15+00:00,2024-07-27 03:47:15+00:00,usd,Card Account Updater (CAU) (2024-07-26): Updates,,8,-108,,available,stripe_fee,fee,2024-08-14 01:53:12.279000+00:00
txn_1Ph1bYFCPJnn9IgIMKinKuw8,,-6504,2024-07-27 03:47:36+00:00,2024-07-27 03:47:36+00:00,usd,Billing - Usage Fee (2024-07-26),,537,-7041,,available,stripe_fee,fee,2024-08-14 01:53:12.279000+00:00
txn_1PhOV9FCPJnn9IgIOOgacaR1,,-124,2024-07-28 04:14:31+00:00,2024-07-28 04:14:31+00:00,usd,Authorization Optimization (2024-07-26): adjustment to Adaptive Acceptance,,0,-124,,available,stripe_fee,fee,2024-08-14 01:53:13.378000+00:00
txn_1PhQgpFCPJnn9IgIqV4VNZoD,,-473,2024-07-28 06:34:42+00:00,2024-07-28 06:34:42+00:00,usd,Invoicing (2024-07-27): Invoicing Starter,,39,-512,,available,stripe_fee,fee,2024-08-14 01:53:13.632000+00:00
txn_1PhkMAFCPJnn9IgIzYMYphgg,,-1016,2024-07-29 03:34:42+00:00,2024-07-29 03:34:42+00:00,usd,Authorization Optimization (2024-07-28): Adaptive Acceptance,,0,-1016,,available,stripe_fee,fee,2024-08-14 01:53:14.436000+00:00
txn_1PhkMtFCPJnn9IgIV29ikltR,,-250,2024-07-29 03:35:27+00:00,2024-07-29 03:35:27+00:00,usd,Card Account Updater (CAU) (2024-07-28): Updates,,21,-271,,available,stripe_fee,fee,2024-08-14 01:53:14.436000+00:00
txn_1PhndJFCPJnn9IgIINPHKDCV,,-3787,2024-07-29 07:04:37+00:00,2024-07-29 07:04:37+00:00,usd,Automatic Taxes (2024-07-28): Automatic tax,,312,-4099,,available,stripe_fee,fee,2024-08-14 01:53:14.659000+00:00
txn_1PiTi3FCPJnn9IgIGoQcU95r,,-150,2024-07-31 04:00:18+00:00,2024-07-31 04:00:18+00:00,usd,Card Account Updater (CAU) (2024-07-30): Updates,,12,-162,,available,stripe_fee,fee,2024-08-14 01:53:17.258000+00:00
txn_1PitEuFCPJnn9IgIxhvjnkML,,-8495,2024-08-01 07:15:56+00:00,2024-08-01 07:15:56+00:00,usd,Automatic Taxes (2024-07-31): Automatic tax,,701,-9196,,available,stripe_fee,fee,2024-08-14 01:53:18.884000+00:00
txn_1PjZcuFCPJnn9IgI0gs4rlxj,,-7,2024-08-03 04:31:32+00:00,2024-08-03 04:31:32+00:00,usd,Billing - Usage Fee (2024-08-01),,1,-8,,available,stripe_fee,fee,2024-08-14 01:53:24.782000+00:00
txn_1PjvjwFCPJnn9IgIcLZUFYb0,,-5634,2024-08-04 04:08:15+00:00,2024-08-04 04:08:15+00:00,usd,Billing - Usage Fee (2024-08-03),,465,-6099,,available,stripe_fee,fee,2024-08-14 01:53:26.005000+00:00
txn_1PjvlpFCPJnn9IgIJDH4X4jr,,-1304,2024-08-04 04:10:12+00:00,2024-08-04 04:10:12+00:00,usd,Authorization Optimization (2024-08-03): Adaptive Acceptance,,0,-1304,,available,stripe_fee,fee,2024-08-14 01:53:26.005000+00:00
txn_1PjxxZFCPJnn9IgImhtXjJ09,,-4902,2024-08-04 06:30:28+00:00,2024-08-04 06:30:28+00:00,usd,Automatic Taxes (2024-08-03): Automatic tax,,404,-5306,,available,stripe_fee,fee,2024-08-14 01:53:26.944000+00:00
txn_1PkL2dFCPJnn9IgI0sOD3jY6,,-7012,2024-08-05 07:09:15+00:00,2024-08-05 07:09:15+00:00,usd,Automatic Taxes (2024-08-04): Automatic tax,,578,-7590,,available,stripe_fee,fee,2024-08-14 01:53:28.545000+00:00
txn_1PkeSGFCPJnn9IgI7qQXhBuR,,-350,2024-08-06 03:53:00+00:00,2024-08-06 03:53:00+00:00,usd,Card Account Updater (CAU) (2024-08-05): Updates,,29,-379,,available,stripe_fee,fee,2024-08-14 01:53:29.469000+00:00
