id,checkout_session_id,price_id,object,amount_subtotal,amount_total,currency,description,_fivetran_synced,amount_tax,quantity,amount_discount
li_1M8PBeFCPJnn9IgINsGZW7xV,cs_live_a100WdXysmJEg5NQ3ymnIb0aObOaLKKRfVahRkc5BGcpkk592KmKrxwLWA,price_1M70z2FCPJnn9IgIjA1air0Y,item,42900.0,46707.0,usd,Plus 2 Pack,2024-08-14 01:00:39.230000+00:00,3807,1,0
li_1PLcdrFCPJnn9IgIcxZKlFNO,cs_live_a1018uRodxSC9mTf4IKiedJZ4qRKBrkHGmce6LTZOWIQ4TEzldgBgPguMC,price_1Oikg5FCPJnn9IgIfDVEZBnC,item,58900.0,58900.0,usd,Plus 3 Pack w/ Cellular,2024-08-14 00:44:09.182000+00:00,0,1,0
li_1Mfrq6FCPJnn9IgIEvNdiEkr,cs_live_a102B5ZyYOOKlvT17LDPTeDAF9vwWxWxlX9Wfz4jPamkwegwpTT1DH6m8i,price_1MFflbFCPJnn9IgILcR6GhJP,item,48900.0,48900.0,usd,Plus 2 Pack,2024-08-14 00:58:04.907000+00:00,0,1,0
li_1ONyZsFCPJnn9IgIVmPxLRu8,cs_live_a1036bQ5fU6FiZH8h06ruzucDeMnYbs4FC7JuPV7kQmQr39M3c5iPqNXRm,price_1OEidBFCPJnn9IgIf2yIG62B,item,52900.0,56603.0,usd,Plus 3 Pack w/ Cellular,2024-08-14 00:48:27.385000+00:00,3703,1,0
li_1NMJb7FCPJnn9IgIfhVrfjQE,cs_live_a105Nz4QmfCtFv4VCQ7m1CmqDoibgMWkJEiZ8F1l85PAJ6k3ChoG7n7SiC,price_1N48i6FCPJnn9IgIusDuBEuB,item,35900.0,38907.0,usd,Slim 5 Pack (Green),2024-08-14 00:55:06.833000+00:00,3007,1,0
li_1M9Fg0FCPJnn9IgIvy1vuuv2,cs_live_a105YPtXdmHlWb406s8Mez9iXPp4fHya4RnKBVSj4kbDx71uepQxU1tAfX,price_1M70yJFCPJnn9IgIouYCeazp,item,52900.0,56074.0,usd,Plus 2 Pack w/ Cellular,2024-08-14 01:00:28.116000+00:00,3174,1,0
li_1M8NwqFCPJnn9IgI6NuaAxMg,cs_live_a105ZnADFXrmfxobJWT3228e68MMFMxyNr5RQYqnn1ijZAbP1sjBM03bMD,price_1M70z2FCPJnn9IgIjA1air0Y,item,42900.0,42900.0,usd,Plus 2 Pack,2024-08-14 01:00:39.230000+00:00,0,1,0
li_1MqRzrFCPJnn9IgIOMvpz5rk,cs_live_a106AmjKh1Ck4yjn1FYbSAq387ReZXYXaTp8ErO6ujx1ExfT3DlvIkMOgy,price_1MFfkjFCPJnn9IgImWVPpn91,item,58900.0,58900.0,usd,Plus 2 Pack w/ Cellular,2024-08-14 00:57:31.392000+00:00,0,1,0
li_1NLtZPFCPJnn9IgI6QzlOBXf,cs_live_a107ZVxzMG5xgCFzVsRxlisj7fy7rYoyOqKAaTnnJgLJtX9Jvi3V6pV4if,price_1N5BWWFCPJnn9IgIl1raW03P,item,48900.0,48900.0,usd,Plus 3 Pack,2024-08-14 00:55:09.277000+00:00,0,1,0
li_1NdvAxFCPJnn9IgIV4JPxln9,cs_live_a108MFdPixESJQyoDopDJ1pfepFSSWMyT7Qlyw0qIp0bi543SufTUHrGZc,price_1MFfiuFCPJnn9IgI5j5mZpSc,item,35900.0,35900.0,usd,Slim 5 Pack,2024-08-14 00:53:20.297000+00:00,0,1,0
