discount_id,checkout_session_line_item_id,_fivetran_synced,subscription_id,coupon_id,promotion_code,start,invoice_item_id,checkout_session,invoice_id,end,customer_id,amount
di_1N9VpxFCPJnn9IgIqIE0af57,li_1N9Vm9FCPJnn9IgICzo27XXs,2024-08-14 00:56:17.576000+00:00,sub_1N9VpxFCPJnn9IgI61u35dFa,o8IVe0BF,promo_1LhyAyFCPJnn9IgIKtFgoeGu,2023-05-19 16:07:25+00:00,,,,,cus_NvMZYniChgdCgS,3291
di_estimated_1Kj4e8FCPJnn9IgIKxvxeUlP,li_1PB1LoFCPJnn9IgIgxGqMlLf,2024-08-14 00:45:10.340000+00:00,,pBdwPfyh,promo_1Kj4e8FCPJnn9IgIKxvxeUlP,2024-08-14 00:45:09+00:00,,,,,,150
di_1K1Ne8FCPJnn9IgITixDtuxi,li_1K1Nc8FCPJnn9IgIq7mPf0Je,2024-08-14 01:15:25.977000+00:00,sub_1K1Ne8FCPJnn9IgIYg2SzJd9,677VT7Dg,promo_1JSpjeFCPJnn9IgIDRPMklOQ,2021-11-30 04:08:48+00:00,,,,,cus_KglAUssEgFnO4B,130
di_1NafB4FCPJnn9IgIhQUkJH2Y,li_1Naf9nFCPJnn9IgIGewcz8r1,2024-08-14 00:53:47.975000+00:00,sub_1NafB4FCPJnn9IgICBuTjbil,677VT7Dg,promo_1JSpjeFCPJnn9IgIDRPMklOQ,2023-08-02 13:33:26+00:00,,,,,cus_ONQ1l0AymhbNjW,11
di_1NXS8jFCPJnn9IgIJBddJlnf,li_1NXS6vFCPJnn9IgIlbfN3ISJ,2024-08-14 00:54:10.217000+00:00,sub_1NXS8jFCPJnn9IgImT9w2zjy,677VT7Dg,promo_1JSpjeFCPJnn9IgIDRPMklOQ,2023-07-24 17:01:45+00:00,,,,,cus_OK6LEWlQCZ9Cze,3290
di_estimated_1KP7SBFCPJnn9IgIAMdNzGUH,li_1LwFJIFCPJnn9IgI4cvhfOcV,2024-08-14 01:02:15.812000+00:00,,knj5WBD7,promo_1KP7SBFCPJnn9IgIAMdNzGUH,2024-08-14 01:02:14+00:00,,,,,,0
di_estimated_1JSpofFCPJnn9IgIYTuaRIF1,li_1L3NYeFCPJnn9IgIQDlB5rOe,2024-08-14 01:08:37.064000+00:00,,HSjyoorT,promo_1JSpofFCPJnn9IgIYTuaRIF1,2024-08-14 01:08:35+00:00,,,,,,2490
di_estimated_1JXVgFFCPJnn9IgIzLqQaYx6,li_1LSWlmFCPJnn9IgIHiH1m331,2024-08-14 01:05:38.184000+00:00,,TIERONE,,2024-08-14 01:05:37+00:00,,,,,,10
di_1M1cZ5FCPJnn9IgIdROC0mv4,li_1M1cXYFCPJnn9IgIyCbzyQvI,2024-08-14 01:01:42.326000+00:00,sub_1M1cZ5FCPJnn9IgInF4nplog,TIERONE,,2022-11-07 21:09:07+00:00,,,,,cus_Ml8q1HnvYFyaIf,0
di_1KQwWFFCPJnn9IgIYjwflZtg,li_1KQwUvFCPJnn9IgIUt2whck2,2024-08-14 01:12:18.284000+00:00,sub_1KQwWFFCPJnn9IgIE5yiQgUB,MAPUOdkZ,promo_1JaOWuFCPJnn9IgIVlPQTG6a,2022-02-08 16:26:19+00:00,,,,,cus_L7ArwLUoMC0H1K,200
di_1LBpXQFCPJnn9IgIdPOxLT0i,li_1LBpViFCPJnn9IgIE7TcjhrF,2024-08-14 01:07:38.249000+00:00,sub_1LBpXQFCPJnn9IgI9IeZofTU,DrM13mTy,promo_1LAHWQFCPJnn9IgIdH9ykixN,2022-06-18 00:29:20+00:00,,,,2023-02-07 04:52:52+00:00,cus_LtcmE85KCkbyE0,3980
di_1K6dsHFCPJnn9IgIpD5fHNHN,li_1K6dqqFCPJnn9IgIIQElDgn1,2024-08-14 01:14:15.035000+00:00,sub_1K6dsHFCPJnn9IgIn04HZwcb,FREESHIPPING,,2021-12-14 16:29:09+00:00,,,,,cus_KmCGSt21rIeYx4,1000
di_estimated_1JXVgFFCPJnn9IgIzLqQaYx6,li_1LlgufFCPJnn9IgI3H9Tl9i9,2024-08-14 01:03:05.624000+00:00,,TIERONE,,2024-08-14 01:03:04+00:00,,,,,,0
di_estimated_1JXVgFFCPJnn9IgIzLqQaYx6,li_1Jx2WkFCPJnn9IgIPf7lA05w,2024-08-14 01:16:14.633000+00:00,,TIERONE,,2024-08-14 01:16:13+00:00,,,,,,0
