checkout_session_id,payment_method_type,_fivetran_synced
cs_live_a1018uRodxSC9mTf4IKiedJZ4qRKBrkHGmce6LTZOWIQ4TEzldgBgPguMC,affirm,2024-08-14 00:44:09.182000+00:00
cs_live_a101ezUZd5SzUafGAWtU7Mta23cmj5GZJRIvsIP8pJNtxZ6mRtzIFDkUn9,affirm,2024-08-14 01:00:36.505000+00:00
cs_live_a102B5ZyYOOKlvT17LDPTeDAF9vwWxWxlX9Wfz4jPamkwegwpTT1DH6m8i,card,2024-08-14 00:58:04.907000+00:00
cs_live_a102ydJKXJUaWGE7zjNOSJBzCYwY7E2nC9s4lhfUdWjb9BvN4luqsglxjv,affirm,2024-08-14 00:50:05.721000+00:00
cs_live_a103DkPvQbleXKuCs0gsFFIYuaBGZAInxPuWwrAcv2O97Fc8b0Iidal8kv,affirm,2024-08-14 00:56:08.278000+00:00
cs_live_a105FI29wI6sAuzIlTmPow78NeUR29aD1tRAWhnENQzewm4LWLhwPmJnmq,card,2024-08-14 01:00:22.700000+00:00
cs_live_a105Nz4QmfCtFv4VCQ7m1CmqDoibgMWkJEiZ8F1l85PAJ6k3ChoG7n7SiC,card,2024-08-14 00:55:06.833000+00:00
cs_live_a105YPtXdmHlWb406s8Mez9iXPp4fHya4RnKBVSj4kbDx71uepQxU1tAfX,card,2024-08-14 01:00:28.116000+00:00
cs_live_a105ZnADFXrmfxobJWT3228e68MMFMxyNr5RQYqnn1ijZAbP1sjBM03bMD,affirm,2024-08-14 01:00:39.230000+00:00
cs_live_a106AmjKh1Ck4yjn1FYbSAq387ReZXYXaTp8ErO6ujx1ExfT3DlvIkMOgy,affirm,2024-08-14 00:57:31.392000+00:00
cs_live_a107ZVxzMG5xgCFzVsRxlisj7fy7rYoyOqKAaTnnJgLJtX9Jvi3V6pV4if,card,2024-08-14 00:55:09.277000+00:00
cs_live_a108MFdPixESJQyoDopDJ1pfepFSSWMyT7Qlyw0qIp0bi543SufTUHrGZc,card,2024-08-14 00:53:20.297000+00:00
cs_live_a10AIbkQeJaluSQpBRY4erPAjkml4m39ztcChy3qxZHqku0NBTdLKfOZq7,affirm,2024-08-14 00:50:30.534000+00:00
cs_live_a10AkCtNaz3AZ6ve5Q6NDh5gmK38aBqhnqU93wozjfNiXOL7wICb6U3mgE,affirm,2024-08-14 00:57:31.393000+00:00
cs_live_a10D3QhVUdFJDu1OYEzj8ruE8qjPro7Mz9D4m34VzSFJQjxpue8KmvaaHz,affirm,2024-08-14 01:00:00.977000+00:00
cs_live_a10DwXER3gXQYykAETozaoV24jIRXfDfksnQTGvLHNOQfZWUvmq0JPmdYR,card,2024-08-14 00:44:15.525000+00:00
cs_live_a10EKu0L03sJf4RZ2OynS2SESrjmol9C33EvfEYZHUn7JndR2WZntxhkQZ,card,2024-08-14 00:59:35.690000+00:00
cs_live_a10FmAa4THhtvdAjhlwxw947ekhl9pPRK34gwyNHNgXTeJyOATZ3L9yZze,card,2024-08-14 00:41:38.414000+00:00
cs_live_a10HcxrShl8CQhjj00yKLvrBbfVDCQpzO9iON2IqmNcI83lApjnFgEDlx5,affirm,2024-08-14 01:00:06.533000+00:00
cs_live_a10I1WcfWVbo9GxBknI7RBRL5KpcFDMiCLBpcUic4SAxZ4Mqjlj4Xq8pse,card,2024-08-14 01:00:50.076000+00:00
cs_live_a10JKlqGgDkQ38eWyyLoODnhVQfROhnbgHSa07ilxH3XHA2azTSf0f0Hkw,card,2024-08-14 00:43:16.291000+00:00
cs_live_a10LDQJyGskW1HwPTrPYvPHi50HlMrBWztPfoBTRoL7NsDeyDt7ldv58JC,card,2024-08-14 00:42:28.910000+00:00
cs_live_a10LJ97Ruv6jMksdLHrdeaGs0a0Dcu2GlDl2qm1NDzBeBE60ESQchmYBis,affirm,2024-08-14 00:43:41.017000+00:00
cs_live_a10M4OFbYpgqDQf1fyWACPU2PeINE2W6tDVUPd27O9GXqd00uwZdWbQlr1,affirm,2024-08-14 00:57:34.390000+00:00
cs_live_a10M7yyoy57xUJ5cygINJuDEHzRwmA4PhaiCjAuzMCSM1D4Rco5j7H4kRl,card,2024-08-14 00:57:15.885000+00:00
cs_live_a10MO2bJGH48c31OlzbU8uu2X8zBlzB6lBbJR7DqeYURowOUXnuOGdSHK6,affirm,2024-08-14 00:59:52.246000+00:00
cs_live_a10NTqy7XwBkgzF1krdVglGEWZ8R57GP61iMVlFNN2GIqUXkbNno7K5u0g,card,2024-08-14 00:56:35.168000+00:00
