checkout_session_id,allowed_country_code,_fivetran_synced
cs_live_a100WdXysmJEg5NQ3ymnIb0aObOaLKKRfVahRkc5BGcpkk592KmKrxwLWA,US,2024-08-14 01:00:39.230000+00:00
cs_live_a101ezUZd5SzUafGAWtU7Mta23cmj5GZJRIvsIP8pJNtxZ6mRtzIFDkUn9,US,2024-08-14 01:00:36.505000+00:00
cs_live_a1087P2be0h7mKE8RQZzk0DUSlDJrTnvvUo2OSW7Dpd0Hl8MvKqKb3eEOb,US,2024-08-14 00:57:36.852000+00:00
cs_live_a108ZQ0lRAwig9gvnkBpOpQxMJ1iFYe93QBVKI3bmjDVARrZIHmdtPXEYS,US,2024-08-14 00:41:22.926000+00:00
cs_live_a10A982bejWCZvhk0Jc6xtY6nXC7k0Hw508lgcVPfsyhwx94NYI8yQ1iAf,US,2024-08-14 01:00:17.379000+00:00
cs_live_a10LJ97Ruv6jMksdLHrdeaGs0a0Dcu2GlDl2qm1NDzBeBE60ESQchmYBis,CA,2024-08-14 00:43:41.017000+00:00
cs_live_a10M4OFbYpgqDQf1fyWACPU2PeINE2W6tDVUPd27O9GXqd00uwZdWbQlr1,US,2024-08-14 00:57:34.390000+00:00
cs_live_a10MO2bJGH48c31OlzbU8uu2X8zBlzB6lBbJR7DqeYURowOUXnuOGdSHK6,US,2024-08-14 00:59:52.246000+00:00
cs_live_a10Pxe4pTI5QjAevAX9QFkIerRSDhj1HVD5xhpkZfKY775pesakWIBMsHq,US,2024-08-14 00:45:50.538000+00:00
cs_live_a10QfTLCL577XvKOsi5A7tmdEfuzX4Tx5zssNBDRiAMlQc87w7I09Ykg3f,US,2024-08-14 01:00:28.117000+00:00
cs_live_a10RRmxehi0kx4K3j5HVr9WLSU0Wrcu6UbElflul7SoYBE3W95qgdSsOn7,US,2024-08-14 00:51:33.900000+00:00
cs_live_a10TZhKJt2zadpL7H3wvamYCkUtpNF5PkdcwEwvrAxyDHlYBP4jUPmo6Ud,US,2024-08-14 00:55:58.959000+00:00
cs_live_a10VPbPcD5ZA6VYcjWegnMTFn40y1d0hTVZ7ZCBZMGSmTws7EplZoX0PSa,US,2024-08-14 00:53:38.750000+00:00
cs_live_a10VV50U2fWRMQknTsctUTwelJ6GpNdBCJitc2Na5HdOum08K076A9YloS,US,2024-08-14 00:54:28.285000+00:00
cs_live_a10ZXnnZy6ESmgg0dbOyT8ZduYCEmXsD9NK4hY2prP01PaWO3auPc1GyLl,US,2024-08-14 01:00:03.397000+00:00
cs_live_a10aFVvu3OSF5QkxSNHNelTX2o7uGoBkD9jfUBKRMbFnefax2ZwOHQG87T,US,2024-08-14 00:56:01.936000+00:00
cs_live_a10dUocejfyyNsRVAiMUXDQcr1GSfMRGDgFqTSDjAKtxtn5gojvDa1uGtK,US,2024-08-14 00:56:43.869000+00:00
cs_live_a10eSUvvUweW75qes0wZqeL21gRLGG4Zz6BHmE93pmmj3bJRt8wbtCluwF,US,2024-08-14 00:42:50.614000+00:00
cs_live_a10fUcWHHl0fFYVN9XgrfdTZqSgOp0k4byThdIPdwKKcL0dO24PD2Tu2Wm,US,2024-08-14 00:54:03.782000+00:00
cs_live_a10pwqBbdCBFrTSAaUdNfJSC0IN0kNcbi3ZwcQQGDslaRd9PUz2esS6g1t,US,2024-08-14 00:42:06.884000+00:00
cs_live_a10r56Oj8Dv1Ym2OCL0Iq5HLKf6tBqppy6CT7GUcmUB9vpHthfEcPIjSRz,US,2024-08-14 00:51:43.781000+00:00
cs_live_a10sTikRbDqD3UvNQfRfAo96Zt73Or051cK4CYUmF1mcMeAieo0wCy71Ga,US,2024-08-14 00:59:04.082000+00:00
cs_live_a10upPg6VuMxbtC9nt7pHJUNpPjxPsMs1o7iQdHw3IBs8jbBiiUSy4booM,US,2024-08-14 00:43:54.130000+00:00
cs_live_a10wr0r1rvvg7Dq9GEagBLOTpz9svn80dDi2VbHDfON1JV4CQdFvb9k8fw,US,2024-08-14 00:53:01.684000+00:00
cs_live_a10zUaolFiR5keZgTNktcTYvMCOlaSFMp032UOdZZ7Qykbv2t5wqf12dvz,US,2024-08-14 00:51:50.126000+00:00
cs_live_a110NKJ0yXvvJItbBHNnPFdTdZX1qDwkkCxmngWRVAszbzsf6gXXyH4Co9,US,2024-08-14 00:52:03.118000+00:00
cs_live_a1131FyEiNxKiTxtiU2ezYktpnA0qZYswIVAab0GjLCjGwlxnKQuPgD15u,US,2024-08-14 00:55:09.279000+00:00
cs_live_a11BIhmYuG6U2Np9k2sE3b8kPcPdgkYqMPLwYD2rNdqZKi7sHdRAoWZop2,US,2024-08-14 00:55:34.873000+00:00
cs_live_a11D2gkrUmVJslJZxVl2Fn0Q4AtCILqCu9orP6FUsNxXzcPwTpHSLVxFB8,US,2024-08-14 00:53:04.947000+00:00
