tax_rate_id,checkout_session_id,amount,_fivetran_synced
txr_1JTC1rFCPJnn9IgIwOAN5vOm,cs_live_b18AbYZ98jrvD33RbDYWA87GOY3WqAc6UMmxRZyrsaex8LeF9TORwv5Blu,2989,2023-01-30 20:30:43.202000+00:00
txr_1JUwnoFCPJnn9IgILpcsdssU,cs_live_b1AIMlcnEOGk93mx4ZAv5xwGiAaiG7O9GIuCOpQW9VBdiTEppPji8zguhY,1905,2023-04-24 08:32:06.588000+00:00
txr_1N5rnSFCPJnn9IgIyIVlhMoI,cs_live_a1s1iP1DS0y1EWoGEwQo0hI5NZwwyrNSIzdh4btqkfHC9jMf7YitVtdxL7,2603,2023-05-12 14:30:50.315000+00:00
txr_1NDXenFCPJnn9IgIt750tJMD,cs_live_a1WZnVhpBCMd4MnSesSWeogzVPqHTJvYmANI3PuvVBOdxySaZO8OguWnTC,3973,2023-05-30 20:31:15.697000+00:00
txr_1N5oxLFCPJnn9IgIYPBxH6si,cs_live_a1SkzaWti9g4vtSL7CBAvjcwYYGF2GwKfbFU3gzOsurUkmjRbxNwwg01w1,0,2023-06-14 08:34:17.080000+00:00
txr_1N5qlVFCPJnn9IgI8TkWvOcb,cs_live_b1l0hQdViSy0D3Qff9D4ragccQwy80a7wy0jjsxYgcuOQhU5HfnUSiegn7,2034,2023-06-19 02:32:45.146000+00:00
txr_1JPOwpFCPJnn9IgI8LCI1cYP,cs_live_b1iAdxrOb1sbiCjEfb12yBVVqEYv5jTBHhYNbLlLCVtrCrrcTaHw1BmFGT,0,2022-11-13 08:32:14.672000+00:00
txr_1JTx8jFCPJnn9IgIxBIuSwZP,cs_live_b1hrzwtuDan83K6vHV7AqsxTl4eyEUWGGSh4MpFphgqM4ZksW7G45rkYf2,2459,2023-02-26 20:30:52.896000+00:00
txr_1JPNeAFCPJnn9IgIJQaPfxVy,cs_live_b103n8EsrEezmRSOJb90gwKD6RNXjbwn7nUPxiP3KMrePznbMQQ0ywnOIo,1743,2023-04-24 02:31:17.333000+00:00
txr_1N62niFCPJnn9IgIZrE4x0Za,cs_live_b1ZAU95O20mxFGWk3ypKv2ydQ2ZJHFf9SSJ8saIg03YHUBqWNe3mEi0zmq,2013,2023-05-10 02:32:30.179000+00:00
txr_1N5sJZFCPJnn9IgIv3VX5p8S,cs_live_b1zqVoeypPysLXZ9rgsKAvnJIHmlpdXVXO6t4sLZL9OC1Ny0xtyAbHH8e6,0,2023-05-25 02:32:13.737000+00:00
txr_1N5xzTFCPJnn9IgIDGVUTh4M,cs_live_b1zqVoeypPysLXZ9rgsKAvnJIHmlpdXVXO6t4sLZL9OC1Ny0xtyAbHH8e6,2408,2023-05-25 02:32:13.737000+00:00
txr_1N6lC2FCPJnn9IgI1E90OUMN,cs_live_b1Rho4ribyb43MtLivseAhTABMn2kYGIXtEAC0WSrD06s8q0YZ6tUeWJXD,1697,2023-06-13 02:31:59.608000+00:00
txr_1N5skfFCPJnn9IgIabyGuvt5,cs_live_b18XJysxRJy28xpp1nTJThDbnMGZ4Ksvx9LTJJZComqWyZGPGD1fmEWdO5,0,2023-07-20 08:34:21.229000+00:00
txr_1N73AOFCPJnn9IgIXb206qzi,cs_live_b1BVnUnLmnQDrS4i7xbCe8GWAdhj11nGzZJ9YnwRRkEi6z36fLyVEky7TR,1148,2023-07-23 20:31:34.876000+00:00
txr_1N6HvYFCPJnn9IgIodoFTOlq,cs_live_a1ebCDmzJaNocm3XpGNgeIDvWE5FCpMqjZh2bUVIN3mEUc33W7VwvEnMqL,3528,2023-08-07 02:31:03.871000+00:00
txr_1N5qECFCPJnn9IgI6xI7IwlW,cs_live_a10wyLhmruPEuWVZpsQaRgQj5MIYiFb4sVAH8z0nf9VhVagMyYgRorDLAI,2962,2023-08-14 14:30:11.809000+00:00
txr_1NYGdaFCPJnn9IgIikwCw2kt,cs_live_b1aKU9OP0QDYzglm1KzsipsNdeZyAvy479XDpbiFqz0KcolHVl7jt0qDdt,7787,2023-08-16 08:30:28.348000+00:00
txr_1N8qdNFCPJnn9IgIdstAbtKI,cs_live_b1DXsVmaPIHNOza7Zq75mns07LKO24BaikH5NnYAsrlXuZlRk9EZ3vVSm0,0,2023-08-20 08:30:19.121000+00:00
txr_1N8qdNFCPJnn9IgIdstAbtKI,cs_live_b1AOqO9wFKOUwKyPyKPmKIFBORavuxX1X79vPJEYjfdanVCeiccldhbbs5,0,2023-08-21 02:31:12.394000+00:00
txr_1Nj8rNFCPJnn9IgIbw2MfwgV,cs_live_b10IYzqoKMKdOvSaY6EHwvbQl9y87ibMsJaMavJ07yhXmruVDqEUz7E4Gy,1851,2023-08-26 02:30:57.924000+00:00
txr_1N5xzTFCPJnn9IgIDGVUTh4M,cs_live_b1feFGTULKyZhPePjgDPJcezlzF4ZNSezOriXTpMCMZVs8YYogx7OcDbQH,2485,2023-08-29 20:30:51.154000+00:00
txr_1N5o67FCPJnn9IgIBztmc3Nr,cs_live_b11qgIDQFzgYJRNY2lTJk4PYLrpuN7XD7VuOG3dYvfppDx1WHq5IZMcWiI,2301,2023-09-01 14:30:26.251000+00:00
txr_1N5sJbFCPJnn9IgIWCsEijtK,cs_live_b1l4YJH08QoquizuNLdsLrXEbCVashBVvZNsYeTm9nsbQYYuL69Ec8HOHB,1938,2023-09-01 20:36:42.070000+00:00
txr_1N5qECFCPJnn9IgI6xI7IwlW,cs_live_b1BihxxjuD4688L4usBGPDukZdoal00cYC06KSMRKbl2enTdjfbTlRi67o,2227,2023-09-04 20:30:44.993000+00:00
txr_1N5qECFCPJnn9IgI6xI7IwlW,cs_live_b1AHdRF4qRiAeGgXR7BdL8jET4OKIT1SPWnPX3TY3DCON7sEsncudNHOuI,2227,2023-09-15 08:30:34.550000+00:00
txr_1N5qECFCPJnn9IgI6xI7IwlW,cs_live_b1grQU91DswvHsJ1hst0adtV2ATPf27FdDkndXYb3d0hwo1Fn7U9pXHd8p,5767,2023-09-16 20:30:46.903000+00:00
txr_1O5zVkFCPJnn9IgIUXkypq06,cs_live_b1OxlnaWZm1vdkQ1pMdFo6ou4fAOArSSL45h0g601sPzmj1IhU0SBWMvpq,0,2023-10-28 02:30:34.118000+00:00
txr_1O7IcsFCPJnn9IgIlqvFbjc8,cs_live_b1Tlbm5x8B2Ozl5HM4xSVIUjMcbLuO3pljMKso4lRZEWtYTBn6Mumr2P7c,5526,2023-10-31 14:29:57.324000+00:00
txr_1N5tZZFCPJnn9IgI257hpdtT,cs_live_b1sQt1DKVdiZbSnX3xcXQakdzkcaIXcrHGwI9CFZf7S2Ivk8hh4x4Tx7R8,4816,2023-11-08 02:30:30.269000+00:00
