id,amount,created,currency,discount_amount,subtotal,total,livemode,memo,metadata,number,pdf,reason,status,type,voided_at,customer_balance_transaction_id,invoice_id,refund_id,_fivetran_synced,out_of_band_amount,effective_at,shipping_cost_shipping_rate,subtotal_excluding_tax,total_excluding_tax,shipping_cost_amount_tax,shipping_cost_amount_total,amount_shipping,customer_id,shipping_cost_amount_subtotal
cn_1KYylCFCPJnn9IgIkbiMElnu,1593,2022-03-02 20:26:58+00:00,usd,,1499,1593,True,,{},C25D65E1-0008-CN-01,https://pay.stripe.com/credit_notes/acct_1GXtdhFCPJnn9IgI/live_YWNjdF8xR1h0ZGhGQ1BKbm45SWdJLF9MRlRpNWVPd1lONE1WMHk5RUNuSnVVR2pWcThsQ1h5LDExNjcyNzEyNg0200LgoALrwH/pdf?s=ap,,issued,post_payment,,,in_1KYabbFCPJnn9IgIyWIsnVZp,re_3KYcVNFCPJnn9IgI1UcHUSSw,2024-09-13 00:12:06.597000+00:00,,2022-03-02 20:26:58+00:00,,1499,1499,,,0,cus_JnZ0pMWOBz9nkQ,
cn_1K9jFXFCPJnn9IgIhN2Nh1Vw,1589,2021-12-23 04:49:55+00:00,usd,,1499,1589,True,,{},CBE91A67-0003-CN-01,https://pay.stripe.com/credit_notes/acct_1GXtdhFCPJnn9IgI/live_YWNjdF8xR1h0ZGhGQ1BKbm45SWdJLF9LcE8xSmpIbXJ0cU0xamxGaWdzejJZSXp4dGZwZkViLDExNjcyNzEyNg0200uNO5z7Ck/pdf?s=ap,,issued,post_payment,,,in_1JzJYoFCPJnn9IgI4khMo4c6,re_3JzKVUFCPJnn9IgI0bfWXPXI,2024-09-13 00:12:06.603000+00:00,,2021-12-23 04:49:55+00:00,,1499,1499,,,0,cus_KLWH4ti9PGL4BV,
cn_1JsdmAFCPJnn9IgIfB9djIdH,1615,2021-11-06 01:32:58+00:00,usd,,1499,1615,True,,{},529496F8-0004-CN-01,https://pay.stripe.com/credit_notes/acct_1GXtdhFCPJnn9IgI/live_YWNjdF8xR1h0ZGhGQ1BKbm45SWdJLF9LWGpFbWYzdmVZMGxEQ2U2czVPaHQ0MTd6MkZmc0hmLDExNjcyNzEyNg0200ozRyi0Uu/pdf?s=ap,,issued,post_payment,,,in_1Jr3sRFCPJnn9IgIX6n2F6s8,re_3Jr4pQFCPJnn9IgI0wFbZfBH,2024-09-13 00:12:06.603000+00:00,,2021-11-06 01:32:58+00:00,,1499,1499,,,0,cus_J7Yzc9fKvVTVdM,
cn_1KgEJDFCPJnn9IgI1YZJ0Or4,1589,2022-03-22 20:28:03+00:00,usd,,1499,1589,True,,{},39349042-0008-CN-01,https://pay.stripe.com/credit_notes/acct_1GXtdhFCPJnn9IgI/live_YWNjdF8xR1h0ZGhGQ1BKbm45SWdJLF9MTXlGaHEzUE14eVZlczlBNkNmd3E4WWNvN2htcTVKLDExNjcyNzEyNg02007g0Gpy6b/pdf?s=ap,,issued,pre_payment,,,in_1KYabJFCPJnn9IgIeL9KnOMw,,2024-09-13 00:12:06.597000+00:00,,2022-03-22 20:28:03+00:00,,1499,1499,,,0,cus_IyveSsu3TC1ahb,
cn_1JjnpFFCPJnn9IgIdABzrgmz,1499,2021-10-12 16:27:37+00:00,usd,,1499,1499,True,,{},B98E76F6-0002-CN-01,https://pay.stripe.com/credit_notes/acct_1GXtdhFCPJnn9IgI/live_YWNjdF8xR1h0ZGhGQ1BKbm45SWdJLF9LT2IxaFd4R2NKNkNxYjJsR2F5N05VZkJ2M016c3h3LDExNjcyNzEyNg0200Urpgq0Kv/pdf?s=ap,,issued,post_payment,,,in_1JiNCVFCPJnn9IgIDGdtBCdj,re_3JiO9DFCPJnn9IgI19uDqpuH,2024-09-13 00:12:06.609000+00:00,,2021-10-12 16:27:37+00:00,,1499,1499,,,0,cus_KFcvwd37F4EoOJ,
cn_1JWgEJFCPJnn9IgIFPSR3NR8,1608,2021-09-06 11:43:15+00:00,usd,,1499,1608,True,,{},5190AED1-0002-CN-01,https://pay.stripe.com/credit_notes/acct_1GXtdhFCPJnn9IgI/live_YWNjdF8xR1h0ZGhGQ1BKbm45SWdJLGNuc3RfS0IySUU3eTJ2M3RuejZhOFpqOWhKRzBUVFFqekxsZiwxMTY3MjcxMjY0200K6PdCCFH/pdf?s=ap,,issued,post_payment,,,in_1JUwo6FCPJnn9IgIPHFkqEWf,re_3JUxn0FCPJnn9IgI1ohnOL1s,2024-09-13 00:12:06.609000+00:00,,2021-09-06 11:43:15+00:00,,1499,1499,,,0,cus_JrhVrlVwqPOdER,
cn_1JqjKQFCPJnn9IgIo0wHkf3d,1499,2021-10-31 19:04:26+00:00,usd,,1499,1499,True,,{},9F517A77-0002-CN-01,https://pay.stripe.com/credit_notes/acct_1GXtdhFCPJnn9IgI/live_YWNjdF8xR1h0ZGhGQ1BKbm45SWdJLF9LVmtxa1NJZVlIUGhtSzFPQ0h4ZTFxZVhpZmQ1UG1aLDExNjcyNzEyNg02007IVWMXzK/pdf?s=ap,,issued,post_payment,,,in_1JmklTFCPJnn9IgIYhbt98Rd,re_3JmlhnFCPJnn9IgI0FDD0xaj,2024-09-13 00:12:06.608000+00:00,,2021-10-31 19:04:26+00:00,,1499,1499,,,0,cus_KK9Xax4oBJloi3,
cn_1OjY4UFCPJnn9IgIqMQ69iXx,1499,2024-02-14 02:19:38+00:00,usd,,1499,1499,True,Technical Issue,{},B546156B-0016-CN-01,https://pay.stripe.com/credit_notes/acct_1GXtdhFCPJnn9IgI/live_YWNjdF8xR1h0ZGhGQ1BKbm45SWdJLF9QWWZQeGhVUnc2eUdocUpuUzZtN0RmaWlkek5HOUtkLDExNjcyNzEyNg0200gXr9oCJQ/pdf?s=ap,,issued,pre_payment,,,in_1Oj9inFCPJnn9IgInv17WTyh,,2024-09-13 00:12:06.595000+00:00,,2024-02-14 02:19:38+00:00,,1499,1499,,,0,cus_MuvxB5EiiW8vnI,
cn_1MAg9eFCPJnn9IgIN2XQW3sh,1598,2022-12-02 20:48:18+00:00,usd,,1499,1598,True,,{},38E3DAE3-0002-CN-01,https://pay.stripe.com/credit_notes/acct_1GXtdhFCPJnn9IgI/live_YWNjdF8xR1h0ZGhGQ1BKbm45SWdJLF9NdVY5M1ZDYnJCUGZUUDFpUkNaa00xalFnREZZNFcyLDExNjcyNzEyNg0200L9lehiNU/pdf?s=ap,,issued,post_payment,,,in_1MAftKFCPJnn9IgIgG7N4pfu,re_3MAftKFCPJnn9IgI00m5O0wJ,2024-09-13 00:12:06.596000+00:00,,2022-12-02 20:48:18+00:00,,1499,1499,,,0,cus_MuUpUW88AdXsOA,
cn_1KoAKrFCPJnn9IgIP0Qao5VF,1634,2022-04-13 17:50:33+00:00,usd,,1499,1634,True,,{},9A6842B7-0002-CN-01,https://pay.stripe.com/credit_notes/acct_1GXtdhFCPJnn9IgI/live_YWNjdF8xR1h0ZGhGQ1BKbm45SWdJLF9MVkFnQ2ZQOUxlZzdqOEplajgyRWtMMVRUM0ZmeXZrLDExNjcyNzEyNg0200mAZz0B6t/pdf?s=ap,,issued,post_payment,,,in_1KdNNdFCPJnn9IgI3JF1QDAL,re_3KdOJvFCPJnn9IgI1tsffuA3,2024-09-13 00:12:06.597000+00:00,,2022-04-13 17:50:33+00:00,,1499,1499,,,0,cus_LCWpFhvhbHN0AV,
