credit_note_id,id,amount,discount_amount,invoice_line_item,description,livemode,quantity,type,unit_amount,unit_amount_decimal,_fivetran_synced,unit_amount_excluding_tax,amount_excluding_tax
cn_1JgEvyFCPJnn9IgIkJl7jl33,cnli_1JgEvyFCPJnn9IgIvskuXk87,1499,,il_1Jfp6AFCPJnn9IgIsny1NNEY,1 × Subscription (Monthly) (Tier 1 at $14.99 / month),True,1.0,invoice_line_item,1499.0,1499,2024-09-13 00:12:06.609000+00:00,1499,1499
cn_1JrOzRFCPJnn9IgIktU3KpDY,cnli_1JrOzRFCPJnn9IgIeAqI599q,500,,il_1Jr3t0FCPJnn9IgI2CXhGyFi,1 × Bark (Monthly) (at $5.00 / month),True,1.0,invoice_line_item,500.0,500,2024-09-13 00:12:06.608000+00:00,500,500
cn_1JrQQHFCPJnn9IgIUCQUrnpC,cnli_1JrQQHFCPJnn9IgIA3l0YX3b,500,,il_1JpJH9FCPJnn9IgI7Rvugk6p,1 × Bark (Monthly) (at $5.00 / month),True,1.0,invoice_line_item,500.0,500,2024-09-13 00:12:06.603000+00:00,500,500
cn_1KYytxFCPJnn9IgIQNOrZDK7,cnli_1KYytxFCPJnn9IgIH6USqdRo,1499,,il_1KYabSFCPJnn9IgI1W98YBXR,1 × Subscription (Monthly) (Tier 1 at $14.99 / month),True,1.0,invoice_line_item,1499.0,1499,2024-09-13 00:12:06.597000+00:00,1499,1499
cn_1JXQnvFCPJnn9IgIeXuvO4B9,cnli_1JXQnvFCPJnn9IgIDqQcBn5G,1499,,il_1JUwnQFCPJnn9IgI8to9aBOO,1 × Subscription (Monthly) (Tier 1 at $14.99 / month),True,1.0,invoice_line_item,1499.0,1499,2024-09-13 00:12:06.609000+00:00,1499,1499
cn_1KPAx4FCPJnn9IgI8ebckKSn,cnli_1KPAx4FCPJnn9IgIawaPz0Ds,1499,,il_1KOPimFCPJnn9IgIuxQrjggj,1 × Subscription (Monthly) (Tier 1 at $14.99 / month),True,1.0,invoice_line_item,1499.0,1499,2024-09-13 00:12:06.597000+00:00,1499,1499
cn_1KGQBmFCPJnn9IgI7DOMBQ2o,cnli_1KGQBmFCPJnn9IgIbcZZYgnw,1499,,il_1K7gSsFCPJnn9IgIhdkO67em,1 × Subscription (Monthly) (Tier 1 at $14.99 / month),True,1.0,invoice_line_item,1499.0,1499,2024-09-13 00:12:06.597000+00:00,1499,1499
cn_1JrOzRFCPJnn9IgIktU3KpDY,cnli_1JrOzRFCPJnn9IgI4FnX1BHC,1499,,il_1Jr3t0FCPJnn9IgIN5AKSenC,1 × Subscription (Monthly) (Tier 1 at $14.99 / month),True,1.0,invoice_line_item,1499.0,1499,2024-09-13 00:12:06.608000+00:00,1499,1499
cn_1JeiuBFCPJnn9IgISOencJfB,cnli_1JeiuBFCPJnn9IgIVJjX66Pf,1499,,il_1JbqUBFCPJnn9IgIx9Tne4Vh,1 × Subscription (Full Price) (at $14.99 / month),True,1.0,invoice_line_item,1499.0,1499,2024-09-13 00:12:06.609000+00:00,1499,1499
cn_1KBTOwFCPJnn9IgItQeIsT34,cnli_1KBTOwFCPJnn9IgIHj2c3lRb,1499,,il_1K1wDXFCPJnn9IgI55Vm9IeE,1 × Subscription (Monthly) (Tier 1 at $14.99 / month),True,1.0,invoice_line_item,1499.0,1499,2024-09-13 00:12:06.602000+00:00,1499,1499
cn_1Kw8ljFCPJnn9IgIugh32y8o,cnli_1Kw8ljFCPJnn9IgIRAnsONkc,499,,il_1KugAHFCPJnn9IgIRxFaPfrc,1 × Subscription (Monthly) (Tier 2 at $4.99 / month),True,1.0,invoice_line_item,499.0,499,2024-09-13 00:12:06.596000+00:00,499,499
cn_1K6FgIFCPJnn9IgI73fgm1Vl,cnli_1K6FgIFCPJnn9IgI9NNanVVK,1499,,il_1K5fUSFCPJnn9IgI1VEt3o3X,1 × Subscription (Monthly) (Tier 1 at $14.99 / month),True,1.0,invoice_line_item,1499.0,1499,2024-09-13 00:12:06.603000+00:00,1499,1499
