type,type_id,id,end,start,promotion_code,checkout_session_line_item_id,credit_note_line_item_id,coupon_id,invoice_item_id,checkout_session_id,customer_id,subscription_id,invoice_id,_fivetran_synced,amount
INVOICE_LINE_ITEM,ii_1OK6umFCPJnn9IgIC5ailkaQ,di_1OK6umFCPJnn9IgITeJSfVFf,,2023-12-05 22:16:28+00:00,,,,J9ZeC7DK,ii_1OK6umFCPJnn9IgIC5ailkaQ,,cus_P5QXyquRGL8qHp,,,2023-12-06 00:04:05.569000+00:00,
INVOICE_LINE_ITEM,ii_1OK9nKFCPJnn9IgIJ9tj7B8U,di_1OK9nKFCPJnn9IgIb9KErcWv,,2023-12-06 01:20:58+00:00,,,,J9ZeC7DK,ii_1OK9nKFCPJnn9IgIJ9tj7B8U,,cus_P5Uc8CFl5SEw4r,,,2023-12-06 02:33:30.832000+00:00,
INVOICE_LINE_ITEM,ii_1OKnjFFCPJnn9IgIWuwuKDPd,di_1OKnjFFCPJnn9IgIamk52Hxr,,2023-12-07 19:59:25+00:00,,,,J9ZeC7DK,ii_1OKnjFFCPJnn9IgIWuwuKDPd,,cus_P7gBUuuM1BYs6m,,,2023-12-07 20:32:32.254000+00:00,
SUBSCRIPTION,sub_1OMO1BFCPJnn9IgIOtuQZFk6,di_1OMO1BFCPJnn9IgITOVZgpwp,,2023-12-12 04:56:29+00:00,,,,d3qEU9Ek,,,cus_PAjTUyQiHFLtAP,sub_1OMO1BFCPJnn9IgIOtuQZFk6,,2023-12-13 08:30:11.161000+00:00,
SUBSCRIPTION,sub_1MRUk7FCPJnn9IgIDlig5DV8,di_1MRUk7FCPJnn9IgIzzfcqBNv,2024-01-18 06:00:00+00:00,2023-01-18 06:00:00+00:00,,,,HLgpCeXS,,,cus_Msv0nfB4yZ98ta,sub_1MRUk7FCPJnn9IgIDlig5DV8,,2023-12-20 00:03:01.495000+00:00,
SUBSCRIPTION,sub_1OPX1EFCPJnn9IgIQ2DqbtsD,di_1OPX1EFCPJnn9IgIvFAgWgBs,2024-12-20 21:09:32+00:00,2023-12-20 21:09:32+00:00,,,,HLgpCeXS,,,cus_PBFwoNiLmVKBAZ,sub_1OPX1EFCPJnn9IgIQ2DqbtsD,,2023-12-27 20:30:55.922000+00:00,
SUBSCRIPTION,sub_1OOLQTFCPJnn9IgItNUdPYEf,di_1OOLQTFCPJnn9IgIcv14LgWd,,2023-12-17 14:34:41+00:00,promo_1O7O2BFCPJnn9IgIGEaSxko5,,,7AXdPJmr,,,cus_PCkwF1770ANAvr,sub_1OOLQTFCPJnn9IgItNUdPYEf,,2023-12-28 00:02:43.501000+00:00,
SUBSCRIPTION,sub_1MPaadFCPJnn9IgI9O4hQv1n,di_1MPaadFCPJnn9IgIb65UWItj,2024-01-12 23:53:47+00:00,2023-01-12 23:53:47+00:00,,,,HLgpCeXS,,,cus_N1jPmqfVnNYysn,sub_1MPaadFCPJnn9IgI9O4hQv1n,,2024-01-06 00:01:58.159000+00:00,
SUBSCRIPTION,sub_1MpilbFCPJnn9IgIXGZkYdOl,di_1MpilbFCPJnn9IgIMIZ1GRk6,2024-03-26 01:53:07+00:00,2023-03-26 01:53:07+00:00,,,,HLgpCeXS,,,cus_NXomkm4CZdwTsM,sub_1MpilbFCPJnn9IgIXGZkYdOl,,2024-01-23 00:02:39.385000+00:00,
SUBSCRIPTION,sub_1ORHonFCPJnn9IgIYl78X9B6,di_1ORHonFCPJnn9IgITcYOLa1v,2024-03-25 17:19:57+00:00,2023-12-25 17:19:57+00:00,,,,iVickyzU,,,cus_P4MXwtE4Of97gG,sub_1ORHonFCPJnn9IgIYl78X9B6,,2024-02-14 14:29:49.284000+00:00,
INVOICE_LINE_ITEM,ii_1OjRzJFCPJnn9IgI3bVgcZyb,di_1OjRzJFCPJnn9IgIoKZzfMqB,,2024-02-13 19:49:53+00:00,,,,lC5xrMkO,ii_1OjRzJFCPJnn9IgI3bVgcZyb,,cus_PH4mjgHBKUPheV,,in_1OjRxMFCPJnn9IgI6afq2UDj,2024-02-16 20:38:19.639000+00:00,
INVOICE_LINE_ITEM,ii_1OZfzMFCPJnn9IgIotjZvNK2,di_1OZfzMFCPJnn9IgIdoWvmr41,,2024-01-17 20:45:32+00:00,,,,J9ZeC7DK,ii_1OZfzMFCPJnn9IgIotjZvNK2,,cus_P9DSff6goDZ2f8,,in_1OZfyrFCPJnn9IgIOgq6IZbO,2024-02-16 20:35:16.245000+00:00,
INVOICE_LINE_ITEM,ii_1OgYyNFCPJnn9IgI9BioXkq7,di_1OgYyNFCPJnn9IgIXnOhjFdu,,2024-02-05 20:40:59+00:00,,,,xFOZR803,ii_1OgYyNFCPJnn9IgI9BioXkq7,,cus_P4HF71k5ANmliX,,in_1OgYy8FCPJnn9IgI7CdbGkkh,2024-02-16 20:37:32.764000+00:00,
INVOICE_LINE_ITEM,ii_1Oo9vEFCPJnn9IgIgMZf0uOu,di_1Oo9vEFCPJnn9IgIAFi3vjCA,,2024-02-26 19:33:08+00:00,,,,J9ZeC7DK,ii_1Oo9vEFCPJnn9IgIgMZf0uOu,,cus_KGsFFqjJJRdeGz,,in_1Oo9utFCPJnn9IgIMzEKhRpx,2024-02-26 20:32:39.767000+00:00,
INVOICE_LINE_ITEM,ii_1OoDCVFCPJnn9IgIedwkFHsD,di_1OoDCVFCPJnn9IgI5miLXaoW,,2024-02-26 23:03:11+00:00,,,,GWyCNsKK,ii_1OoDCVFCPJnn9IgIedwkFHsD,,cus_NX7LAnTjCE5ouV,,in_1OoDByFCPJnn9IgIZPridqsZ,2024-02-27 00:03:31.926000+00:00,
INVOICE_LINE_ITEM,ii_1OoqQ1FCPJnn9IgI08dMEPYq,di_1OoqQ1FCPJnn9IgI9COIqzxW,,2024-02-28 16:55:45+00:00,,,,J9ZeC7DK,ii_1OoqQ1FCPJnn9IgI08dMEPYq,,cus_Mrsky1g0IrOnQH,,in_1OoqPgFCPJnn9IgIN8fhbGKs,2024-02-28 20:31:18.941000+00:00,
INVOICE_LINE_ITEM,ii_1Oqfy8FCPJnn9IgIakrngiFC,di_1Oqfy8FCPJnn9IgIHOnXY3cY,,2024-03-04 18:10:32+00:00,,,,J9ZeC7DK,ii_1Oqfy8FCPJnn9IgIakrngiFC,,cus_PamdzTy9nDFIFA,,in_1OqfxKFCPJnn9IgIvLOpvouN,2024-03-04 20:31:42.777000+00:00,
INVOICE_LINE_ITEM,ii_1OrpdxFCPJnn9IgIiOiLw5x2,di_1OrpdxFCPJnn9IgIkOcdDRxo,,2024-03-07 22:42:29+00:00,,,,J9ZeC7DK,ii_1OrpdxFCPJnn9IgIiOiLw5x2,,cus_P3OT1jDb1ep4Fb,,in_1OrpdOFCPJnn9IgI2dWPUwMj,2024-03-08 00:04:50.418000+00:00,
INVOICE_LINE_ITEM,ii_1OuZSFFCPJnn9IgIU1tQ3Sa3,di_1OuZSFFCPJnn9IgIeja8yarm,,2024-03-15 12:01:43+00:00,,,,dwZpLu6B,ii_1OuZSFFCPJnn9IgIU1tQ3Sa3,,cus_PUoBgM7vfZvHJw,,in_1OuZRwFCPJnn9IgIS7Q5vXio,2024-03-15 14:30:21.732000+00:00,
INVOICE_LINE_ITEM,ii_1P4peqFCPJnn9IgIgkkNCUOM,di_1P4peqFCPJnn9IgIEFeWiENP,,2024-04-12 19:21:08+00:00,,,,J9ZeC7DK,ii_1P4peqFCPJnn9IgIgkkNCUOM,,cus_Opz1oKOuBlNzDt,,in_1P4pdJFCPJnn9IgICFyNTrHY,2024-04-13 00:06:35.863000+00:00,
INVOICE_LINE_ITEM,ii_1P4peHFCPJnn9IgI1SEdk0Fd,di_1P4peHFCPJnn9IgIX2wqMJag,,2024-04-12 19:20:33+00:00,,,,l4RRXyKt,ii_1P4peHFCPJnn9IgI1SEdk0Fd,,cus_Opz1oKOuBlNzDt,,in_1P4pdJFCPJnn9IgICFyNTrHY,2024-04-13 00:06:35.863000+00:00,
SUBSCRIPTION,sub_1O0AWsFCPJnn9IgIf1A8Oypd,di_1O0AWsFCPJnn9IgIyjdfGzcD,2024-10-11 22:05:22+00:00,2023-10-11 22:05:22+00:00,,,,HLgpCeXS,,,cus_OlDRhyg4uMNEqY,sub_1O0AWsFCPJnn9IgIf1A8Oypd,,2024-04-16 00:04:14.990000+00:00,
SUBSCRIPTION,sub_1N077cFCPJnn9IgI92pwVJxU,di_1N077cFCPJnn9IgI5T661FRg,2024-04-23 17:54:48+00:00,2023-04-23 17:54:48+00:00,,,,HLgpCeXS,,,cus_NjOKnLCxMYU0ZU,sub_1N077cFCPJnn9IgI92pwVJxU,,2024-04-24 00:04:21.366000+00:00,
SUBSCRIPTION,sub_1NH5E0FCPJnn9IgIN8Ifif58,di_1NH5E0FCPJnn9IgIvH9T2AQY,2024-06-09 13:19:32+00:00,2023-06-09 13:19:32+00:00,,,,HLgpCeXS,,,cus_Ny4xHWGxSsOvYV,sub_1NH5E0FCPJnn9IgIN8Ifif58,,2024-05-14 00:04:03.895000+00:00,
SUBSCRIPTION,sub_1NKaCUFCPJnn9IgIwkCddkra,di_1NKaCUFCPJnn9IgILFAXBt1w,2024-06-19 05:00:00+00:00,2023-06-19 05:00:00+00:00,,,,HLgpCeXS,,,cus_NsmXcO8iSez7ZB,sub_1NKaCUFCPJnn9IgIwkCddkra,,2024-05-22 20:23:56.238000+00:00,
SUBSCRIPTION,sub_1NIlLZFCPJnn9IgIXajeVgbY,di_1NIlLZFCPJnn9IgIshven24U,2024-06-14 04:30:17+00:00,2023-06-14 04:30:17+00:00,,,,HLgpCeXS,,,cus_O3HqlSrIGKzwuO,sub_1NIlLZFCPJnn9IgIXajeVgbY,,2024-06-12 00:04:25.709000+00:00,
SUBSCRIPTION,sub_1PHSC0FCPJnn9IgIuQXSduoZ,di_1PHSC0FCPJnn9IgITJ2NYxF3,2025-05-17 14:55:32+00:00,2024-05-17 14:55:32+00:00,,,,HLgpCeXS,,,cus_Q4IeU1l5h1c4ml,sub_1PHSC0FCPJnn9IgIuQXSduoZ,,2024-06-17 00:02:42.635000+00:00,
SUBSCRIPTION,sub_1PUT4iFCPJnn9IgIISNRET83,di_1PUT4iFCPJnn9IgIogvQPIXv,,2024-06-22 12:29:48+00:00,,,,1jxr2ccq,,,cus_QL9MZBbSH4YRII,sub_1PUT4iFCPJnn9IgIISNRET83,,2024-06-25 00:06:50.306000+00:00,
SUBSCRIPTION,sub_1PTUvXFCPJnn9IgIlVS7IZ1B,di_1PTUvXFCPJnn9IgIAdIXkQku,,2024-06-19 20:16:18+00:00,,,,1jxr2ccq,,,cus_QK9CUyGDoXDcTk,sub_1PTUvXFCPJnn9IgIlVS7IZ1B,,2024-06-25 00:06:49.467000+00:00,
SUBSCRIPTION,sub_1PVEYdFCPJnn9IgISubuJ4bs,di_1PVEYdFCPJnn9IgIjs63OsI6,,2024-06-24 15:11:51+00:00,,,,1jxr2ccq,,,cus_QLwQ0Jy2vuRkzV,sub_1PVEYdFCPJnn9IgISubuJ4bs,,2024-06-25 00:08:10.577000+00:00,
SUBSCRIPTION,sub_1PVGSxFCPJnn9IgIY7T6ZOHi,di_1PVGSxFCPJnn9IgI4z5pvtlP,,2024-06-24 17:14:07+00:00,,,,1jxr2ccq,,,cus_QLyPjuaPz9QY8B,sub_1PVGSxFCPJnn9IgIY7T6ZOHi,,2024-06-26 00:04:00.073000+00:00,
