balance_transaction_id,index,connected_account_id,amount,application,currency,description,type,_fivetran_synced
txn_1Pcg7BFCPJnn9IgIuAxLjI8G,0,,12,,usd,Sales Tax,tax,2024-08-14 01:52:57.305000+00:00
txn_1Pd2THFCPJnn9IgIhWve1fdU,0,,2,,usd,Sales Tax,tax,2024-08-14 01:52:58.449000+00:00
txn_1PdRiOFCPJnn9IgIvhN2W9Jw,0,,505,,usd,Sales Tax,tax,2024-08-14 01:52:59.856000+00:00
txn_1Pdm5VFCPJnn9IgIAsXxGmqH,0,,25,,usd,Sales Tax,tax,2024-08-14 01:53:00.782000+00:00
txn_1PeXnhFCPJnn9IgIldh5O3wH,0,,390,,usd,Sales Tax,tax,2024-08-14 01:53:03.559000+00:00
txn_1PeqmuFCPJnn9IgIA26eWSsz,0,,452,,usd,Sales Tax,tax,2024-08-14 01:53:04.438000+00:00
txn_1PetH9FCPJnn9IgIaMVwQ6sj,0,,435,,usd,Sales Tax,tax,2024-08-14 01:53:04.754000+00:00
txn_1PetIfFCPJnn9IgIcipo6Gbj,0,,71,,usd,Sales Tax,tax,2024-08-14 01:53:04.754000+00:00
txn_1PfDftFCPJnn9IgIQB0t7D0Y,0,,479,,usd,Sales Tax,tax,2024-08-14 01:53:05.610000+00:00
txn_1PfG0LFCPJnn9IgIYxbQ3iN8,0,,397,,usd,Sales Tax,tax,2024-08-14 01:53:06.059000+00:00
txn_1PfaCtFCPJnn9IgIu0TnFK1L,0,,15,,usd,Sales Tax,tax,2024-08-14 01:53:07.112000+00:00
txn_1PgIm5FCPJnn9IgI1Cd7UWFN,0,,21,,usd,Sales Tax,tax,2024-08-14 01:53:09.574000+00:00
txn_1Ph3zQFCPJnn9IgIc5FSYOYp,0,,460,,usd,Sales Tax,tax,2024-08-14 01:53:12.521000+00:00
txn_1PhkMxFCPJnn9IgIViG5lH1S,0,,20,,usd,Sales Tax,tax,2024-08-14 01:53:14.436000+00:00
txn_1Phnc6FCPJnn9IgIdRSG4ZfK,0,,16,,usd,Sales Tax,tax,2024-08-14 01:53:14.659000+00:00
txn_1Pi7M6FCPJnn9IgIuKKUtAPN,0,,1,,usd,Sales Tax,tax,2024-08-14 01:53:15.501000+00:00
txn_1Pi9zIFCPJnn9IgI2bEoQfDw,0,,502,,usd,Sales Tax,tax,2024-08-14 01:53:16.448000+00:00
txn_1PiqFyFCPJnn9IgIkQplmL1e,0,,21,,usd,Sales Tax,tax,2024-08-14 01:53:18.619000+00:00
txn_1Pjvl7FCPJnn9IgIGdsBCyLH,0,,19,,usd,Sales Tax,tax,2024-08-14 01:53:26.005000+00:00
txn_1PkHs7FCPJnn9IgIf9BVhEBG,0,,33,,usd,Sales Tax,tax,2024-08-14 01:53:28.002000+00:00
txn_1Pl1HxFCPJnn9IgI4qPRjF2m,0,,27,,usd,Sales Tax,tax,2024-08-14 01:53:31.309000+00:00
txn_1PlNFqFCPJnn9IgIXLuq3iUz,0,,19,,usd,Sales Tax,tax,2024-08-14 01:53:32.562000+00:00
txn_1PlmRhFCPJnn9IgIG2IJFhxW,0,,455,,usd,Sales Tax,tax,2024-08-14 01:53:34.103000+00:00
txn_1Pm63GFCPJnn9IgIMyHqO0bH,0,,19,,cad,Sales Tax,tax,2024-08-14 01:53:35.010000+00:00
txn_1Pm63QFCPJnn9IgI2GWutOUM,0,,374,,usd,Sales Tax,tax,2024-08-14 01:53:35.010000+00:00
txn_1Pm8aEFCPJnn9IgIvTwQOMbf,0,,434,,usd,Sales Tax,tax,2024-08-14 01:53:35.224000+00:00
txn_1PmSdgFCPJnn9IgIOUGuTRBN,0,,91,,cad,Sales Tax,tax,2024-08-14 01:53:36.041000+00:00
txn_1PmSdwFCPJnn9IgIyzhhxonU,0,,2,,usd,Sales Tax,tax,2024-08-14 01:53:36.041000+00:00
txn_1Pmbj8FCPJnn9IgIdPkXtMAV,0,,1500,,usd,Dispute fee,stripe_fee,2024-08-14 01:53:36.523000+00:00
txn_1PnBZEFCPJnn9IgIgAv2y0Xb,0,,8,,usd,Sales Tax,tax,2024-08-14 01:53:38.983000+00:00
txn_1PnBZsFCPJnn9IgIAJzzDHi4,0,,614,,usd,Sales Tax,tax,2024-08-14 01:53:38.983000+00:00
txn_1PnEKeFCPJnn9IgIODiWIpr0,0,,46,,cad,Sales Tax,tax,2024-08-14 01:53:39.328000+00:00
txn_3PWJTSFCPJnn9IgI0VKw7Sus,0,,57,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:59.310000+00:00
txn_3PWNUAFCPJnn9IgI0WzHodBk,0,,58,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:57.766000+00:00
txn_3PXWC1FCPJnn9IgI0E88DhIJ,0,,82,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:53:05.340000+00:00
txn_3PXZcAFCPJnn9IgI1ji7LNSU,0,,58,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:58.449000+00:00
txn_3PYpQ0FCPJnn9IgI1Roi3dMn,0,,55,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:53:05.340000+00:00
txn_3PYu5TFCPJnn9IgI1Dm4Z49J,0,,57,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:53:00.788000+00:00
txn_3PZ4MQFCPJnn9IgI1jo4yUDV,0,,55,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:53:01.766000+00:00
txn_3PZN0cFCPJnn9IgI0k41iXC8,0,,69,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:53:07.302000+00:00
txn_3PZN3eFCPJnn9IgI1aQtLupf,0,,55,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:53:06.027000+00:00
txn_3PZfnrFCPJnn9IgI1UTiMP1r,0,,55,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:58.146000+00:00
txn_3PZzXKFCPJnn9IgI1eXoaeC8,0,,58,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:53:01.766000+00:00
txn_3Pa2nfFCPJnn9IgI0v3NMrAL,0,,57,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:57.305000+00:00
txn_3PaKunFCPJnn9IgI14VLPb8j,0,,66,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:53:05.610000+00:00
txn_3PaNIsFCPJnn9IgI0vFkeTzy,0,,56,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:57.281000+00:00
txn_3PahfmFCPJnn9IgI14TeQ6ul,0,,55,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:53:00.087000+00:00
txn_3PbQRHFCPJnn9IgI0YuThEbY,0,,58,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:53:09.549000+00:00
txn_3PbR4pFCPJnn9IgI0Ttp2uPg,0,,55,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:53:04.160000+00:00
txn_3PbXuLFCPJnn9IgI186DDngu,0,,81,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:53:30.719000+00:00
txn_3PbXxcFCPJnn9IgI14BpNSav,0,,99,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:59.294000+00:00
txn_3PbuRzFCPJnn9IgI1VWMBCYR,0,,57,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:53:06.352000+00:00
txn_3PcBGaFCPJnn9IgI0lEBlTff,0,,57,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:53:13.088000+00:00
txn_3PcGlvFCPJnn9IgI08wicUZ2,0,,57,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:53:32.507000+00:00
txn_3PcGsbFCPJnn9IgI0YSWNI6n,0,,57,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:53:17.251000+00:00
txn_3PcInfFCPJnn9IgI0HsQVoXG,0,,55,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:53:04.629000+00:00
txn_3Pcat9FCPJnn9IgI1RCSUHZj,0,,55,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:53:03.867000+00:00
txn_3PccRIFCPJnn9IgI1DXUOiE7,0,,57,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:57.282000+00:00
txn_3PccdSFCPJnn9IgI1XiYslch,0,,537,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:57.282000+00:00
txn_3PccjSFCPJnn9IgI0wummuts,0,,55,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:57.281000+00:00
txn_3PccrXFCPJnn9IgI0vvf5XEz,0,,55,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:57.281000+00:00
txn_3PccwOFCPJnn9IgI0UvTr1H1,0,,66,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:57.281000+00:00
txn_3Pcd2UFCPJnn9IgI11TiWVPN,0,,58,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:57.291000+00:00
txn_3Pcd3mFCPJnn9IgI0VDkGJPZ,0,,58,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:57.291000+00:00
txn_3PcdOsFCPJnn9IgI0fgoivnD,0,,189,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:57.291000+00:00
txn_3PcdhBFCPJnn9IgI0R8FD7hV,0,,726,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:57.291000+00:00
txn_3Pce6AFCPJnn9IgI16cNUL7P,0,,55,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:57.294000+00:00
txn_3PceMNFCPJnn9IgI0wF5sjVY,0,,66,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:57.294000+00:00
txn_3PceakFCPJnn9IgI1Ts4loTH,0,,55,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:57.294000+00:00
txn_3PcewXFCPJnn9IgI1fXnFS67,0,,55,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:57.301000+00:00
txn_3PcfN8FCPJnn9IgI0Fd8WnRw,0,,55,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:57.301000+00:00
txn_3PcfgeFCPJnn9IgI0CaGpEGi,0,,55,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:57.301000+00:00
txn_3PcfsZFCPJnn9IgI08scXe57,0,,55,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:57.305000+00:00
txn_3PcgLVFCPJnn9IgI1d2jS1Mj,0,,58,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:57.305000+00:00
txn_3PcgOhFCPJnn9IgI0odzDkbY,0,,55,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:57.305000+00:00
txn_3PcgXvFCPJnn9IgI0alrhSat,0,,57,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:57.305000+00:00
txn_3PcgvxFCPJnn9IgI1ox36d4l,0,,55,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:57.249000+00:00
txn_3PchB2FCPJnn9IgI0ff1coaD,0,,55,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:57.249000+00:00
txn_3PchXUFCPJnn9IgI0aiyRZV5,0,,66,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:57.249000+00:00
txn_3PchjkFCPJnn9IgI1hl1zSrg,0,,34,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:57.515000+00:00
txn_3PciSjFCPJnn9IgI174Z1S2d,0,,55,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:57.515000+00:00
txn_3PciT4FCPJnn9IgI0gWla6jg,0,,66,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:57.515000+00:00
txn_3PcnLOFCPJnn9IgI1ahAVfuf,0,,77,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:57.710000+00:00
txn_3PcnXrFCPJnn9IgI0nlLJ2Qc,0,,66,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:57.710000+00:00
txn_3PcoLKFCPJnn9IgI1qg0Xuq7,0,,55,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:57.740000+00:00
txn_3PcooxFCPJnn9IgI1NaltePM,0,,80,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:57.740000+00:00
txn_3PcpjBFCPJnn9IgI0lafsZ57,0,,55,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:57.720000+00:00
txn_3PcqFfFCPJnn9IgI1l2zrjci,0,,57,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:57.766000+00:00
txn_3PcqGWFCPJnn9IgI0uMRxVMv,0,,55,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:57.766000+00:00
txn_3PcqTtFCPJnn9IgI1tVWZtXS,0,,57,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:57.766000+00:00
txn_3PcqfBFCPJnn9IgI0U9n4Vbc,0,,1092,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:57.766000+00:00
txn_3PcqnNFCPJnn9IgI0I6SBJGn,0,,66,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:57.766000+00:00
txn_3PcqoSFCPJnn9IgI1aImh4fK,0,,55,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:57.766000+00:00
txn_3PcrE2FCPJnn9IgI0fOSxrsz,0,,672,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:57.746000+00:00
txn_3PcrPEFCPJnn9IgI1CNXTz5r,0,,55,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:57.746000+00:00
txn_3PcrzQFCPJnn9IgI06j1r7lx,0,,57,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:57.746000+00:00
txn_3PcsDHFCPJnn9IgI1AiXxXIJ,0,,271,,usd,Stripe processing fees,stripe_fee,2024-08-14 01:52:57.836000+00:00
