invoice_id,id,end,start,promotion_code,checkout_session,coupon_id,invoice_item_id,customer_id,subscription_id,_fivetran_synced
in_1N4qN2FCPJnn9IgIvXu55a8R,di_1N4qNjFCPJnn9IgIb4Q2kBKD,,2023-05-06 19:02:59+00:00,,,J9ZeC7DK,ii_1N4qNjFCPJnn9IgISG2aJmTv,cus_LTyauOOf0O5K1G,,2023-05-06 20:32:07.983000+00:00
in_1PgF3RFCPJnn9IgIemlppsM7,di_1OcGHFFCPJnn9IgIIfMEk2LU,2025-01-24 23:54:41+00:00,2024-01-24 23:54:41+00:00,,,HLgpCeXS,,cus_PR8TKej9E3KJ6t,sub_1OcGHFFCPJnn9IgI1hVYfL7F,2024-08-14 01:45:42.832000+00:00
in_1Pj1GMFCPJnn9IgIyezAsxpu,di_1Pj1GMFCPJnn9IgIu54NSWNv,2025-08-01 15:49:57+00:00,2024-08-01 15:49:57+00:00,,,HLgpCeXS,,cus_QXdT95KBQhRa4L,sub_1Pj1GMFCPJnn9IgILBd8gIhJ,2024-08-14 01:46:26.925000+00:00
in_1Plc6KFCPJnn9IgIW0tzmzt9,di_1NoAMWFCPJnn9IgIr7Lobsfx,2024-09-08 19:29:04+00:00,2023-09-08 19:29:04+00:00,,,HLgpCeXS,,cus_OafC7EX0znCqeP,sub_1NoAMWFCPJnn9IgIF60XwAfx,2024-08-14 01:47:57.341000+00:00
in_1Pi1U6FCPJnn9IgIhl4XwKa3,di_1NvoaHFCPJnn9IgI8OX3gSEw,2024-09-29 21:50:52+00:00,2023-09-29 21:50:52+00:00,,,HLgpCeXS,,cus_OhjhdHMEy37p7U,sub_1NvoaHFCPJnn9IgI529tsSxb,2024-08-14 01:46:08.759000+00:00
in_1PkxFgFCPJnn9IgI514swvdE,di_1PDbLPFCPJnn9IgIsiic5dup,2025-05-06 23:53:19+00:00,2024-05-06 23:53:19+00:00,,,HLgpCeXS,,cus_Q0FR0B41mMOG1b,sub_1PDbLPFCPJnn9IgIqOfREarB,2024-08-14 01:47:47.824000+00:00
in_1PfQkMFCPJnn9IgIY8PbgVYM,di_1Nhz52FCPJnn9IgItCcYYta0,2024-08-22 18:13:28+00:00,2023-08-22 18:13:28+00:00,,,HLgpCeXS,,cus_OQPo94AuQwTSdB,sub_1Nhz52FCPJnn9IgIQCuIkIAX,2024-08-14 01:45:30.313000+00:00
in_1PnMzfFCPJnn9IgIdXEzGfjx,di_1P58izFCPJnn9IgICTO2KEHP,2025-04-13 15:42:40+00:00,2024-04-13 15:42:40+00:00,,,HLgpCeXS,,cus_PtajTPEUwEvOU6,sub_1P58izFCPJnn9IgIxdJDccqB,2024-08-14 01:48:27.772000+00:00
in_1PhDFAFCPJnn9IgIqsXjb9Ks,di_1ORzj7FCPJnn9IgI3W8MmJab,2024-12-27 16:13:01+00:00,2023-12-27 16:13:01+00:00,,,HLgpCeXS,,cus_P5lYSX5kJrn5On,sub_1ORzj7FCPJnn9IgI2Wk1fgzG,2024-08-14 01:45:58.080000+00:00
in_1Pn2uwFCPJnn9IgIU2SNCb9f,di_1Pn2uwFCPJnn9IgIwrhZ7z9h,,2024-08-12 18:24:30+00:00,promo_1OoBxAFCPJnn9IgIJpLfQSkX,,FWtwjkGn,,cus_QeLcGcVjHaa7gm,sub_1Pn2uwFCPJnn9IgIOXQYwrz5,2024-08-14 01:48:23.982000+00:00
in_1PdI6DFCPJnn9IgIqvEEBEGm,di_1OO4ZiFCPJnn9IgIfltxMfPa,2024-12-16 20:35:06+00:00,2023-12-16 20:35:06+00:00,,,HLgpCeXS,,cus_P91cZnyyC8z7VS,sub_1OO4ZiFCPJnn9IgIrCTbqyLD,2024-08-14 01:44:55.582000+00:00
in_1PejcMFCPJnn9IgIV9xo8V4B,di_1OPW5TFCPJnn9IgIOL6dAmtD,2024-12-20 20:09:51+00:00,2023-12-20 20:09:51+00:00,,,HLgpCeXS,,cus_P3xgRo1XtrLjlV,sub_1OPW5TFCPJnn9IgINfHi4lBX,2024-08-14 01:45:18.056000+00:00
in_1PeoUkFCPJnn9IgIYXn0KwEN,di_1Om4WpFCPJnn9IgIcx272gWe,2025-02-21 01:23:18+00:00,2024-02-21 01:23:18+00:00,,,HLgpCeXS,,cus_Pa4oECBDmjhhW4,sub_1Om4WpFCPJnn9IgIsXA8AlDv,2024-08-14 01:45:19.498000+00:00
