id,amount,currency,date,description,discountable,livemode,metadata,period_start,period_end,proration,quantity,unit_amount,is_deleted,plan_id,price_id,customer_id,invoice_id,subscription_id,subscription_item_id,_fivetran_synced,test_clock,unit_amount_decimal
ii_1LEfi9FCPJnn9IgIMMMzocWT,999,usd,2022-06-25 20:36:09+00:00,Case (G91S) (Black),True,True,{},1656189369,1656189369,False,1,999,True,,price_1KvewEFCPJnn9IgI4XtGgAjv,cus_LhVp92f9FmCf4u,in_1LEffPFCPJnn9IgIgT5w7FFE,,,2022-06-26 02:30:06.445000+00:00,,
ii_1LEhkfFCPJnn9IgIRsD34hOG,999,usd,2022-06-25 22:46:53+00:00,Screen Protector (G91S),True,True,{},1656197213,1656197213,False,1,999,True,,price_1Kvew8FCPJnn9IgIN0QSmHoE,cus_LhVp92f9FmCf4u,in_1LEhk4FCPJnn9IgIYyN7xnSi,,,2022-06-26 02:30:05.012000+00:00,,
ii_1LG6pJFCPJnn9IgIDkD6WSuw,-94,usd,2022-06-29 19:45:29+00:00,Unused time on Subscription (Monthly) after 29 Jun 2022,False,True,{},1656531928,1656694800,True,1,-94,True,price_1JQZCDFCPJnn9IgIFVEWlVxH,price_1JQZCDFCPJnn9IgIFVEWlVxH,cus_JJWlyAkcRZbNm3,,sub_K6AAysiAWGvGhX,si_K6AARSEB7MwrX8,2022-06-29 20:30:07.040000+00:00,,
ii_1LGZ8yFCPJnn9IgIEpEU5AqX,-808,usd,2022-07-01 01:59:40+00:00,Unused time on Subscription (Monthly) after 01 Jul 2022,False,True,{},1656640779,1658038131,True,1,-808,True,price_1JQZCDFCPJnn9IgIFVEWlVxH,price_1JQZCDFCPJnn9IgIFVEWlVxH,cus_KUQeBzNeQHOE0n,,sub_1JpRnDFCPJnn9IgIgrcO5RCW,si_KUQess799dM2Qt,2022-07-01 02:30:33.967000+00:00,,
ii_1LGkuLFCPJnn9IgIUNTfupsC,-745,usd,2022-07-01 14:33:21+00:00,Unused time on Subscription (Monthly) after 01 Jul 2022,False,True,{},1656686000,1657974714,True,1,-745,True,price_1JQZCDFCPJnn9IgIFVEWlVxH,price_1JQZCDFCPJnn9IgIFVEWlVxH,cus_K7Ip5mGUn7FzGO,,sub_K7IpMwifoMs1k2,si_Lt0jQbu8RuyCYO,2022-07-01 20:29:56.382000+00:00,,
ii_1LGt8AFCPJnn9IgI3prxmajc,-1402,usd,2022-07-01 23:20:10+00:00,Unused time on Subscription (Monthly) after 01 Jul 2022,False,True,{},1656717610,1659142329,True,1,-1402,True,price_1JQZCDFCPJnn9IgIFVEWlVxH,price_1JQZCDFCPJnn9IgIFVEWlVxH,cus_LTmZ4waKd4WnKt,,sub_1Kmp0fFCPJnn9IgIdrpBZ6oE,si_LTmZHjkVVA1EGJ,2022-07-02 02:29:59.487000+00:00,,
ii_1LH6sLFCPJnn9IgIorZvmKdM,-827,usd,2022-07-02 14:00:45+00:00,Unused time on Subscription (Monthly) after 02 Jul 2022,False,True,{},1656770444,1658200512,True,1,-827,True,price_1JQZCDFCPJnn9IgIFVEWlVxH,price_1JQZCDFCPJnn9IgIFVEWlVxH,cus_KgN4QFDSvv0RTz,,sub_1K10KiFCPJnn9IgIoobX8N6B,si_KgN4P2s22YmgtJ,2022-07-02 14:29:58.157000+00:00,,
ii_1LHG3dFCPJnn9IgIb9txSJwD,-1437,usd,2022-07-02 23:49:01+00:00,Unused time on Subscription (Monthly) after 02 Jul 2022,False,True,{},1656805740,1659373200,True,1,-1437,True,price_1JQZCDFCPJnn9IgIFVEWlVxH,price_1JQZCDFCPJnn9IgIFVEWlVxH,cus_JStapNxlGBtDQM,,sub_K6AHlI6W1vVNq3,si_K6AHS6EHzWHX0y,2022-07-03 02:30:03.068000+00:00,,
ii_1LHViyFCPJnn9IgIuHULoH95,-463,usd,2022-07-03 16:32:44+00:00,Unused time on Bark (Monthly) after 03 Jul 2022,False,True,{},1656865963,1659347193,True,1,-463,True,price_1J8rYYFCPJnn9IgI7ezmCKAP,price_1J8rYYFCPJnn9IgI7ezmCKAP,cus_LfuQwcGSzHsMmZ,,sub_1KyYbNFCPJnn9IgIPURNyxh6,si_LfuQfIFjwGz3is,2022-07-03 20:29:54.211000+00:00,,
ii_1LHgEcFCPJnn9IgIEzTCzUhx,-1381,usd,2022-07-04 03:46:06+00:00,Unused time on Subscription (Monthly) after 04 Jul 2022,False,True,{},1656906365,1659373200,True,1,-1381,True,price_1JQZCDFCPJnn9IgIFVEWlVxH,price_1JQZCDFCPJnn9IgIFVEWlVxH,cus_JMpYDkYqY3KuId,,sub_K6AChVmuu4BAm0,si_K6ACpOFTm1BRQo,2022-07-04 08:29:56.409000+00:00,,
