invoice_id,unique_id,id,amount,currency,description,discountable,livemode,metadata,period_start,period_end,proration,quantity,type,plan_id,price_id,subscription_id,subscription_item_id,_fivetran_synced,invoice_item_id,unit_amount_excluding_tax,amount_excluding_tax
in_1LEffPFCPJnn9IgIgT5w7FFE,il_1LEfhsFCPJnn9IgI7TR56403,il_1LEfhsFCPJnn9IgI7TR56403,19900,usd,Slim (G91S) (Grey),True,True,{},2022-06-25 20:35:52+00:00,2022-06-25 20:35:52+00:00,False,1,invoiceitem,,price_1KvevoFCPJnn9IgI8HsapCcX,,,2022-06-26 02:30:06.445000+00:00,,,
in_1LIMDlFCPJnn9IgIOMpCPF0a,il_1LIME0FCPJnn9IgIR4KzmoMt,il_1LIME0FCPJnn9IgIR4KzmoMt,24900,usd,Rugged (X8) (Yellow),True,True,{},2022-07-06 00:36:16+00:00,2022-07-06 00:36:16+00:00,False,1,invoiceitem,,price_1J8rnxFCPJnn9IgIvj59LAcC,,,2022-07-06 02:30:28.283000+00:00,,,
in_1LIe4GFCPJnn9IgI6eXxRDJK,il_1LIe4GFCPJnn9IgIE3ihsPR9,il_1LIe4GFCPJnn9IgIE3ihsPR9,14000,usd,Refurbished Rugged (X8) (Black),True,True,{},2022-07-06 17:10:51+00:00,2022-07-06 17:10:51+00:00,False,1,invoiceitem,,price_1KeUG0FCPJnn9IgIifAQ6Rfm,,,2022-07-06 20:30:13.196000+00:00,,,
in_1LLrozFCPJnn9IgIhch8d6kI,il_1LLrpSFCPJnn9IgI2BzLhHTs,il_1LLrpSFCPJnn9IgI2BzLhHTs,999,usd,Screen Protector (A13 5G),True,True,{},2022-07-15 16:57:26+00:00,2022-07-15 16:57:26+00:00,False,1,invoiceitem,,price_1L5xr1FCPJnn9IgIR2AgV27R,,,2022-07-16 02:30:08.795000+00:00,,,
in_1LPY9RFCPJnn9IgIzuvxj7Fq,il_1LPYEdFCPJnn9IgIuNuMoQ6u,il_1LPYEdFCPJnn9IgIuNuMoQ6u,25900,usd,Refurbished Plus (A32),True,True,"{""ActualLineAmount"":""25900"",""ActualLineTaxAmount"":""2137""}",2022-07-25 20:50:39+00:00,2022-07-25 20:50:39+00:00,False,1,invoiceitem,,price_1LPYX3FCPJnn9IgIc4bj0IYg,,,2022-09-12 02:30:41.328000+00:00,ii_1LPYEdFCPJnn9IgISahwapMq,,
in_1LZga3FCPJnn9IgIDcbUG1JP,il_1LZgaQFCPJnn9IgIRry2D8fT,il_1LZgaQFCPJnn9IgIRry2D8fT,999,usd,Screen Protector (G91S),True,True,{},2022-08-22 19:47:02+00:00,2022-08-22 19:47:02+00:00,False,1,invoiceitem,,price_1LJgB7FCPJnn9IgIeBtOXGB7,,,2022-08-23 14:30:33.347000+00:00,,,
in_1LZga3FCPJnn9IgIDcbUG1JP,il_1LZgaHFCPJnn9IgIW91aC95Z,il_1LZgaHFCPJnn9IgIW91aC95Z,19900,usd,Slim (G91S) (Cyan),True,True,{},2022-08-22 19:46:53+00:00,2022-08-22 19:46:53+00:00,False,1,invoiceitem,,price_1LNfLlFCPJnn9IgIBCWt92Nv,,,2022-08-23 14:30:33.347000+00:00,,,
in_1Lb7w7FCPJnn9IgI2GDnVC5y,il_1Lb7wWFCPJnn9IgImXfV1PrK,il_1Lb7wWFCPJnn9IgImXfV1PrK,12500,usd,Refurbished Slim (G50/G50 ),True,True,"{""ActualLineAmount"":""12500"",""ActualLineTaxAmount"":""0""}",2022-08-26 19:11:48+00:00,2022-08-26 19:11:48+00:00,False,1,invoiceitem,,price_1KeUEbFCPJnn9IgI9QYlLU5i,,,2022-09-06 17:46:15.940000+00:00,ii_1Lb7wWFCPJnn9IgIxj51AHVT,,
in_1Lz1YGFCPJnn9IgI6l9zRYM6,il_1Lz1YmFCPJnn9IgI5JEGXcXo,il_1Lz1YmFCPJnn9IgI5JEGXcXo,19900,usd,Slim 5 (G91S) (Blue),True,True,{},2022-10-31 17:14:04+00:00,2022-10-31 17:14:04+00:00,False,1,invoiceitem,,price_1LahuWFCPJnn9IgIpjzAmZPe,,,2022-10-31 20:33:20.629000+00:00,ii_1Lz1YmFCPJnn9IgI0voN7nVm,,
in_1M3RnlFCPJnn9IgI9KrwsEXR,il_1M3RpcFCPJnn9IgIDznadmyq,il_1M3RpcFCPJnn9IgIDznadmyq,1499,usd,Dual Layer Case (A13 5G) (Black),True,True,"{""ActualLineAmount"":""1499"",""ActualLineTaxAmount"":""124""}",2022-11-12 22:05:44+00:00,2022-11-12 22:05:44+00:00,False,1,invoiceitem,,price_1LKQlOFCPJnn9IgIXh1cGfl9,,,2022-11-13 02:30:28.683000+00:00,ii_1M3RpcFCPJnn9IgILScEe6Yu,,
