id,connected_account_id,payment_method_types,amount,amount_capturable,amount_received,application,application_fee_amount,canceled_at,cancellation_reason,capture_method,confirmation_method,created,currency,description,last_payment_error_type,last_payment_error_code,last_payment_error_decline_code,last_payment_error_doc_url,last_payment_error_message,last_payment_error_param,last_payment_error_source_id,last_payment_error_charge_id,livemode,metadata,on_behalf_of,receipt_email,statement_descriptor,status,transfer_data_destination,transfer_group,payment_method_id,customer_id,source_id,_fivetran_synced
pi_3PccSiFCPJnn9IgI0boIJLdK,,"[""card"",""cashapp""]",1499,0,1499,,,,,automatic,automatic,2024-07-15 00:08:16+00:00,usd,Subscription update,,,,,,,,,True,{},,,,succeeded,,,pm_1NMfYcFCPJnn9IgI7uZGafEU,cus_O8xTltLGjxvlSS,,2024-08-14 01:39:22.180000+00:00
pi_3PccdSFCPJnn9IgI1xon3xue,,"[""card"",""cashapp""]",23407,0,23407,,,,,automatic,automatic,2024-07-15 00:19:22+00:00,usd,Subscription creation,,,,,,,,,True,{},,,,succeeded,,,pm_1PccdPFCPJnn9IgI9hqEm4yA,cus_QTZnpXOGnzx430,,2024-08-14 01:39:22.180000+00:00
pi_3PccjSFCPJnn9IgI0LlTDjN3,,"[""card"",""cashapp""]",1499,0,1499,,,,,automatic,automatic,2024-07-15 00:25:34+00:00,usd,Subscription update,,,,,,,,,True,{},,,,succeeded,,,pm_1LPadtFCPJnn9IgIMsTBVGzH,cus_M7qKF47Y31QECl,,2024-08-14 01:39:22.180000+00:00
pi_3PcdNIFCPJnn9IgI1PeVQwdP,,"[""card"",""cashapp""]",1638,0,1638,,,,,automatic,automatic,2024-07-15 01:06:44+00:00,usd,Subscription update,,,,,,,,,True,{},,,,succeeded,,,pm_1NqPWQFCPJnn9IgId8vXmONh,cus_OTDkROsEx9qrO2,,2024-08-14 01:39:21.950000+00:00
pi_3Pcdb6FCPJnn9IgI1rE1nkNE,,"[""card"",""cashapp""]",1627,0,1627,,,,,automatic,automatic,2024-07-15 01:21:00+00:00,usd,Subscription update,,,,,,,,,True,{},,,,succeeded,,,pm_1NIcXjFCPJnn9IgIyZGNoFym,cus_O1kGYRcBgRBCpP,,2024-08-14 01:39:21.950000+00:00
pi_3PcdeqFCPJnn9IgI1ToJ1S2q,,"[""card"",""cashapp""]",17538,0,17538,,,,,automatic,automatic,2024-07-15 01:24:52+00:00,usd,Subscription update,,,,,,,,,True,{},,,,succeeded,,,pm_1NMgk3FCPJnn9IgIXxUqkLhX,cus_O8yhAowBG3SfYx,,2024-08-14 01:39:21.950000+00:00
pi_3Pcdj6FCPJnn9IgI1D65i6eC,,"[""card""]",48941,0,48941,,,,,automatic_async,automatic,2024-07-15 01:29:16+00:00,usd,,,,,,,,,,True,{},,,,succeeded,,,pm_1Pcdj3FCPJnn9IgIclycPjQh,cus_QTaugnZR0hOzzB,,2024-08-14 01:39:21.950000+00:00
pi_3PceY8FCPJnn9IgI1BLR7T4S,,"[""card"",""cashapp""]",1499,0,0,,,2024-07-15 02:27:06+00:00,void_invoice,automatic,automatic,2024-07-15 02:22:00+00:00,usd,Subscription creation,,,,,,,,,True,{},,,,canceled,,,,cus_QPiQfVdLlEwASz,,2024-08-14 01:39:21.781000+00:00
pi_3PcewXFCPJnn9IgI1JTdSAZa,,"[""card"",""cashapp""]",1499,0,1499,,,,,automatic,automatic,2024-07-15 02:47:13+00:00,usd,Subscription update,,,,,,,,,True,{},,,,succeeded,,,pm_1PRlgNFCPJnn9IgIzsMrsgcL,cus_QIMLC5JZmJ3NhI,,2024-08-14 01:39:22.304000+00:00
pi_3Pcf0OFCPJnn9IgI0EI1fNgJ,,"[""card"",""cashapp""]",2130,0,2130,,,,,automatic,automatic,2024-07-15 02:51:12+00:00,usd,Subscription update,,,,,,,,,True,{},,,,succeeded,,,pm_1Lz9OkFCPJnn9IgIOfi9bpid,cus_LZPt01SJM8NyI2,,2024-08-14 01:39:22.304000+00:00
