payment_method_id,description,brand,fingerprint,funding,three_d_secure_authentication_flow,three_d_secure_result,three_d_secure_result_reason,three_d_secure_version,type,charge_id,wallet_type,_fivetran_synced,three_d_secure_usage_supported
pm_1KKmr1FCPJnn9IgIGfH8gfO4,,mastercard,FS0aLAs20hYjprIa,debit,,,,,,,,2024-02-12 14:30:13.230000+00:00,True
card_1JhaOVFCPJnn9IgIi29mhMYO,,visa,iCYBVpHzbelgJ3Cf,debit,,,,,,,,2024-02-24 20:30:07.285000+00:00,True
pm_1KdOy7FCPJnn9IgI98uMv2B9,,visa,xCZeOQdFaQQCHkXD,credit,,,,,,,link,2024-05-10 00:05:36.748000+00:00,True
pm_1PcqfAFCPJnn9IgIqqka6UlZ,,amex,ciEt3xXkaF7iyT2Y,credit,,,,,,,link,2024-08-14 01:39:24.814000+00:00,True
pm_1PdCAxFCPJnn9IgIJoHnqHH5,,mastercard,jg8iroDc0r3yg7Yo,debit,,,,,,,link,2024-08-14 01:39:31.031000+00:00,True
pm_1PdGzxFCPJnn9IgIUpbyYX4Y,,visa,mRYwdSM7ytMDKhe4,debit,,,,,,,,2024-08-14 01:29:41.079000+00:00,True
pm_1PdM50FCPJnn9IgII85VExGj,,amex,VQW4jzYOJtt1vNhY,credit,,,,,,,link,2024-08-14 01:49:07.281000+00:00,True
pm_1PdbItFCPJnn9IgIwyZ1g1lb,,visa,uP7hLBN24bhBDYwr,debit,,,,,,,link,2024-08-14 01:29:53.304000+00:00,True
pm_1PdePrFCPJnn9IgIYhuZ5O9e,,visa,EFKzCKXLB6yZHqaU,debit,,,,,,,,2024-08-14 01:39:42.487000+00:00,True
pm_1PdhE4FCPJnn9IgIWF7FH0AE,,mastercard,5JkMV5RiU3On8eRC,credit,,,,,,,apple_pay,2024-08-14 01:39:42.683000+00:00,True
pm_1PeHmRFCPJnn9IgI0eJcIQxx,,visa,CQkhBYxhW90weZNK,credit,,,,,,,,2024-08-14 01:39:55.940000+00:00,True
pm_1Pel9GFCPJnn9IgI6FMSfxAj,,mastercard,neuhecIHwPsLekkF,debit,,,,,,,,2024-08-14 01:30:33.914000+00:00,True
pm_1PelpmFCPJnn9IgIHVxz9r3f,,mastercard,078zPfEOZtsvcmZb,debit,,,,,,,,2024-08-14 01:40:05.944000+00:00,True
pm_1Peya1FCPJnn9IgI1aCvDCJz,,visa,28nbg1bzMmzoKwkE,credit,,,,,,,,2024-08-14 01:30:40.716000+00:00,True
pm_1Pf1z9FCPJnn9IgIKAcswg0v,,visa,QGsGj5B2iC5YvmF1,credit,,,,,,,,2024-08-14 01:40:10.865000+00:00,True
pm_1Pf5ENFCPJnn9IgI3Fs2PBlC,,visa,2QIyAFJCTcL94cQi,debit,,,,,,,,2024-08-14 01:49:36.306000+00:00,True
pm_1Pf6mjFCPJnn9IgIOnGuv5uB,,visa,wFyI3mwPEQSecAp8,credit,,,,,,,,2024-08-14 01:40:13.024000+00:00,True
pm_1PfAdgFCPJnn9IgIeaAFk3wX,,visa,nnHSIMFHc1j9NCFy,debit,,,,,,,,2024-08-14 01:40:18.900000+00:00,True
pm_1PfQuEFCPJnn9IgImWqjyubc,,visa,lOIAAX7WYGJffpHj,credit,,,,,,,,2024-08-14 01:40:23.982000+00:00,True
pm_1PfRb6FCPJnn9IgIrwr2u9A1,,visa,yo653LoDAVC5jKz2,debit,,,,,,,,2024-08-14 01:40:23.128000+00:00,True
pm_1PfSapFCPJnn9IgI9FthFBws,,visa,bLsHpGEqRVk5Xekh,credit,,,,,,,,2024-08-14 01:49:43.155000+00:00,True
pm_1PfZ0KFCPJnn9IgIqjGtoq1c,,visa,ET8RdwupfLvy1ls3,debit,,,,,,,,2024-08-14 01:40:25.732000+00:00,True
pm_1PfayMFCPJnn9IgIFCv1VNo5,,visa,z1fF2EVEVGQIBiXE,credit,,,,,,,,2024-08-14 01:40:24.914000+00:00,True
pm_1PfgV0FCPJnn9IgIKcS7tqKi,,visa,A41dWhtzislWp4k7,credit,,,,,,,link,2024-08-14 01:31:02.150000+00:00,True
pm_1PfjndFCPJnn9IgIwEAygz5T,,mastercard,aC7TD3OAjIVsjg09,credit,,,,,,,,2024-08-14 01:40:29.203000+00:00,True
pm_1PfkE2FCPJnn9IgIZoFAgvLE,,mastercard,1bE0Z2VqQOnsMhjs,debit,,,,,,,,2024-08-14 01:40:29.298000+00:00,True
pm_1PfqImFCPJnn9IgIOAroWWrd,,visa,iXh6pyL1ZyqKvuvM,debit,,,,,,,,2024-08-14 01:40:31.196000+00:00,True
pm_1PfrOAFCPJnn9IgIs03MVoX9,,visa,GOjF63KW5oYaEzRJ,credit,,,,,,,link,2024-08-14 01:49:51.248000+00:00,True
pm_1PfrfeFCPJnn9IgI44NORwqe,,mastercard,4AWko9dmcdnduqKN,debit,,,,,,,,2024-08-14 01:40:31.574000+00:00,True
pm_1PfuHvFCPJnn9IgIOs4mN799,,visa,6isuUkpMSrmSwk3a,credit,,,,,,,,2024-08-14 01:49:53.277000+00:00,True
pm_1Pg5IoFCPJnn9IgIw2gsNDP6,,visa,IGp80MmCO88rKFlY,debit,,,,,,,link,2024-08-14 01:49:54.457000+00:00,True
