subscription_schedule_id,end_date,start_date,application_fee_percent,billing_thresholds_amount_gte,billing_thresholds_reset_billing_cycle_anchor,collection_method,default_payment_method,invoice_settings_days_until_due,tax_percent,trial_end,coupon_id,_fivetran_synced
sub_sched_1Pdw61FCPJnn9IgItUUHQXSi,2024-07-31 20:09:56+00:00,2024-07-31 20:09:55+00:00,,,,,,,,,,2024-08-14 01:20:09.338000+00:00
sub_sched_1PdvWuFCPJnn9IgInGdQAwRh,2024-08-01 17:00:01+00:00,2024-08-01 17:00:00+00:00,,,,,,,,,,2024-08-14 01:20:09.356000+00:00
sub_sched_1PhzSbFCPJnn9IgIPQkMTQZ5,2024-08-08 00:39:01+00:00,2024-08-08 00:39:00+00:00,,,,,,,,,,2024-08-14 01:20:20.468000+00:00
sub_sched_1PlH9BFCPJnn9IgIIkvDcA1v,2024-08-10 17:16:53+00:00,2024-08-10 17:16:52+00:00,,,,,,,,,,2024-08-14 01:20:30.420000+00:00
sub_sched_1PgF4zFCPJnn9IgIBXHJqTKh,2024-07-30 00:00:01+00:00,2024-07-30 00:00:00+00:00,,,,,,,,,,2024-08-14 01:20:15.847000+00:00
sub_sched_1PdxOaFCPJnn9IgIt5qgxtkl,2024-08-01 17:00:01+00:00,2024-08-01 17:00:00+00:00,,,,,,,,,,2024-08-14 01:20:09.329000+00:00
sub_sched_1PeeHJFCPJnn9IgIsBTLUsQn,2024-07-21 03:04:12+00:00,2024-07-21 03:04:11+00:00,,,,,,,,,,2024-08-14 01:20:11.421000+00:00
sub_sched_1Phy7JFCPJnn9IgIzj1mBbQB,2024-08-13 12:00:01+00:00,2024-08-13 12:00:00+00:00,,,,,,,,,,2024-08-14 01:20:20.410000+00:00
sub_sched_1Pi0LwFCPJnn9IgIJZTUrNKe,2024-08-27 19:24:10+00:00,2024-07-27 19:24:10+00:00,,,,,,,,,,2024-08-14 01:20:20.561000+00:00
sub_sched_1PeLzJFCPJnn9IgIFn5hdUxq,2024-07-22 00:46:44+00:00,2024-07-22 00:46:43+00:00,,,,,,,,,,2024-08-14 01:20:10.718000+00:00
sub_sched_1PlHBSFCPJnn9IgIreKyQhGU,2024-08-10 17:16:52+00:00,2024-07-10 17:16:52+00:00,,,,,,,,,,2024-08-14 01:20:30.420000+00:00
sub_sched_1PmiK9FCPJnn9IgIT8g4BA0X,2024-09-11 19:57:41+00:00,2024-09-11 19:57:40+00:00,,,,,,,,,,2024-08-14 01:20:34.345000+00:00
sub_sched_1Pi070FCPJnn9IgIhuEe9CXA,2024-07-30 19:59:33+00:00,2024-07-30 19:59:32+00:00,,,,,,,,,,2024-08-14 01:20:20.561000+00:00
sub_sched_1PfYSvFCPJnn9IgI5iv5e6Vd,2024-08-23 02:23:09+00:00,2024-08-23 02:23:08+00:00,,,,,,,,,,2024-08-14 01:20:13.771000+00:00
sub_sched_1PkRJlFCPJnn9IgI6x0rQdjo,2024-10-03 23:41:13+00:00,2023-10-03 23:41:13+00:00,,,,,,,,,,2024-08-14 01:20:28.092000+00:00
sub_sched_1PmqBNFCPJnn9IgIH358GntQ,2024-08-28 21:52:22+00:00,2024-07-28 21:52:22+00:00,,,,,,,,,,2024-08-14 01:20:34.597000+00:00
sub_sched_1PcoUmFCPJnn9IgIgMt1tIuI,2024-07-16 14:30:26+00:00,2024-07-16 14:30:25+00:00,,,,,,,,,,2024-08-14 01:20:06.267000+00:00
sub_sched_1PiLwJFCPJnn9IgIQQavdhos,2024-08-24 17:12:22+00:00,2024-08-24 17:12:21+00:00,,,,,,,,,,2024-08-14 01:20:21.645000+00:00
sub_sched_1PeK6JFCPJnn9IgIjSkkjJd1,2024-08-08 20:22:52+00:00,2024-07-08 20:22:52+00:00,,,,,,,,,,2024-08-14 01:20:10.437000+00:00
sub_sched_1Pe2lPFCPJnn9IgIZ9KnSWIG,2024-09-14 18:31:57+00:00,2024-06-14 18:31:57+00:00,,,,,,,,,,2024-08-14 01:20:09.719000+00:00
sub_sched_1PilQ6FCPJnn9IgIz6XF08pU,2024-08-16 19:01:58+00:00,2024-07-16 19:01:58+00:00,,,,,,,,,,2024-08-14 01:20:22.705000+00:00
sub_sched_1PgxC2FCPJnn9IgIMvmsfJ9I,2024-07-29 00:19:34+00:00,2024-06-29 00:19:34+00:00,,,,,,,,,,2024-08-14 01:20:17.488000+00:00
sub_sched_1Pf2YsFCPJnn9IgI0D16Vs9C,2024-09-10 15:13:13+00:00,2024-09-10 15:13:12+00:00,,,,,,,,,,2024-08-14 01:20:12.338000+00:00
sub_sched_1PlEfpFCPJnn9IgImgihNaEj,2024-09-01 17:00:00+00:00,2024-08-01 17:00:00+00:00,,,,,,,,,,2024-08-14 01:20:30.373000+00:00
sub_sched_1PddL7FCPJnn9IgIc35wVGkW,2024-07-22 00:00:00+00:00,2024-06-22 00:00:00+00:00,,,,,,,,,,2024-08-14 01:20:08.623000+00:00
sub_sched_1PeIRWFCPJnn9IgI5jGpNEPT,2024-07-19 23:29:25+00:00,2024-06-19 23:29:25+00:00,,,,,,,,,,2024-08-14 01:20:10.457000+00:00
sub_sched_1Pgb4CFCPJnn9IgIrNwKvLqz,2024-08-01 19:50:40+00:00,2024-07-01 19:50:40+00:00,,,,,,,,,,2024-08-14 01:20:16.499000+00:00
sub_sched_1Pf1mMFCPJnn9IgI4ef9Adxc,2024-07-28 22:54:40+00:00,2024-07-28 22:54:39+00:00,,,,,,,,,,2024-08-14 01:20:12.341000+00:00
sub_sched_1PlhNGFCPJnn9IgI420vNGe2,2024-08-30 19:34:08+00:00,2024-07-30 19:34:08+00:00,,,,,,,,,,2024-08-14 01:20:31.601000+00:00
sub_sched_1Pfp4pFCPJnn9IgIpSgKfGUL,2024-08-15 08:00:07+00:00,2024-07-15 08:00:07+00:00,,,,,,,,,,2024-08-14 01:20:14.547000+00:00
sub_sched_1PflZuFCPJnn9IgIWhXSZgNR,2024-08-22 00:48:40+00:00,2024-08-22 00:48:39+00:00,,,,,,,,,,2024-08-14 01:20:14.275000+00:00
sub_sched_1Pf29UFCPJnn9IgILK9Ftseo,2024-07-24 13:03:55+00:00,2024-06-24 13:03:55+00:00,,,,,,,,,,2024-08-14 01:20:12.338000+00:00
sub_sched_1PhN3SFCPJnn9IgI7THuPA75,2024-08-01 17:00:01+00:00,2024-08-01 17:00:00+00:00,,,,,,,,,,2024-08-14 01:20:18.695000+00:00
sub_sched_1PcdQsFCPJnn9IgI51cOnXmi,2024-08-13 16:43:36+00:00,2024-08-13 16:43:35+00:00,,,,,,,,,,2024-08-14 01:20:05.589000+00:00
sub_sched_1Pj1nYFCPJnn9IgIOeU0VpEp,2024-08-01 16:30:00+00:00,2024-08-01 16:29:59+00:00,,,,,,,,,,2024-08-14 01:20:23.519000+00:00
sub_sched_1PfqaaFCPJnn9IgIJfP9W1Qm,2024-08-06 03:21:31+00:00,2024-07-06 03:21:31+00:00,,,,,,,,,,2024-08-14 01:20:14.502000+00:00
