subscription_schedule_id,end_date,plan_id,start_date,quantity,_fivetran_synced
sub_sched_1Pj1nXFCPJnn9IgI93EdsAYI,2024-08-21 15:33:24+00:00,price_1JQZCDFCPJnn9IgIFVEWlVxH,2024-08-21 15:33:23+00:00,0,2024-08-14 01:20:23.519000+00:00
sub_sched_1PijKEFCPJnn9IgI892cNCP7,2024-08-09 22:05:37+00:00,price_1JQZCDFCPJnn9IgIFVEWlVxH,2024-07-09 22:05:37+00:00,1,2024-08-14 01:20:22.725000+00:00
sub_sched_1Phh3SFCPJnn9IgIQKUJrGC7,2024-08-23 18:05:47+00:00,price_1J8rYYFCPJnn9IgI7ezmCKAP,2024-08-23 18:05:46+00:00,0,2024-08-14 01:20:19.686000+00:00
sub_sched_1PhA4WFCPJnn9IgIBIsQUbaj,2024-08-14 19:57:43+00:00,price_1JQZCDFCPJnn9IgIFVEWlVxH,2024-08-14 19:57:42+00:00,0,2024-08-14 01:20:18.132000+00:00
sub_sched_1PfW7vFCPJnn9IgIPExqPZky,2024-08-04 03:30:15+00:00,price_1JQZCDFCPJnn9IgIFVEWlVxH,2024-08-04 03:30:14+00:00,0,2024-08-14 01:20:13.808000+00:00
sub_sched_1Phh7AFCPJnn9IgIx7h58R14,2024-08-23 18:05:46+00:00,price_1J8rYYFCPJnn9IgI7ezmCKAP,2024-07-23 18:05:46+00:00,1,2024-08-14 01:20:19.686000+00:00
sub_sched_1PgynpFCPJnn9IgIRuK0Yryb,2024-08-24 19:53:03+00:00,price_1JQZCDFCPJnn9IgIFVEWlVxH,2024-07-24 19:53:03+00:00,1,2024-08-14 01:20:17.731000+00:00
sub_sched_1PjMMBFCPJnn9IgILU3Jk04f,2024-08-28 18:18:01+00:00,price_1JQZCDFCPJnn9IgIFVEWlVxH,2024-07-28 18:18:01+00:00,1,2024-08-14 01:20:24.760000+00:00
sub_sched_1PfmClFCPJnn9IgI9t1Uj7Br,2024-07-28 22:30:26+00:00,price_1JQZCDFCPJnn9IgIFVEWlVxH,2024-06-28 22:30:26+00:00,1,2024-08-14 01:20:14.237000+00:00
sub_sched_1PdLO0FCPJnn9IgIcDOGLKF5,2024-08-12 00:00:00+00:00,price_1J8rYYFCPJnn9IgI7ezmCKAP,2024-07-12 00:00:00+00:00,1,2024-08-14 01:20:07.854000+00:00
sub_sched_1PgxGuFCPJnn9IgIEgbKihLm,2024-08-14 01:08:19+00:00,price_1JQZCDFCPJnn9IgIFVEWlVxH,2024-07-14 01:08:19+00:00,1,2024-08-14 01:20:17.488000+00:00
sub_sched_1PhzbuFCPJnn9IgIS2NSr4mZ,2024-08-02 17:51:49+00:00,price_1JQZCDFCPJnn9IgIFVEWlVxH,2024-08-02 17:51:48+00:00,0,2024-08-14 01:20:20.561000+00:00
sub_sched_1PfMdtFCPJnn9IgIrt9zT8sy,2024-08-01 17:00:01+00:00,price_1JQZCDFCPJnn9IgIFVEWlVxH,2024-08-01 17:00:00+00:00,1,2024-08-14 01:20:13.279000+00:00
sub_sched_1PnMtdFCPJnn9IgIKxEi6G3u,2025-08-13 15:32:51+00:00,price_1LAetfFCPJnn9IgIn72MHBKu,2024-08-13 15:32:51+00:00,1,2024-08-14 01:20:36.084000+00:00
sub_sched_1PfpeGFCPJnn9IgIRdh0qdB0,2024-08-01 17:00:01+00:00,price_1JQZCDFCPJnn9IgIFVEWlVxH,2024-08-01 17:00:00+00:00,0,2024-08-14 01:20:14.488000+00:00
sub_sched_1PlH9BFCPJnn9IgI4cUJIGuj,2024-08-27 14:42:44+00:00,price_1J8rYYFCPJnn9IgI7ezmCKAP,2024-08-27 14:42:43+00:00,0,2024-08-14 01:20:30.420000+00:00
sub_sched_1Pi4I2FCPJnn9IgI0KhbkGac,2024-08-26 17:44:34+00:00,price_1JQZCDFCPJnn9IgIFVEWlVxH,2024-07-26 17:44:34+00:00,1,2024-08-14 01:20:20.850000+00:00
sub_sched_1PdH5LFCPJnn9IgIee2xdQf6,2024-08-10 14:32:36+00:00,price_1JQZCDFCPJnn9IgIFVEWlVxH,2024-07-10 14:32:36+00:00,1,2024-08-14 01:20:07.546000+00:00
sub_sched_1PizPgFCPJnn9IgIVoEVSR5l,2024-08-26 14:01:20+00:00,price_1JQZCDFCPJnn9IgIFVEWlVxH,2024-08-26 14:01:19+00:00,0,2024-08-14 01:20:23.590000+00:00
sub_sched_1Pi2aXFCPJnn9IgILgPi4N8F,2024-08-02 15:07:53+00:00,price_1JQZCDFCPJnn9IgIFVEWlVxH,2024-07-02 15:07:53+00:00,1,2024-08-14 01:20:20.427000+00:00
sub_sched_1PikGAFCPJnn9IgIVcHHI30j,2024-08-29 01:59:37+00:00,price_1JQZCDFCPJnn9IgIFVEWlVxH,2024-07-29 01:59:37+00:00,1,2024-08-14 01:20:22.713000+00:00
sub_sched_1PhFV4FCPJnn9IgIkcyAawoM,2024-08-10 00:01:15+00:00,price_1JQZCDFCPJnn9IgIFVEWlVxH,2024-07-10 00:01:15+00:00,1,2024-08-14 01:20:18.399000+00:00
sub_sched_1Pel6PFCPJnn9IgIz804vUWU,2024-08-04 00:00:00+00:00,price_1J8rYYFCPJnn9IgI7ezmCKAP,2024-07-04 00:00:00+00:00,1,2024-08-14 01:20:11.685000+00:00
sub_sched_1PfnyGFCPJnn9IgIXwXWtwBr,2024-07-27 18:07:42+00:00,price_1JQZCDFCPJnn9IgIFVEWlVxH,2024-06-27 18:07:42+00:00,1,2024-08-14 01:20:14.499000+00:00
sub_sched_1PcoUmFCPJnn9IgIgMt1tIuI,2024-07-16 14:30:25+00:00,price_1LAetfFCPJnn9IgIn72MHBKu,2023-07-16 14:30:25+00:00,2,2024-08-14 01:20:06.267000+00:00
sub_sched_1PmSRHFCPJnn9IgINB0fzYia,2025-06-28 22:46:02+00:00,price_1LAetfFCPJnn9IgIn72MHBKu,2025-06-28 22:46:01+00:00,0,2024-08-14 01:20:33.660000+00:00
sub_sched_1Pf70RFCPJnn9IgIOWawLlkY,2024-08-02 20:55:47+00:00,price_1J8rYYFCPJnn9IgI7ezmCKAP,2024-08-02 20:55:46+00:00,1,2024-08-14 01:20:12.639000+00:00
sub_sched_1PhzQgFCPJnn9IgIPG5svHHT,2024-08-08 00:39:01+00:00,price_1JQZCDFCPJnn9IgIFVEWlVxH,2024-08-08 00:39:00+00:00,0,2024-08-14 01:20:20.468000+00:00
sub_sched_1Phc8sFCPJnn9IgIp36VbG5N,2025-01-10 00:52:20+00:00,price_1LAetfFCPJnn9IgIn72MHBKu,2024-01-10 00:52:20+00:00,1,2024-08-14 01:20:19.374000+00:00
