id,active,currency,nickname,recurring_aggregate_usage,recurring_interval,recurring_interval_count,recurring_usage_type,type,unit_amount,billing_scheme,created,livemode,metadata,lookup_key,tiers_mode,transform_quantity_divide_by,transform_quantity_round,unit_amount_decimal,is_deleted,invoice_item_id,product_id,_fivetran_synced
price_1LGt5iFCPJnn9IgIcI6LMFTu,False,usd,,,,,,one_time,7000.0,per_unit,2022-07-01 23:17:38+00:00,True,{},,,,,7000,False,ii_1LGt5iFCPJnn9IgIDvFLZuXa,prod_LyqnH9gJn4WtBZ,2022-07-02 02:29:59.480000+00:00
price_1LMGx8FCPJnn9IgIV5t25Arl,False,usd,,,,,,one_time,19900.0,per_unit,2022-07-16 19:47:02+00:00,True,{},,,,,19900,False,ii_1LMGx8FCPJnn9IgIER4h9qci,prod_M4Pm3VjDIEaKqb,2022-07-16 20:30:17.238000+00:00
price_1LRlg1FCPJnn9IgIIyBLNeRc,False,usd,,,,,,one_time,0.0,per_unit,2022-07-31 23:36:05+00:00,True,{},,,,,0,False,ii_1LRlg1FCPJnn9IgIimqkOriF,prod_MA5rQESiRSpbzF,2022-08-01 02:30:26.566000+00:00
price_1Lb2TsFCPJnn9IgIurqxqGL2,False,usd,,,,,,one_time,1999.0,per_unit,2022-08-26 13:21:52+00:00,True,{},,,,,1999,False,ii_1Lb2TsFCPJnn9IgIVFKKrQgu,prod_MJfpsKSFphPacP,2022-09-06 17:46:17.075000+00:00
price_1LhYLgFCPJnn9IgIoPnKWY5T,False,usd,,,,,,one_time,16700.0,per_unit,2022-09-13 12:36:20+00:00,True,{},,,,,16700,False,ii_1LhYLgFCPJnn9IgIo1r5XLgJ,prod_MQPAHBttb352rF,2022-09-13 14:30:27.103000+00:00
price_1LmzNrFCPJnn9IgIpQJUEx2E,False,usd,,,,,,one_time,900.0,per_unit,2022-09-28 12:29:03+00:00,True,{},,,,,900,False,ii_1LmzNrFCPJnn9IgIQodI8eG7,prod_MW1QkqjmrvdWJ2,2022-09-28 14:30:57.340000+00:00
price_1M3RxxFCPJnn9IgI1IXQat5u,False,usd,,,,,,one_time,3003.0,per_unit,2022-11-12 22:14:21+00:00,True,{},,,,,3003,False,ii_1M3RxxFCPJnn9IgICO3ZG5hJ,prod_M3bEXvOFlyGsIC,2022-11-13 02:30:28.684000+00:00
price_1MPSuiFCPJnn9IgIN15NQE28,False,usd,,,,,,one_time,10199.0,per_unit,2023-01-12 15:42:00+00:00,True,{},,,,,10199,True,,prod_N9mTnc9mJwS1U3,2023-01-12 20:29:59.401000+00:00
price_1MRjgSFCPJnn9IgI9SL2bXut,False,usd,,,,,,one_time,1499.0,per_unit,2023-01-18 22:00:40+00:00,True,{},,,,,1499,True,,prod_NC7wuYP719fZbR,2023-01-19 02:30:14.531000+00:00
price_1N5ZkVFCPJnn9IgIQx4kTqiM,False,usd,,,,,,one_time,1499.0,per_unit,2023-05-08 19:29:31+00:00,True,{},,,,,1499,True,,prod_NrILifNWlDneVu,2023-05-09 02:30:58.752000+00:00
