id,active,caption,created,description,livemode,name,package_dimensions_height,package_dimensions_length,package_dimensions_weight,package_dimensions_width,shippable,statement_descriptor,type,unit_label,updated,url,is_deleted,_fivetran_synced,metadata
prod_QcA1JQQFqoNrww,False,,2024-08-06 22:18:00+00:00,,True,expedited,,,,,,,service,,2024-08-07 19:03:40+00:00,,False,2024-08-14 01:19:59.591000+00:00,{}
prod_QWqoxyHbmle3sI,False,,2024-07-23 18:06:33+00:00,,True,FedEx 2Day (Special Shipping),,,,,,,service,,2024-07-23 18:06:33+00:00,,False,2024-08-14 01:45:36.214000+00:00,{}
prod_QNsXTUMgZqC8tz,False,,2024-06-29 19:17:33+00:00,,True,Trade-in for Refurb Pixel 6A,,,,,,,service,,2024-06-29 19:17:33+00:00,,False,2024-08-14 07:31:04.607000+00:00,{}
prod_NrLeotaTiKcECn,True,,2023-05-08 22:54:21+00:00,,True,Slim 5 Pack (Green - Additional Kids),,,,,,,service,,2023-12-18 16:59:55+00:00,,False,2024-08-14 04:01:22.435000+00:00,"{""Category"":""Pack"",""PackItemSkus"":""phone-slim5-g91s-green,accessory-protector-g91s-glass,accessory-case-g91s-black,cellular-usmobile-any-tm,insert-prepaidsubscription-all-12month"",""PackItems"":"" PW-G91S-GREEN,PROTECTOR-G91S,SLIMCASE-G91S-BLACK,USMOBILE-TM,PREPAID-SUBSCRIPTION-12MO"",""PackPhoneXREF"":""C01-S08-M07-V03"",""Sku"":""pack-slim-g91sgreen-noncellularaddlkids""}"
prod_Mqizg0n34iJNjc,True,,2022-11-22 18:49:31+00:00,,True,Slim 5 Pack w/ Cellular (Additional Kids),,,,,,,service,,2023-12-27 08:03:42+00:00,,False,2024-08-14 04:01:50.050000+00:00,"{""Category"":""Pack"",""PackItemSkus"":""phone-slim5-g91s-blue,accessory-protector-g91s-glass,accessory-case-g91s-black,insert-prepaidsubscription-all-12month,cellular-ultraprepaid2gb12m-any-standard"",""PackItems"":""PW-G91S-BLUE,PROTECTOR-G91S,SLIMCASE-G91S-BLACK,PREPAID-SUBSCRIPTION-12MO,ULTRAMOBILE-PREPAID-2GB-1"",""PackPhoneXREF"":""C01-S08-M07-V04"",""Sku"":""pack-slim-g91sblue-cellularaddlkids""}"
prod_JmQQnsiAOBW667,False,,2021-07-02 18:59:15+00:00,"Bark is a safe app trusted by schools and used by almost 6 million children. It monitors messages for cyberbullying, profanity, threats of violence and more. Our partnership with Bark allows us to offer the discounted rate of $60/yr, a $120 savings.",True,Bark (Yearly),,,,,,,service,,2023-10-09 08:04:24+00:00,,False,2024-08-14 04:03:14.322000+00:00,"{""Category"":""App"",""XREF"":""C02-S01-M00-V02""}"
prod_QIjEnBP227dJeq,False,,2024-06-16 01:20:26+00:00,,True,Missing charger + charging cable,,,,,,,service,,2024-06-16 01:20:37+00:00,,False,2024-08-14 07:32:06.919000+00:00,{}
prod_QERcCiQx4fugRm,False,,2024-06-04 14:52:53+00:00,,True,Pixel 8A upgrade from Refurb Pixel 6A,,,,,,,service,,2024-06-04 14:52:53+00:00,,False,2024-08-14 07:33:11.239000+00:00,{}
prod_O8CEBlGh1VevS7,False,,2023-06-22 22:18:54+00:00,,True,Plus 2 - Screen Protector,,,,,,,service,,2023-06-22 22:18:54+00:00,,False,2024-08-14 15:53:50.828000+00:00,{}
prod_OAkD8DfbYo92uc,False,,2023-06-29 17:34:01+00:00,,True,Plus 3,,,,,,,service,,2023-06-29 17:34:01+00:00,,False,2024-08-14 15:53:43.035000+00:00,{}
prod_NwXaXbVATFnoC5,False,,2023-05-22 19:34:29+00:00,,True,Rugged 3 (Refurbished),,,,,,,service,,2023-10-09 09:30:40+00:00,,False,2024-08-14 15:58:05.025000+00:00,{}
prod_N5J7PQHoL8xSXX,False,,2022-12-31 17:05:22+00:00,,True,US,,,,,,,service,,2022-12-31 17:05:22+00:00,,False,2024-08-14 17:48:37.438000+00:00,{}
prod_OsM3PfQkweRF4O,True,,2023-10-24 03:31:34+00:00,"For the Pinwheel Pixel 7A. Set up your kid for success by adding a case. With military-grade shock resistance, this case provides extra protection against accidents.",True,Guardian Case (Blue) - Pixel 7A,,,,,,,service,,2024-04-15 05:50:57+00:00,,False,2024-08-14 12:48:29.615000+00:00,"{""AmpSku"":""GDCASE-7A-BLUE"",""Category"":""Accessory"",""Color"":""Navy"",""Model"":""7A"",""Sku"":""accessory-case-7a-gdblue"",""XREF"":""C04-S01-M09-V07"",""displayName"":""Pinwheel Pixel 7A""}"
prod_Os8SvKOzsVP4ME,False,,2023-10-23 13:28:49+00:00,,True,Priority Shipping,,,,,,,service,,2023-10-23 13:28:49+00:00,,False,2024-08-14 13:01:47.332000+00:00,{}
prod_NC7w8DxTSYm12r,False,,2023-01-18 22:00:28+00:00,For the Pinwheel Plus 2. Set up your kid for success by adding a case. This 2 piece case has a back with an anti-scratch design. ,True,Dual Layer Case (Lavender) - Plus 2,,,,,,,service,,2023-10-09 08:12:47+00:00,,False,2024-08-14 17:34:24.724000+00:00,"{""AmpSku"":""DLCASE-A135G-LAVENDER"",""Category"":""Accessory"",""Color"":""MediumPurple"",""Model"":""A13 5G"",""XREF"":""C04-S01-M05-V02"",""displayName"":""Pinwheel Plus 2""}"
prod_OSP5jmUW2Jttka,True,,2023-08-15 20:55:32+00:00,,True,Pixel 7A,,,,,,,service,,2024-05-30 19:01:28+00:00,,False,2024-08-14 12:47:55.162000+00:00,"{""AmpSku"":""PW-7A-BLACK"",""Category"":""Phone"",""CompatibilityText"":""*Compatible with all major carriers*"",""Description"":""The Google Pixel 7a offers an impressive range of features and functionalities. With its sleek design, powerful performance and advanced camera capabilities, the Pixel 7a aims to deliver an exceptional user experience. Your kids will love it!"",""ExpectedShippingDate"":""2023-08-20"",""HardwareDetails"":""• 6.1\"" Full High Definition OLED smooth scrolling display\n• Dual rear cameras: 64 MP wide lens and 13 MP ultrawide lens\n• 13 MP ultrawide lens front camera with panoramic view\n• 4K video capability\n• Up to 3 days of battery life\n• 128GB Memory\n• 8GB RAM\n• Wireless charging capable\n• Compatible with all major carriers, including 5G"",""Model"":""7A"",""Sku"":""phone-pixel2-7a-charcoal"",""SupportedNetworks"":""TMO,ATT,VZW"",""XREF"":""C01-S00-M16-V00"",""displayName"":""Pixel""}"
prod_NPEIBIJreKaxxl,False,,2023-02-22 21:26:56+00:00,,True,Refurbished Slim 5 (G91S) - Green,,,,,,,service,,2023-10-09 08:37:51+00:00,,False,2024-08-14 17:41:33.946000+00:00,{}
prod_NWNAFTrQahTz69,False,,2023-03-13 23:04:25+00:00,,True,Refurbished Slim 5 (G91S - Blue),,,,,,,service,,2023-10-09 08:47:36+00:00,,False,2024-08-14 17:38:32.291000+00:00,{}
prod_NC7u5CvN88oLde,False,,2023-01-18 21:58:43+00:00,For the Pinwheel Plus 2. Set up your kid for success by adding a case. This 2 piece case has a solid back with an anti-scratch design.,True,Dual Layer Case (Aqua) - Plus 2,,,,,,,service,,2023-10-09 08:12:46+00:00,,False,2024-08-14 17:31:49.374000+00:00,"{""AmpSku"":""DLCASE-A135G-AQUA"",""Category"":""Accessory"",""Color"":""MediumTurquoise"",""Model"":""A13 5G"",""XREF"":""C04-S01-M05-V04"",""displayName"":""Pinwheel Plus 2""}"
prod_NPwQ6X4tJ229Yr,False,,2023-02-24 19:03:08+00:00,,True,Refurbished Plus 2 (A14 5G),,,,,,,service,,2023-10-09 08:38:57+00:00,,False,2024-08-14 17:41:24.863000+00:00,{}
prod_NUqld500z6Qju5,False,,2023-03-09 21:31:36+00:00,,True,Refurbished Rugged 3 (X10 Pro),,,,,,,service,,2023-10-09 08:45:45+00:00,,False,2024-08-14 17:31:19.848000+00:00,{}
prod_O4VcxSC9Dz02AF,False,,2023-06-13 02:05:09+00:00,,True,Guardian Case (Red) (Plus 2),,,,,,,service,,2023-06-13 02:05:09+00:00,,False,2024-08-14 15:54:55.719000+00:00,{}
prod_NYqfGoTMUBbYrk,False,,2023-03-20 13:41:21+00:00,,True,Refurbished G91S Blue,,,,,,,service,,2023-03-20 13:41:21+00:00,,False,2024-08-14 17:38:06.132000+00:00,{}
prod_NZ2fYl0XK4v8U3,False,,2023-03-21 02:05:21+00:00,,True,Trade-in: Slim (A01) to Rugged 3 (X10 Pro),,,,,,,service,,2023-03-21 02:05:21+00:00,,False,2024-08-14 17:38:03.234000+00:00,{}
prod_PWeuQO9ql66HpA,False,,2024-02-08 17:40:45+00:00,,True,Trade in: Refurbished Genesis for Slim 5 (Blue),,,,,,,service,,2024-02-08 17:40:45+00:00,,False,2024-08-14 12:48:25.743000+00:00,{}
prod_Os8RPd6FldUxu8,False,,2023-10-23 13:27:59+00:00,,True,Plus 3 (Upgrade from Slim5),,,,,,,service,,2023-10-23 13:27:59+00:00,,False,2024-08-14 13:01:47.484000+00:00,{}
prod_OA3WBt3zbHEbeA,False,,2023-06-27 21:26:35+00:00,,True,Plus 2 - Dual Layer Case (black),,,,,,,service,,2023-06-27 21:26:35+00:00,,False,2024-08-14 15:53:50.722000+00:00,{}
prod_Nhv6p3bsSYGQuX,False,,2023-04-13 18:52:21+00:00,,True,Monthly subscription,,,,,,,service,,2023-04-13 18:52:21+00:00,,False,2024-08-14 17:34:53.399000+00:00,{}
prod_NrIKfxUrg8gEN1,False,,2023-05-08 19:29:09+00:00,For the Pinwheel Plus 3. Set up your kid for success by adding a case. This 2 piece case has a transparent acrylic back with an anti-scratch design. Perfect for showing off your new phone!,True,Dual Layer Case (Red) - Plus 3,,,,,,,service,,2023-05-08 21:03:59+00:00,,True,2023-05-09 02:30:58.753000+00:00,"{""AmpSku"":""DLCASE-A14-RED"",""Category"":""Accessory"",""Color"":""Red"",""Model "":""A14"",""XREF"":""C04-S01-M07-V05"",""displayName"":""Pinwheel Plus 3""}"
prod_QFLAuAptA0naCY,False,,2024-06-07 00:16:36+00:00,,True,(Copy) Plus 4 Pack w/ Cellular (Additional Kids),,,,,,,service,,2024-06-07 00:17:02+00:00,,True,2024-06-08 00:02:33.787000+00:00,"{""Category"":""Pack"",""PackItemSkus"":""phone-plus4-a15-blueblack,accessory-case-a15-dlblack,accessory-protector-a15-glass,insert-prepaidsubscription-all-12month,cellular-ultraprepaid2gb12m-any-standard"",""Sku"":""pack-plus-a15-cellularaddlkids""}"
prod_QbjqO8bTJVDITf,False,,2024-08-05 19:14:33+00:00,,True,Plus 3 (Trade-in for Genesis,,,,,,,service,,2024-08-05 19:14:33+00:00,,False,2024-08-14 01:47:32.614000+00:00,{}
prod_QA0UgroPfWXUDY,False,,2024-05-23 18:35:14+00:00,,True,protector,,,,,,,service,,2024-05-23 18:35:14+00:00,,False,2024-08-14 07:34:56.867000+00:00,{}
prod_HAFtRsX04IYRix,False,,2020-04-25 21:17:54+00:00,,True,Pinwheel Free Range Kid,,,,,,PINWHEEL,service,device,2021-07-02 13:36:21+00:00,,False,2024-08-14 04:04:25.099000+00:00,{}
prod_QMmW9Z39dNBDGn,False,,2024-06-26 21:01:04+00:00,,True,Annual Subscription (sibling discount),,,,,,,service,,2024-06-26 21:01:04+00:00,,False,2024-08-14 07:31:16.917000+00:00,{}
prod_JofJmjXV4S9ujQ,False,,2021-07-08 18:29:27+00:00,"Our rugged smartphones are perfect for kids that play hard, and your child will love the fun yellow accent on our Rugged Yellow. No need to buy a case for this super sturdy device since it is designed to be water and dirt resistant.",True,OLD Rugged (X8) (Yellow),,,,,,,service,,2023-10-09 08:04:26+00:00,,False,2024-08-14 04:03:13.305000+00:00,"{""Category"":""Phone"",""Color"":""Yellow"",""CompatibilityText"":""* Only compatible with T-Mobile and Mint"",""Model"":""X8"",""XREF"":""C01-S00-M03-V01"",""displayName"":""Rugged""}"
prod_HAFqUnlxqqCvsE,False,,2020-04-25 21:15:16+00:00,,True,Pinwheel Homebody,,,,,,PINWHEEL,service,device,2021-07-02 13:36:23+00:00,,False,2024-08-14 04:04:25.099000+00:00,{}
prod_NpoKKscAw9d2IC,True,,2023-05-04 20:25:12+00:00,,True,Slim 5 Pack w/ Cellular (Green),,,,,,,service,,2023-12-18 16:54:36+00:00,,False,2024-08-14 04:01:23.163000+00:00,"{""AffirmLabel"":""$38/mo"",""Category"":""Pack"",""Color"":""DarkOliveGreen"",""Description"":""A pack sets you up with everything you need for one year with Pinwheel with no monthly fees at a discounted price.\n\nYour Slim 5 Pack includes:\n* Slim 5 Smartphone\n* Black Case\n* Screen Protector\n* 12-month Caregiver Portal subscription\n* 12-month pre-paid cellular service from Ultra Mobile\n"",""DisplayItems"":""Slim 5,Case,Screen protector,12 month Pinwheel subscription,12 month Ultra Mobile cell plan"",""PackItemSkus"":""phone-slim5-g91s-green,accessory-protector-g91s-glass,accessory-case-g91s-black,insert-prepaidsubscription-all-12month,cellular-ultraprepaid2gb12m-any-standard"",""PackItems"":""PW-G91S-GREEN,PROTECTOR-G91S,SLIMCASE-G91S-BLACK,PREPAID-SUBSCRIPTION-12MO,ULTRAMOBILE-PREPAID-2GB-1"",""PackPhoneSku"":""phone-slim5-g91s-green"",""PackPhoneXREF"":""C01-S08-M07-V03"",""PackPrice"":""57900"",""Sku"":""pack-slim-g91sgreen-cellular"",""XREF"":""C06-S00-M03-V02"",""displayName"":""Slim 5 Pack (Green) (With Cellular)""}"
prod_JbZtcQqHx4PonK,False,,2021-06-03 20:01:23+00:00,2+ Children,True,Add-On Child,,,,,,,service,,2021-07-02 13:36:14+00:00,,False,2024-08-14 04:03:19.235000+00:00,{}
prod_QLy9R0dDLDVUrM,False,,2024-06-24 16:57:55+00:00,,True,Plus 4 (Trade-in for 2 Genesis phones),,,,,,,service,,2024-06-24 16:57:55+00:00,,False,2024-08-14 07:31:29.433000+00:00,{}
prod_QLvlFx4lq42tLR,False,,2024-06-24 14:29:33+00:00,,True,Slim 5 Pack (Genesis Pack trade-in),,,,,,,service,,2024-06-24 14:29:33+00:00,,False,2024-08-14 07:31:27.181000+00:00,{}
prod_NpLWETBUZRJZ9h,False,,2023-05-03 14:38:41+00:00,,True,Refurbished Rugged 3,,,,,,,service,,2023-10-09 09:17:35+00:00,,False,2024-08-14 15:56:00.570000+00:00,{}
prod_NGxoRaP9jZbouU,False,,2023-01-31 19:52:51+00:00,,True,Pinwheel Slim 3 (G50) Screen Protector,,,,,,,service,,2023-01-31 19:52:51+00:00,,False,2024-08-14 17:44:38.198000+00:00,{}
prod_N7JRfyKMaWffSm,False,,2023-01-06 01:33:35+00:00,,True,Plus 2 (A13 5G) Refurbished,,,,,,,service,,2023-10-09 08:06:03+00:00,,False,2024-08-14 17:46:34.314000+00:00,{}
prod_NLZVAaHp9JWm4R,False,,2023-02-13 03:05:57+00:00,,True,Refurbished Rugged 3 (X10),,,,,,,service,,2023-02-13 03:05:57+00:00,,False,2024-08-14 17:42:07.353000+00:00,{}
prod_NPsmwLWHt5ie2Y,False,,2023-02-24 15:16:26+00:00,,True,Charging Block,,,,,,,service,,2023-02-24 15:16:26+00:00,,False,2024-08-14 17:41:25.318000+00:00,{}
prod_N6UumD55zdJJz5,False,,2023-01-03 21:21:00+00:00,,True,"Rugged (X8, Yellow) - Replacement",,,,,,,service,,2023-10-09 08:04:39+00:00,,False,2024-08-14 17:47:06.229000+00:00,{}
prod_NWkYUk7qJCzy9c,False,,2023-03-14 23:15:05+00:00,,True,Refurbished Slim 5 (G91S Blue),,,,,,,service,,2023-10-09 08:48:19+00:00,,False,2024-08-14 17:38:26.979000+00:00,{}
prod_Nz6wJaUn5rDFVW,False,,2023-05-29 16:15:16+00:00,,True,"Screen Protector (Plus 2, Free)",,,,,,,service,,2023-05-29 16:15:16+00:00,,False,2024-08-14 15:57:35.699000+00:00,{}
prod_NQzcqSdBpLFpIZ,False,,2023-02-27 14:25:06+00:00,,True,Refurbished Slim 5 (Green - G91s),,,,,,,service,,2023-02-27 14:25:06+00:00,,False,2024-08-14 17:41:10.933000+00:00,{}
prod_NR2Iu26syXBevM,False,,2023-02-27 17:10:22+00:00,,True,Refurbished Slim 5 (G91s - Blue),,,,,,,service,,2023-02-27 17:10:22+00:00,,False,2024-08-14 17:38:20.718000+00:00,{}
prod_NrJ1n2XiOOH2Nb,True,,2023-05-08 20:11:50+00:00,"For the Pinwheel Plus 3. Set up your kid for success by adding a case. With military-grade shock resistance, this case provides extra protection against accidents.",True,Guardian Case (Pink) - Plus 3,,,,,,,service,,2024-04-15 05:53:09+00:00,,False,2024-08-14 12:56:02.880000+00:00,"{""AmpSku"":""GDCASE-A14-PINK"",""Category"":""Accessory"",""Color"":""HotPink"",""Model"":""A14"",""Sku"":""accessory-case-a14-gdpink"",""XREF"":""C04-S01-M07-V14"",""displayName"":""Pinwheel Plus 3""}"
prod_Oyzr2WgwUYgroB,False,,2023-11-10 21:03:35+00:00,,True,2-Day Shipping,,,,,,,service,,2023-11-10 21:03:35+00:00,,False,2024-08-14 12:59:09.339000+00:00,{}
prod_OfVacPYWWub3KJ,False,,2023-09-19 20:30:55+00:00,,True,Plus 3 (pre-owned),,,,,,,service,,2023-10-09 09:21:21+00:00,,False,2024-08-14 13:05:58.782000+00:00,{}
