quote_id,id,price_id,amount_subtotal,amount_tax,amount_total,currency,description,quantity,_fivetran_synced
qt_1JS35oFCPJnn9IgIDRG5LO9G,li_1JS370FCPJnn9IgIe4CLBWhz,price_1J8rnFFCPJnn9IgIPTv7wMtY,14900,1229,16129,usd,Slim (G50),1,2024-08-14 01:19:37.608000+00:00
qt_1JS35oFCPJnn9IgIDRG5LO9G,li_1JS370FCPJnn9IgIeO8IaevB,price_1JO119FCPJnn9IgIySHnZYhv,1499,114,1499,usd,Subscription (Monthly),1,2024-08-14 01:19:37.608000+00:00
qt_1JS35oFCPJnn9IgIDRG5LO9G,li_1JS370FCPJnn9IgIn8F1tOUV,price_1J8rmeFCPJnn9IgIk8WnbjW4,19900,1642,21542,usd,Slim (VA01),1,2024-08-14 01:19:37.608000+00:00
qt_1JS35oFCPJnn9IgIDRG5LO9G,li_1JS370FCPJnn9IgIhXf6urRI,price_1JFKX1FCPJnn9IgIgcMgSt4l,100,8,108,usd,Mint Mobile Sim Card,1,2024-08-14 01:19:37.608000+00:00
qt_1JTEVUFCPJnn9IgI1VYOZb7t,li_1JTEWmFCPJnn9IgIJTsZSOjy,price_1J8rnFFCPJnn9IgIPTv7wMtY,14900,1230,16130,usd,Slim (G50),1,2024-08-14 01:19:37.607000+00:00
qt_1L6HsNFCPJnn9IgI1LRAV4mU,li_1L6HsOFCPJnn9IgIarFuZts9,price_1JmO0JFCPJnn9IgIyXChYvMf,1000,74,1074,usd,Three Business Days,1,2024-08-14 01:19:37.599000+00:00
qt_1KZKEQFCPJnn9IgINjo4Dhk4,li_1KZKERFCPJnn9IgIHJ9auOdR,price_1JVFjBFCPJnn9IgInDC6IQ80,11000,1023,11000,usd,Replacement (G50),1,2024-08-14 01:19:37.601000+00:00
qt_1JTEVUFCPJnn9IgI1VYOZb7t,li_1JTEWmFCPJnn9IgI5VgX5RVd,price_1JQZCDFCPJnn9IgIFVEWlVxH,0,0,0,usd,Trial period for Subscription (Monthly),1,2024-08-14 01:19:37.607000+00:00
qt_1JS3I3FCPJnn9IgIEGOw2Bfu,li_1JS3IQFCPJnn9IgIzLhfgxFi,price_1J8rnFFCPJnn9IgIPTv7wMtY,14900,1229,16129,usd,Slim (G50),1,2024-08-14 01:19:37.608000+00:00
qt_1JS3I3FCPJnn9IgIEGOw2Bfu,li_1JS3IQFCPJnn9IgI0RuaVWs2,price_1JO119FCPJnn9IgIySHnZYhv,1499,114,1499,usd,Subscription (Monthly),1,2024-08-14 01:19:37.608000+00:00
qt_1JTEVUFCPJnn9IgI1VYOZb7t,li_1JTEWmFCPJnn9IgINkPUelHU,price_1J8rurFCPJnn9IgIiDwN1egZ,999,82,1081,usd,Case (G50) (Black),1,2024-08-14 01:19:37.607000+00:00
