quote_id,id,price_id,amount_subtotal,amount_tax,amount_total,currency,description,quantity,_fivetran_synced
qt_1JTEVUFCPJnn9IgI1VYOZb7t,li_1JTEVnFCPJnn9IgIICeiR6Aq,price_1J8rnFFCPJnn9IgIPTv7wMtY,14900,1229,16129,usd,Slim (G50),1,2024-08-14 01:19:37.606000+00:00
qt_1JS3I3FCPJnn9IgIEGOw2Bfu,li_1JS3IIFCPJnn9IgIc99F21ha,price_1J8rnFFCPJnn9IgIPTv7wMtY,14900,1229,16129,usd,Slim (G50),1,2024-08-14 01:19:37.607000+00:00
qt_1JTEVUFCPJnn9IgI1VYOZb7t,li_1JTEVVFCPJnn9IgI3WHsIpvL,price_1JQZCDFCPJnn9IgIFVEWlVxH,1499,124,1623,usd,Subscription (Monthly),1,2024-08-14 01:19:37.601000+00:00
qt_1JS3I3FCPJnn9IgIEGOw2Bfu,li_1JS3IQFCPJnn9IgIKDe8zbEc,price_1JO119FCPJnn9IgIySHnZYhv,1499,114,1499,usd,Subscription (Monthly),1,2024-08-14 01:19:37.608000+00:00
qt_1KZKEQFCPJnn9IgINjo4Dhk4,li_1KZKEQFCPJnn9IgIteM9kTMo,price_1JVFjBFCPJnn9IgInDC6IQ80,11000,1023,11000,usd,Replacement (G50),1,2024-08-14 01:19:37.601000+00:00
qt_1L6HsNFCPJnn9IgI1LRAV4mU,li_1L6HsOFCPJnn9IgIXN9G1F44,price_1JmO0JFCPJnn9IgIyXChYvMf,1000,74,1074,usd,Three Business Days,1,2024-08-14 01:19:37.593000+00:00
qt_1JTEVUFCPJnn9IgI1VYOZb7t,li_1JTEW2FCPJnn9IgIsBFhPlLy,price_1J8rurFCPJnn9IgIiDwN1egZ,999,82,1081,usd,Case (G50) (Black),1,2024-08-14 01:19:37.607000+00:00
qt_1JS35oFCPJnn9IgIDRG5LO9G,li_1JS362FCPJnn9IgIiJx6s1dX,price_1J8rnFFCPJnn9IgIPTv7wMtY,14900,1229,16129,usd,Slim (G50),1,2024-08-14 01:19:37.608000+00:00
qt_1JS35oFCPJnn9IgIDRG5LO9G,li_1JS370FCPJnn9IgISOARXbAd,price_1J8rmeFCPJnn9IgIk8WnbjW4,19900,1642,21542,usd,Slim (VA01),1,2024-08-14 01:19:37.608000+00:00
qt_1JS35oFCPJnn9IgIDRG5LO9G,li_1JS366FCPJnn9IgI8QSAibcu,price_1JO119FCPJnn9IgIySHnZYhv,1499,114,1499,usd,Subscription (Monthly),1,2024-08-14 01:19:37.608000+00:00
qt_1JS35oFCPJnn9IgIDRG5LO9G,li_1JS36AFCPJnn9IgIu9O72Q7A,price_1JFKX1FCPJnn9IgIgcMgSt4l,100,8,108,usd,Mint Mobile Sim Card,1,2024-08-14 01:19:37.608000+00:00
