setup_intent_id,id,on_behalf_of,default_payment_method_id,application,created,livemode,status,usage,setup_error_code,setup_error_decline_code,setup_error_doc_url,setup_error_message,setup_error_type,_fivetran_synced
seti_1PcjFAFCPJnn9IgII4wMTPfI,setatt_1PcjFAFCPJnn9IgISTpMeXCV,,pm_1PcjF5FCPJnn9IgINIyoaLwC,,2024-07-15 07:22:44+00:00,True,succeeded,off_session,,,,,,2024-08-14 01:29:22.175000+00:00
seti_1PgFBTFCPJnn9IgI2Fwu6HSu,setatt_1PgFCBFCPJnn9IgI5lBFnoO2,,pm_1PgFCBFCPJnn9IgIOz6hHSwM,,2024-07-25 00:06:11+00:00,True,succeeded,off_session,,,,,,2024-08-14 01:31:28.165000+00:00
seti_1Plt44FCPJnn9IgIENTpY3BY,setatt_1Plt44FCPJnn9IgIPVMoIp1p,,pm_1Plt41FCPJnn9IgIWghg5zYj,,2024-08-09 13:41:08+00:00,True,succeeded,off_session,,,,,,2024-08-14 01:35:18.675000+00:00
seti_1PiiUaFCPJnn9IgINRn3SsLg,setatt_1PiiUaFCPJnn9IgIRH1P2wt6,,pm_1PiiUXFCPJnn9IgIdusot00T,,2024-07-31 19:47:24+00:00,True,succeeded,off_session,,,,,,2024-08-14 01:32:55.292000+00:00
seti_1PmilIFCPJnn9IgI5gg3phaG,setatt_1PmilIFCPJnn9IgI2yzmFLRB,,pm_1PmilEFCPJnn9IgI5NV5RKfJ,,2024-08-11 20:53:12+00:00,True,succeeded,off_session,,,,,,2024-08-14 01:35:52.585000+00:00
seti_1PinoSFCPJnn9IgIfnslvr7t,setatt_1PinoSFCPJnn9IgIgz6WH0z0,,src_1PinoJFCPJnn9IgIRpp9tFS9,,2024-08-01 01:28:16+00:00,True,succeeded,off_session,,,,,,2024-08-14 01:32:57.747000+00:00
seti_1PmqHvFCPJnn9IgIoPgfDBRb,setatt_1PmqJtFCPJnn9IgIRxTHW4sH,,pm_1PmqJtFCPJnn9IgI6frlbbXb,,2024-08-12 04:57:25+00:00,True,succeeded,off_session,,,,,,2024-08-14 01:35:59.085000+00:00
seti_1Pe6YBFCPJnn9IgIRYDA4jp4,setatt_1Pe6a7FCPJnn9IgIMXESCSGm,,pm_1Pe6a6FCPJnn9IgIqLty9dcz,,2024-07-19 02:30:03+00:00,True,succeeded,off_session,,,,,,2024-08-14 01:30:11.649000+00:00
seti_1PhEVHFCPJnn9IgIhhz5TcSg,setatt_1PhEVHFCPJnn9IgIDO5Diu6g,,pm_1PhEV7FCPJnn9IgI48tcXiQh,,2024-07-27 17:33:59+00:00,True,succeeded,off_session,,,,,,2024-08-14 01:31:56.205000+00:00
seti_1PioKLFCPJnn9IgIztAPibu4,setatt_1PioKLFCPJnn9IgIDYtum6ae,,pm_1PioKCFCPJnn9IgIcyMtHpKo,,2024-08-01 02:01:13+00:00,True,succeeded,off_session,,,,,,2024-08-14 01:32:57.935000+00:00
seti_1PkXZKFCPJnn9IgIN5y5Ok6C,setatt_1PkXe3FCPJnn9IgIGzymkh58,,pm_1PkXe3FCPJnn9IgIF0KdCSAK,,2024-08-05 20:36:43+00:00,True,succeeded,off_session,,,,,,2024-08-14 01:34:11.583000+00:00
seti_1PdGyoFCPJnn9IgI25Bf0abH,setatt_1PdGzyFCPJnn9IgIEb5yUNFQ,,pm_1PdGzxFCPJnn9IgIUpbyYX4Y,,2024-07-16 19:25:18+00:00,True,succeeded,off_session,,,,,,2024-08-14 01:29:41.079000+00:00
seti_1Pn4NbFCPJnn9IgIpjv5Mfv9,setatt_1Pn4NbFCPJnn9IgIGxFHCAhC,,pm_1Pn4NVFCPJnn9IgIJknyqShS,,2024-08-12 19:58:11+00:00,True,succeeded,off_session,,,,,,2024-08-14 01:36:08.711000+00:00
seti_1Pczc6FCPJnn9IgIdxizoGl9,setatt_1Pczc6FCPJnn9IgITqppvid0,,pm_1Pczc3FCPJnn9IgI895ZhCsI,,2024-07-16 00:51:30+00:00,True,succeeded,off_session,,,,,,2024-08-14 01:29:32.477000+00:00
seti_1PcqoxFCPJnn9IgIAGoxIYKm,setatt_1PcqoxFCPJnn9IgIcBaFb6fB,,src_1PcqomFCPJnn9IgIPNsll1bZ,,2024-07-15 15:28:11+00:00,True,succeeded,off_session,,,,,,2024-08-14 01:29:26.243000+00:00
seti_1Pdb2ZFCPJnn9IgI2Npmg5Br,setatt_1Pdb2ZFCPJnn9IgIUbOKhyLM,,pm_1Pdb2RFCPJnn9IgI3rSj61bb,,2024-07-17 16:49:19+00:00,True,succeeded,off_session,,,,,,2024-08-14 01:29:54.380000+00:00
seti_1PelfGFCPJnn9IgIbE6wlhCs,setatt_1PelfGFCPJnn9IgIkoFM6cer,,pm_1PelfCFCPJnn9IgI3hwdUMza,,2024-07-20 22:22:06+00:00,True,succeeded,off_session,,,,,,2024-08-14 01:30:32.581000+00:00
seti_1PiqdSFCPJnn9IgIuBIdgTO9,setatt_1PiqdSFCPJnn9IgInJdpI064,,src_1PiqdHFCPJnn9IgIhkzjqdH8,,2024-08-01 04:29:06+00:00,True,succeeded,off_session,,,,,,2024-08-14 01:32:57.554000+00:00
seti_1PillJFCPJnn9IgIglyC7fee,setatt_1Pilm3FCPJnn9IgIEnOdwKCK,,pm_1Pilm3FCPJnn9IgIU1EZimN2,,2024-07-31 23:17:39+00:00,True,succeeded,off_session,,,,,,2024-08-14 01:32:50.385000+00:00
seti_1PikmMFCPJnn9IgIrU9J2ysp,setatt_1PikmMFCPJnn9IgIEaWVN9eC,,pm_1PikmJFCPJnn9IgInBNcbwIR,,2024-07-31 22:13:54+00:00,True,succeeded,off_session,,,,,,2024-08-14 01:32:49.337000+00:00
