id,on_behalf_of,description,status,usage,application,cancellation_reason,created,livemode,mandate,single_use_mandate,metadata,payment_method_id,customer_id,_fivetran_synced
seti_1Pcch1FCPJnn9IgI7roA0lQC,,,succeeded,off_session,,,2024-07-15 00:23:03+00:00,True,,,{},pm_1PcckJFCPJnn9IgIlcRuIqOz,cus_QTZq5485PmJVfq,2024-08-14 01:29:20.663000+00:00
seti_1PcctCFCPJnn9IgIkYuIwlon,,,requires_payment_method,off_session,,,2024-07-15 00:35:38+00:00,True,,,{},,cus_QQD3X0UT45NqQD,2024-08-14 01:29:19.341000+00:00
seti_1Pcd1cFCPJnn9IgIDPrZKO70,,,succeeded,off_session,,,2024-07-15 00:44:20+00:00,True,,,{},src_1Pcd1QFCPJnn9IgINJPs1hD4,cus_OMWUj6Q9bm2DQi,2024-08-14 01:29:17.948000+00:00
seti_1Pcd3WFCPJnn9IgIGtPy2FOX,,,requires_payment_method,off_session,,,2024-07-15 00:46:18+00:00,True,,,{},,cus_MRW958TQIgw1HD,2024-08-14 01:29:21.658000+00:00
seti_1PcdHAFCPJnn9IgIaGPJE0lw,,,succeeded,off_session,,,2024-07-15 01:00:24+00:00,True,,,{},pm_1PcdH4FCPJnn9IgIbwWLQwEw,cus_QQD3X0UT45NqQD,2024-08-14 01:29:20.849000+00:00
seti_1PceY7FCPJnn9IgIiaPfEWc1,,,succeeded,off_session,,,2024-07-15 02:21:59+00:00,True,,,{},pm_1PceapFCPJnn9IgIOLPcUdtF,cus_QPiQfVdLlEwASz,2024-08-14 01:29:19.731000+00:00
seti_1PciRKFCPJnn9IgI5ky7p5j9,,,requires_payment_method,off_session,,,2024-07-15 06:31:14+00:00,True,,,{},,cus_QIIuylZzujjnmr,2024-08-14 01:29:23.315000+00:00
seti_1Pcj9NFCPJnn9IgImIghFCwX,,,succeeded,off_session,,,2024-07-15 07:16:45+00:00,True,,,{},pm_1PcjF5FCPJnn9IgINIyoaLwC,cus_QQ2pXglNbLqxU3,2024-08-14 01:29:22.583000+00:00
seti_1PcqrOFCPJnn9IgICCVldGWF,,,succeeded,off_session,,,2024-07-15 15:30:42+00:00,True,,,{},pm_1PcqrJFCPJnn9IgI1sgOnlIp,cus_NWJ7UKzZsu40c1,2024-08-14 01:29:24.011000+00:00
seti_1Pcr7XFCPJnn9IgI5ivnHo3f,,,succeeded,off_session,,,2024-07-15 15:47:23+00:00,True,,,{},pm_1Pcr7TFCPJnn9IgItAYt5ggQ,cus_L7rngqQqso2aWM,2024-08-14 01:29:26.436000+00:00
seti_1PctIbFCPJnn9IgI7NwMNz90,,,requires_payment_method,off_session,,,2024-07-15 18:06:57+00:00,True,,,{},,cus_O9Dgt4j3447vcM,2024-08-14 01:29:27.110000+00:00
