subscription_id,id,end,start,promotion_code,checkout_session,coupon_id,invoice_item_id,customer_id,invoice_id,_fivetran_synced
sub_1LSma7FCPJnn9IgIZo2rofTM,di_1LSma7FCPJnn9IgIJ0ecmHoH,,2022-08-03 18:46:11+00:00,,,JWotNU6T,,cus_MB8rhKYBy89Lin,,2022-08-23 20:30:14.252000+00:00
sub_1MMHOPFCPJnn9IgImQClLXu7,di_1MMHOPFCPJnn9IgI3HXbpQ8t,,2023-01-03 20:47:29+00:00,promo_1LO7R0FCPJnn9IgIL7Ez1pQg,,HARMONY42,,cus_N6UNK9veayxr4Z,,2023-01-04 02:30:29.517000+00:00
sub_1MJ5QqFCPJnn9IgIzuvIYM2q,di_1MJ5QqFCPJnn9IgIMidfJ64D,2023-12-26 01:24:48+00:00,2022-12-26 01:24:48+00:00,,,HLgpCeXS,,cus_N0pgfIGKFQiL39,,2023-02-26 02:31:09.664000+00:00
sub_1MentCFCPJnn9IgICJRp9eCi,di_1MentCFCPJnn9IgICzoHL26h,,2023-02-23 23:07:50+00:00,promo_1MMyWoFCPJnn9IgISM1CXR9c,,m1EgFVng,,cus_NPd9DRIA5jhWwN,,2023-03-16 02:30:33.641000+00:00
sub_1MiiyOFCPJnn9IgIrLdNlebk,di_1MiiyOFCPJnn9IgI3mUrqCPu,2023-06-06 18:41:24+00:00,2023-03-06 18:41:24+00:00,,,iVickyzU,,cus_NTgKbZjo5GbbRF,,2023-04-06 20:31:09.649000+00:00
sub_1NBA2IFCPJnn9IgILlW6i6zR,di_1NBA2IFCPJnn9IgI56mMWUEO,,2023-05-24 05:14:58+00:00,promo_1MMyXUFCPJnn9IgIr5QkI37m,,m1EgFVng,,cus_NRyzhTZrItOMf7,,2023-06-13 08:31:44.453000+00:00
sub_1MJgVEFCPJnn9IgINvI8mmDf,di_1MJksiFCPJnn9IgIgGPRu4f3,2023-12-27 21:40:20+00:00,2022-12-27 21:40:20+00:00,,,HLgpCeXS,,cus_MsmQsjw0W13Cpe,,2022-12-28 02:30:06.049000+00:00
sub_1LGumTFCPJnn9IgIOz63jz8R,di_1Mh1bxFCPJnn9IgIPbxzbtew,,2023-03-02 02:11:12+00:00,,,1jxr2ccq,,cus_LysWdePavHXGWZ,,2023-03-19 02:30:28.872000+00:00
sub_1N19cNFCPJnn9IgIpLcMzxZw,di_1N19cNFCPJnn9IgIe7xe50tZ,2024-04-26 14:46:51+00:00,2023-04-26 14:46:51+00:00,,,HLgpCeXS,,cus_NjnzVK96ZgEaXy,,2023-05-26 20:31:15.262000+00:00
sub_1NVfpJFCPJnn9IgIA6ai6Yti,di_1NVfpJFCPJnn9IgIP66fyEpJ,,2023-07-19 19:14:21+00:00,promo_1NJJhSFCPJnn9IgI88QsqOkM,,m1EgFVng,,cus_O5VU0oLAOjymTR,,2023-07-20 02:31:56.297000+00:00
sub_1NaO5TFCPJnn9IgIwrkUT2sv,di_1NaO5TFCPJnn9IgIWHJuiAzd,,2023-08-01 19:18:31+00:00,promo_1MMyZ2FCPJnn9IgIMjkwnloH,,uTF41ghy,,cus_ON8MiRpxVqDX8P,,2023-08-01 20:33:32.271000+00:00
