subscription_id,id,billing_thresholds_reset_billing_cycle_anchor,billing_thresholds_amount_gte,created,metadata,plan_id,_fivetran_synced,quantity,current_period_end,current_period_start
sub_K3VIyCWBYcLKt5,si_K3VIBdOry2VNv3,,,2021-08-17 09:09:00+00:00,{},price_1JO119FCPJnn9IgIySHnZYhv,2022-06-14 08:18:54.286000+00:00,1,,
sub_K3VS2zXLvl2mZi,si_K3VSDEYEh1HP3R,,,2021-08-17 09:19:05+00:00,{},price_1JO119FCPJnn9IgIySHnZYhv,2022-06-14 08:17:57.714000+00:00,1,,
sub_1K3QmPFCPJnn9IgIjnb7le9M,si_KisXXIC7kcLPvO,,,2021-12-05 19:53:50+00:00,{},price_1JQZCDFCPJnn9IgIFVEWlVxH,2022-06-14 07:46:27.824000+00:00,1,,
sub_K3UT3EV2WSP0ce,si_K3UTDKBIkRkyMw,,,2021-08-17 08:17:56+00:00,{},price_1JO119FCPJnn9IgIySHnZYhv,2022-06-14 08:23:39.896000+00:00,1,,
sub_K3Sq62GT0UcQfO,si_K3Sq5AaqmaDc7Q,,,2021-08-17 06:37:00+00:00,{},price_1JO119FCPJnn9IgIySHnZYhv,2022-06-14 08:27:25.861000+00:00,1,,
sub_K3VoNWNjAYT0aB,si_K3Votj4bPp79PM,,,2021-08-17 09:40:39+00:00,{},price_1JO119FCPJnn9IgIySHnZYhv,2022-06-14 08:15:52.723000+00:00,1,,
sub_K3VolEtVsr2Yj2,si_K3VoHatiSiKJJp,,,2021-08-17 09:41:02+00:00,{},price_1JO119FCPJnn9IgIySHnZYhv,2022-06-14 08:15:50.775000+00:00,2,,
sub_1KMaohFCPJnn9IgIHwEI4ppZ,si_L2gBkzkqc6SiTW,,,2022-01-27 16:27:24+00:00,{},price_1JQZCDFCPJnn9IgIFVEWlVxH,2022-06-14 07:40:43.814000+00:00,1,,
sub_K3UjGyxRqt3y5R,si_K3UjSehdkf2Msz,,,2021-08-17 08:33:56+00:00,{},price_1JO119FCPJnn9IgIySHnZYhv,2022-06-14 08:22:11.189000+00:00,1,,
sub_K3SsQcHfaTaqLE,si_K3SsqxHO1QAEOU,,,2021-08-17 06:39:06+00:00,{},price_1JO119FCPJnn9IgIySHnZYhv,2022-06-14 08:27:17.921000+00:00,1,,
sub_K3W0OSjZSt3Vvj,si_K3W048YQRaqKdJ,,,2021-08-17 09:52:42+00:00,{},price_1JO119FCPJnn9IgIySHnZYhv,2022-06-14 08:14:50.052000+00:00,1,,
sub_K3W2T7UmoyS4tp,si_K3W2dsAnU4hRza,,,2021-08-17 09:54:38+00:00,{},price_1JO119FCPJnn9IgIySHnZYhv,2022-06-14 08:14:40.373000+00:00,1,,
sub_1KJfajFCPJnn9IgIawdc0xNH,si_Kzeum1jTOZ7sTr,,,2022-01-19 14:56:53+00:00,{},price_1JQZCDFCPJnn9IgIFVEWlVxH,2022-06-14 07:41:16.881000+00:00,1,,
sub_K3UStbxfreZ8oi,si_K3USU0ZImX3h8J,,,2021-08-17 08:16:37+00:00,{},price_1JO119FCPJnn9IgIySHnZYhv,2022-06-14 08:23:44.553000+00:00,4,,
sub_K3Ty98WEj6Tmb1,si_K3TyT1IDiD4CkT,,,2021-08-17 07:47:16+00:00,{},price_1JO119FCPJnn9IgIySHnZYhv,2022-06-14 08:25:53.163000+00:00,1,,
sub_K3VW94MohdlGn7,si_K3VWzOeW9RIzqY,,,2021-08-17 09:22:49+00:00,{},price_1J8rYYFCPJnn9IgI7ezmCKAP,2022-06-14 08:17:32.183000+00:00,1,,
sub_K3Ve65ZPi1vz2t,si_K3VeTZkkNKylBn,,,2021-08-17 09:30:48+00:00,{},price_1JO119FCPJnn9IgIySHnZYhv,2022-06-14 08:16:52.405000+00:00,2,,
sub_K3VNM0US6JrmZD,si_K3VNIMpoYS9Vhk,,,2021-08-17 09:14:14+00:00,{},price_1J8rYYFCPJnn9IgI7ezmCKAP,2022-06-14 08:18:22.029000+00:00,1,,
sub_1K78ekFCPJnn9IgIvg9bqZCr,si_Kmi4m0X0322wIO,,,2021-12-16 01:21:15+00:00,{},price_1J8rYYFCPJnn9IgI7ezmCKAP,2022-06-14 07:43:39.001000+00:00,1,,
sub_1K8TT9FCPJnn9IgI8fAFMNjb,si_Ko5eefyDVjW1u7,,,2021-12-19 17:46:48+00:00,{},price_1JQZCDFCPJnn9IgIFVEWlVxH,2022-06-14 07:44:21.694000+00:00,2,,
sub_K3VwbDer2aFBSw,si_K3VwRWZWYsjSQE,,,2021-08-17 09:48:25+00:00,{},price_1JO119FCPJnn9IgIySHnZYhv,2022-06-14 08:15:15.968000+00:00,1,,
sub_K3UdcOAhU2IkDq,si_K3Ud80mJYRWIhN,,,2021-08-17 08:27:58+00:00,{},price_1JO119FCPJnn9IgIySHnZYhv,2022-06-14 08:22:40.983000+00:00,1,,
sub_K3VcLgTQWVpHCm,si_K3VcM4wJ9Dd2G6,,,2021-08-17 09:28:21+00:00,{},price_1JO119FCPJnn9IgIySHnZYhv,2022-06-14 08:17:03.885000+00:00,1,,
