id,canceled_at,completed_at,created,current_phase_start_date,current_phase_end_date,default_settings_collection_method,default_settings_default_payment_method,default_settings_invoice_settings_days_until_due,default_settings_billing_thresholds_amount_gte,default_settings_billing_thresholds_reset_billing_cycle_anchor,end_behavior,livemode,metadata,released_at,released_subscription,status,customer_id,subscription_id,_fivetran_synced
sub_sched_1PfulKFCPJnn9IgIWuLHbWAF,2024-07-24 19:02:05+00:00,,2024-07-24 02:17:06+00:00,,,charge_automatically,,,,,release,True,{},,,canceled,cus_QVQazuiOnBLqmc,,2024-08-14 01:20:14.777000+00:00
sub_sched_1PijJ7FCPJnn9IgIKComi7wa,,,2024-07-31 20:39:37+00:00,,,charge_automatically,,,,,release,True,"{""caregiver_user_pool_id"":""9ffdf5a5-0bef-4868-84f5-06d6d06b9510""}",2024-07-31 20:40:16+00:00,sub_1Oi2CTFCPJnn9IgIUyt8jSGf,released,cus_PVdMGI1T7rbiJA,,2024-08-14 01:20:22.725000+00:00
sub_sched_1PkpYBFCPJnn9IgII046EHay,,,2024-08-06 15:43:51+00:00,,,charge_automatically,pm_1NTucAFCPJnn9IgIvcVgdg9b,,,,release,True,"{""caregiver_user_pool_id"":""eca19c91-d144-46e2-a8d2-b259ac4c8663""}",2024-08-08 13:51:47+00:00,sub_1MRyWsFCPJnn9IgIohM1DFdg,released,cus_NCNHHNDNptqZCC,,2024-08-14 01:20:29.047000+00:00
sub_sched_1Pm133FCPJnn9IgIFzcurvCs,,,2024-08-09 22:12:37+00:00,,,charge_automatically,pm_1MHXQhFCPJnn9IgImNEebGeI,,,,release,True,"{""caregiver_user_pool_id"":""d638f9f7-1686-44cb-b02d-4fabfe8161d2""}",2024-08-09 22:15:09+00:00,sub_1MHXQiFCPJnn9IgIZFRxICwr,released,cus_N1abE3pDZju30u,,2024-08-14 01:20:32.412000+00:00
sub_sched_1Pe3n0FCPJnn9IgIxNOhQgOH,,,2024-07-18 23:31:10+00:00,,,charge_automatically,pm_1OTsgmFCPJnn9IgIXoadeSHq,,,,release,True,"{""caregiver_user_pool_id"":""189fa696-62b0-44c2-8977-ee8807f7e929""}",2024-07-18 23:31:31+00:00,sub_1OTsgnFCPJnn9IgI8hGW5VOf,released,cus_PITeFdcLcHjvXt,,2024-08-14 01:20:09.736000+00:00
sub_sched_1Pe0T1FCPJnn9IgIY20UFyvY,,,2024-07-18 19:58:19+00:00,,,charge_automatically,pm_1LJNmrFCPJnn9IgIq3H5YBEJ,,,,release,True,"{""caregiver_user_pool_id"":""52d96f91-3838-46f5-9f11-a34a98920ec2""}",2024-07-18 19:58:52+00:00,sub_1LJNmtFCPJnn9IgIbCxwsXYn,released,cus_M1QejFRYS80HbB,,2024-08-14 01:20:09.669000+00:00
sub_sched_1PdLGcFCPJnn9IgIyDM2ZECX,,,2024-07-16 23:58:46+00:00,,,charge_automatically,pm_1LkRm0FCPJnn9IgI17UvFUzI,,,,release,True,"{""caregiver_user_pool_id"":""792f712d-fdda-4e99-a674-7fc0768817ee""}",2024-07-22 23:03:07+00:00,sub_1KDd4wFCPJnn9IgIXAFxE1aN,released,cus_KtPunZ2O9mvSY5,,2024-08-14 01:20:07.854000+00:00
sub_sched_1PkY6wFCPJnn9IgIcaXmo76e,,,2024-08-05 21:06:34+00:00,,,charge_automatically,pm_1Kos7lFCPJnn9IgIJmpF3zlO,,,,release,True,"{""caregiver_user_pool_id"":""250f1a25-4ad8-45a3-a8e4-3f53dc49df9d""}",2024-08-05 21:10:02+00:00,sub_1Kos7nFCPJnn9IgI2r6exW0n,released,cus_LVtvxfUMGxPDtP,,2024-08-14 01:20:28.326000+00:00
sub_sched_1Pdv7GFCPJnn9IgI1x7LIkyl,,,2024-07-18 14:15:30+00:00,,,charge_automatically,,,,,release,True,"{""caregiver_user_pool_id"":""9dbd3e7a-cda9-4e3d-86ee-f7468444c573""}",2024-07-18 14:17:30+00:00,sub_1NYyzTFCPJnn9IgI3Vpsjmxq,released,cus_OLgIl2bXya9KeO,,2024-08-14 01:20:09.356000+00:00
sub_sched_1PfMOoFCPJnn9IgIa0i0rW3U,,,2024-07-22 13:35:34+00:00,,,charge_automatically,,,,,release,True,"{""caregiver_user_pool_id"":""8dd001c9-93e3-435c-92c2-94f5648edc6c""}",2024-07-22 13:35:45+00:00,sub_1Mfa5lFCPJnn9IgItUbYw3Ie,released,cus_LH6mE9z5R1urXU,,2024-08-14 01:20:13.283000+00:00
sub_sched_1PgTMuFCPJnn9IgIJ6zCs6Gd,,,2024-07-25 15:14:12+00:00,,,charge_automatically,pm_1MBWb4FCPJnn9IgImajRQCMF,,,,release,True,"{""caregiver_user_pool_id"":""f67228b3-c4de-4a1f-8877-3796a1361238""}",2024-07-25 15:14:53+00:00,sub_1MBWb6FCPJnn9IgIwHlSnl4w,released,cus_MvNLQ17en6IvFf,,2024-08-14 01:20:16.272000+00:00
sub_sched_1Phh2rFCPJnn9IgIeQ42Y0Tv,,,2024-07-29 00:02:33+00:00,,,charge_automatically,pm_1Ni6FhFCPJnn9IgIVs00S2jp,,,,release,True,"{""caregiver_user_pool_id"":""ddcc16ac-0162-4284-bcd7-4561310e205d""}",2024-07-29 00:03:08+00:00,sub_1JrnqIFCPJnn9IgIF3qkwjju,released,cus_KWrZBpAYajg6Kg,,2024-08-14 01:20:19.686000+00:00
sub_sched_1Pe0S5FCPJnn9IgIcIZFIZfx,,,2024-07-18 19:57:21+00:00,,,charge_automatically,pm_1LJNmrFCPJnn9IgIq3H5YBEJ,,,,release,True,"{""caregiver_user_pool_id"":""52d96f91-3838-46f5-9f11-a34a98920ec2""}",2024-07-18 19:57:39+00:00,sub_1LJNmtFCPJnn9IgIbCxwsXYn,released,cus_M1QejFRYS80HbB,,2024-08-14 01:20:09.669000+00:00
sub_sched_1Pk8OwFCPJnn9IgIkqIUA0l0,,,2024-08-04 17:39:26+00:00,,,charge_automatically,pm_1K89jYFCPJnn9IgIl1c7gL1j,,,,release,True,"{""caregiver_user_pool_id"":""9081abc7-789e-4f34-9efb-dba3f633bbbf""}",2024-08-07 20:42:26+00:00,sub_1K89jZFCPJnn9IgIaGkJ4rtQ,released,cus_KnlGyzBlmqrZOf,,2024-08-14 01:20:27.065000+00:00
sub_sched_1PdvZ1FCPJnn9IgIEEx8Mou5,,,2024-07-18 14:44:11+00:00,,,charge_automatically,pm_1OpbWOFCPJnn9IgIWBA7o5dP,,,,release,True,"{""caregiver_user_pool_id"":""1c3faba3-344b-4f03-afbb-5317ae6788ff""}",2024-07-18 14:45:48+00:00,sub_K69lFVVjzRCH2Q,released,cus_IYN0TzUUFN0kLJ,,2024-08-14 01:20:09.356000+00:00
sub_sched_1PheEuFCPJnn9IgI8sOWVRn0,2024-07-28 22:55:01+00:00,,2024-07-28 21:02:48+00:00,,,charge_automatically,pm_1LRNkjFCPJnn9IgIzp9KZsP6,,,,release,True,"{""caregiver_user_pool_id"":""c868ca2b-9fe2-4798-b16e-c09654a9e364""}",,,canceled,cus_M9h9bCssPxLxJw,sub_1LRNklFCPJnn9IgIhe5YiJV1,2024-08-14 01:20:19.417000+00:00
sub_sched_1PhvDNFCPJnn9IgIbGhjJ6bU,,,2024-07-29 15:10:21+00:00,,,charge_automatically,pm_1PN53QFCPJnn9IgIptRpJcW9,,,,release,True,"{""caregiver_user_pool_id"":""47dfcbac-51de-4020-9f9a-fbcbee6bf7fb""}",2024-07-30 23:20:00+00:00,sub_1M9zZMFCPJnn9IgI4PW5YZiB,released,cus_MqqFzSAbq963Jo,,2024-08-14 01:20:20.103000+00:00
sub_sched_1PhzbuFCPJnn9IgIS2NSr4mZ,,,2024-07-29 19:51:58+00:00,,,charge_automatically,,,,,release,True,"{""caregiver_user_pool_id"":""22f786ed-58e7-48d0-aa6a-70beb639bdf0""}",2024-08-02 17:51:49+00:00,sub_1N3NMeFCPJnn9IgI8mTzDtdy,released,cus_KcF37UWxt82nvG,,2024-08-14 01:20:20.561000+00:00
sub_sched_1Pn3heFCPJnn9IgIyGvxx0A6,,,2024-08-12 19:14:50+00:00,,,charge_automatically,pm_1PgbJZFCPJnn9IgIl0YJ6Aek,,,,release,True,"{""caregiver_user_pool_id"":""5f6c7cb2-b9eb-47f3-9c76-61e13b800dab""}",2024-08-12 19:15:35+00:00,sub_1PgbJbFCPJnn9IgIZZ7PR4mM,released,cus_QXggpyW3h9nqdm,,2024-08-14 01:20:35.356000+00:00
sub_sched_1Pe3k4FCPJnn9IgIxbwBxri3,,,2024-07-18 23:28:08+00:00,,,charge_automatically,pm_1OTsgmFCPJnn9IgIXoadeSHq,,,,release,True,"{""caregiver_user_pool_id"":""189fa696-62b0-44c2-8977-ee8807f7e929""}",2024-07-18 23:28:21+00:00,sub_1OTsgnFCPJnn9IgI8hGW5VOf,released,cus_PITeFdcLcHjvXt,,2024-08-14 01:20:09.736000+00:00
