type,type_id,index,taxability_reason,inclusive,tax_rate_id,_fivetran_synced,amount,taxable_amount
QUOTE_TOTAL_DETAILS_BREAKDOWN,qt_1L6HsNFCPJnn9IgI1LRAV4mU,0,,,txr_1JPNYTFCPJnn9IgIOITqIUq9,2024-08-14 01:19:37.600000+00:00,74,
QUOTE_TOTAL_DETAILS_BREAKDOWN,qt_1JTEVUFCPJnn9IgI1VYOZb7t,0,,,txr_1JIuUmFCPJnn9IgITWdA9WaI,2024-08-14 01:19:37.607000+00:00,1435,
QUOTE_TOTAL_DETAILS_BREAKDOWN,qt_1JS3I3FCPJnn9IgIEGOw2Bfu,0,,,txr_1JIuUmFCPJnn9IgITWdA9WaI,2024-08-14 01:19:37.608000+00:00,1229,
QUOTE_TOTAL_DETAILS_BREAKDOWN,qt_1KZKEQFCPJnn9IgINjo4Dhk4,0,,,txr_1JPMxuFCPJnn9IgIv4wYHZMp,2024-08-14 01:19:37.601000+00:00,1023,
QUOTE_TOTAL_DETAILS_BREAKDOWN,qt_1JS3I3FCPJnn9IgIEGOw2Bfu,1,,,txr_1JP546FCPJnn9IgIxU4hhtSa,2024-08-14 01:19:37.608000+00:00,114,
QUOTE_LINE_ITEM,li_1JTEVVFCPJnn9IgI3WHsIpvL,0,,,txr_1JIuUmFCPJnn9IgITWdA9WaI,2024-08-14 01:19:37.606000+00:00,124,
QUOTE_LINE_ITEM,li_1JS3IIFCPJnn9IgIc99F21ha,0,,,txr_1JIuUmFCPJnn9IgITWdA9WaI,2024-08-14 01:19:37.608000+00:00,1229,
INVOICE,in_1Le7EeFCPJnn9IgIj6kN780s,0,product_exempt,False,txr_1JPON8FCPJnn9IgII2HAk93q,2024-09-05 00:12:15.222000+00:00,0,
INVOICE_LINE_ITEM,il_1KPyBPFCPJnn9IgIJIwNRyiV,0,,False,txr_1JPNoUFCPJnn9IgINSoIdYsL,2024-09-07 00:10:57.500000+00:00,52,
INVOICE,in_1Lf0CPFCPJnn9IgIRHcDx6QW,0,product_exempt,False,txr_1JPNdqFCPJnn9IgIzjdnJzsL,2024-09-07 00:10:52.106000+00:00,0,
CREDIT_NOTE_LINE_ITEM,cnli_1KEvhWFCPJnn9IgI4LYMjSn7,0,,False,txr_1JPNVaFCPJnn9IgIFgrNpDW5,2024-09-13 00:12:06.602000+00:00,0,
CREDIT_NOTE_LINE_ITEM,cnli_1JWgEJFCPJnn9IgI8PFOqaro,0,,False,txr_1JPNRnFCPJnn9IgILy61BUdV,2024-09-13 00:12:06.609000+00:00,109,
CREDIT_NOTE,cn_1K60ODFCPJnn9IgIr88xv6M0,0,,False,txr_1JsrFZFCPJnn9IgI8vKi8HEa,2024-09-13 00:12:06.603000+00:00,173,
CREDIT_NOTE_LINE_ITEM,cnli_1K7jqoFCPJnn9IgI0ZxyxVxh,0,,False,txr_1JPNb3FCPJnn9IgI2uDNfcNV,2024-09-13 00:12:06.603000+00:00,90,
CREDIT_NOTE,cn_1KtYfZFCPJnn9IgI3hR1TjUH,0,,False,txr_1JPNfqFCPJnn9IgIsuMsypy2,2024-09-13 00:12:06.596000+00:00,154,
CREDIT_NOTE_LINE_ITEM,cnli_1KYylvFCPJnn9IgI3zamJor5,0,,False,txr_1JIuUmFCPJnn9IgITWdA9WaI,2024-09-13 00:12:06.597000+00:00,124,
CREDIT_NOTE_LINE_ITEM,cnli_1JjnpFFCPJnn9IgIn49nVPxC,0,,False,txr_1JUfCkFCPJnn9IgIIvLJXPvU,2024-09-13 00:12:06.609000+00:00,0,
CREDIT_NOTE_LINE_ITEM,cnli_1KgEJDFCPJnn9IgIZn051UX1,0,,False,txr_1JPNgIFCPJnn9IgIlB8FSgLq,2024-09-13 00:12:06.597000+00:00,90,
CREDIT_NOTE_LINE_ITEM,cnli_1KBnhnFCPJnn9IgIFEUnJL7N,0,,False,txr_1JUwo9FCPJnn9IgIAMLV4k95,2024-09-13 00:12:06.602000+00:00,139,
CREDIT_NOTE_LINE_ITEM,cnli_1JfvVNFCPJnn9IgIjE3vg4cN,0,,False,txr_1JIuUmFCPJnn9IgITWdA9WaI,2024-09-13 00:12:06.609000+00:00,124,
CREDIT_NOTE_LINE_ITEM,cnli_1Ko9smFCPJnn9IgIUHB84RkC,0,,False,txr_1JPNIWFCPJnn9IgIsVzClFgw,2024-09-13 00:12:06.597000+00:00,109,
CREDIT_NOTE_LINE_ITEM,cnli_1KoAKrFCPJnn9IgI7dQiwBo4,0,,False,txr_1JPOQKFCPJnn9IgIRJLYYKOo,2024-09-13 00:12:06.597000+00:00,135,
CREDIT_NOTE_LINE_ITEM,cnli_1K60ODFCPJnn9IgIdLDhIo93,0,,False,txr_1JsrFZFCPJnn9IgI8vKi8HEa,2024-09-13 00:12:06.603000+00:00,43,
CREDIT_NOTE,cn_1KBnhnFCPJnn9IgI60HnPlyd,0,,False,txr_1JUwo9FCPJnn9IgIAMLV4k95,2024-09-13 00:12:06.602000+00:00,139,
CREDIT_NOTE,cn_1KYzcVFCPJnn9IgIIiEhbcds,0,,False,txr_1JPNb3FCPJnn9IgI2uDNfcNV,2024-09-13 00:12:06.597000+00:00,90,
CREDIT_NOTE,cn_1JboOoFCPJnn9IgIEulCcvRR,0,,False,txr_1JUwnqFCPJnn9IgIfT2rOKFk,2024-09-13 00:12:06.609000+00:00,138,
CREDIT_NOTE_LINE_ITEM,cnli_1JgEvyFCPJnn9IgIvskuXk87,0,,False,txr_1JPNZDFCPJnn9IgIvpF0f16V,2024-09-13 00:12:06.609000+00:00,90,
CREDIT_NOTE_LINE_ITEM,cnli_1K9D9tFCPJnn9IgIid7HE9LF,0,,False,txr_1JaaTrFCPJnn9IgIE0IytWT4,2024-09-13 00:12:06.603000+00:00,0,
CREDIT_NOTE_LINE_ITEM,cnli_1JrOzRFCPJnn9IgI4FnX1BHC,0,,False,txr_1JIuUmFCPJnn9IgITWdA9WaI,2024-09-13 00:12:06.608000+00:00,124,
CREDIT_NOTE_LINE_ITEM,cnli_1Jfqv2FCPJnn9IgIdb4pr4bL,0,,False,txr_1JPOBeFCPJnn9IgIS74GeGJS,2024-09-13 00:12:06.609000+00:00,141,
CREDIT_NOTE_LINE_ITEM,cnli_1JsdmAFCPJnn9IgIpsu91SqQ,0,,False,txr_1JPNYRFCPJnn9IgI47BOJSQU,2024-09-13 00:12:06.603000+00:00,116,
CREDIT_NOTE,cn_1Jfqv2FCPJnn9IgIBOuf808U,0,,False,txr_1JPOBeFCPJnn9IgIS74GeGJS,2024-09-13 00:12:06.609000+00:00,141,
INVOICE,in_1Ka1bzFCPJnn9IgIH4tomnYf,0,,False,txr_1JPOQKFCPJnn9IgIRJLYYKOo,2024-10-22 17:53:50.433000+00:00,135,
INVOICE_LINE_ITEM,il_1Kw8jlFCPJnn9IgIALBBHgns,0,,False,txr_1JUwnqFCPJnn9IgIfT2rOKFk,2024-10-22 17:53:30.364000+00:00,138,
INVOICE,in_1LIFljFCPJnn9IgIqHenPkiw,0,,False,txr_1JUwnqFCPJnn9IgIfT2rOKFk,2024-10-22 17:55:17.553000+00:00,138,
INVOICE,in_1LLSwvFCPJnn9IgIUFx7h6K1,0,,False,txr_1JIuUmFCPJnn9IgITWdA9WaI,2024-11-27 12:01:52.408000+00:00,99,
INVOICE_LINE_ITEM,il_1LenRGFCPJnn9IgIt8oOpEk9,0,product_exempt,False,txr_1JUwnXFCPJnn9IgIUmKueGKN,2024-12-06 00:31:44.968000+00:00,0,
INVOICE_LINE_ITEM,il_1LenRGFCPJnn9IgI8YCUv9de,0,product_exempt,False,txr_1JUwnXFCPJnn9IgIUmKueGKN,2024-12-06 00:31:44.968000+00:00,0,
INVOICE,in_1L5BE6FCPJnn9IgIJzquicaU,0,,False,txr_1JIuUmFCPJnn9IgITWdA9WaI,2024-12-31 00:32:37.490000+00:00,157,
INVOICE_LINE_ITEM,il_1MRhKlFCPJnn9IgIRqYjGBXo,0,,False,txr_1JPO5SFCPJnn9IgIXqJva4RN,2025-01-19 00:31:35.289000+00:00,56,
INVOICE,in_1KTWx7FCPJnn9IgIheuAofqc,0,,False,txr_1JIuUmFCPJnn9IgITWdA9WaI,2025-01-29 00:31:27.893000+00:00,124,
INVOICE_LINE_ITEM,il_1M0DP5FCPJnn9IgI70dxPPjv,0,,False,txr_1JPNfEFCPJnn9IgIf0ML52Qa,2025-03-04 00:33:37.173000+00:00,46,
INVOICE,in_1M0DP5FCPJnn9IgIVqGQkkxf,0,,False,txr_1JPNfEFCPJnn9IgIf0ML52Qa,2025-03-04 00:33:37.173000+00:00,46,
INVOICE_LINE_ITEM,il_1LIfS4FCPJnn9IgI01rbSqwz,0,,False,txr_1JIuUmFCPJnn9IgITWdA9WaI,2025-03-07 00:32:38.297000+00:00,99,
INVOICE,in_1Kn9LlFCPJnn9IgIJBn0Gx69,0,,False,txr_1JPNIWFCPJnn9IgIsVzClFgw,2025-03-13 00:32:38.564000+00:00,109,
INVOICE,in_1LIzJbFCPJnn9IgISICk0sXv,0,product_exempt,False,txr_1JUwnUFCPJnn9IgImpyhuO3j,2025-05-02 00:34:08.038000+00:00,0,
INVOICE,in_1PsRUUFCPJnn9IgIUI64aSuz,0,standard_rated,False,txr_1NP7AwFCPJnn9IgIIzfA2xdo,2024-08-28 00:11:51.059000+00:00,93,1499.0
INVOICE,in_1PsD7iFCPJnn9IgINPNRPrdI,0,product_exempt,False,txr_1N5pEgFCPJnn9IgI7W1A1aFt,2024-08-28 00:11:49.869000+00:00,0,0.0
UPCOMING_INVOICE_LINE_ITEM,il_tmp_1b374dFCPJnn9IgI9cd618f2,0,not_subject_to_tax,False,txr_1Of1nbFCPJnn9IgIAafpBy1L,2024-08-28 00:12:07.882000+00:00,0,0.0
INVOICE_LINE_ITEM,il_1PsVDWFCPJnn9IgI0J5PR4WG,0,taxable_basis_reduced,False,txr_1N5qECFCPJnn9IgI6xI7IwlW,2024-08-28 00:11:52.741000+00:00,99,1199.0
INVOICE,in_1PsJpDFCPJnn9IgI7k3eAnT8,0,not_subject_to_tax,False,txr_1N5oxLFCPJnn9IgIYPBxH6si,2024-08-28 00:11:50.316000+00:00,0,0.0
INVOICE_LINE_ITEM,il_1PsDl9FCPJnn9IgIed5avUCh,0,product_exempt,False,txr_1N5wVtFCPJnn9IgIYLCpOkJf,2024-08-28 00:11:49.605000+00:00,0,0.0
INVOICE,in_1PsUhrFCPJnn9IgIZctID0RF,0,product_exempt,False,txr_1N5xLfFCPJnn9IgINNnYPeeL,2024-08-28 00:11:52.742000+00:00,0,0.0
INVOICE_LINE_ITEM,il_1PsRDsFCPJnn9IgI1w2jqmxI,0,product_exempt,False,txr_1N5qlTFCPJnn9IgIPnQUsFam,2024-08-28 00:11:51.062000+00:00,0,0.0
