id,active,created,description,display_name,inclusive,jurisdiction,livemode,metadata,percentage,_fivetran_synced
txr_1OseMLFCPJnn9IgIFOvNVuk6,False,2024-03-10 04:51:41+00:00,,Sales Tax,False,Oklahoma,True,{},5.995,2025-05-11 00:32:16.506000+00:00
txr_1RNO0VFCPJnn9IgIncC0yvn0,False,2025-05-11 00:44:43+00:00,,VAT,False,Philippines,True,{},0.0,2025-05-12 00:34:10.466000+00:00
txr_1NlFwTFCPJnn9IgIyCugP4Xe,False,2023-08-31 18:50:09+00:00,,Sales Tax,False,North Dakota,True,{},6.5,2025-05-14 00:32:55.497000+00:00
txr_1OPP1lFCPJnn9IgIsIGv1PU8,False,2023-12-20 12:37:33+00:00,,Sales Tax,False,Arkansas,True,{},10.0,2025-05-15 00:32:55.353000+00:00
txr_1RQ5SmFCPJnn9IgIAczdOr4J,False,2025-05-18 11:33:04+00:00,,Sales Tax,False,Oklahoma,True,{},8.995,2025-05-19 00:32:35.240000+00:00
txr_1RQ5SmFCPJnn9IgIobUUKrCZ,False,2025-05-18 11:33:04+00:00,,Sales Tax,False,Oklahoma,True,{},8.995,2025-05-19 00:32:26.187000+00:00
txr_1NB86hFCPJnn9IgI5Nj3lE4p,False,2023-05-24 03:11:23+00:00,,Sales Tax,False,Kansas,True,{},9.975,2025-05-20 00:32:47.768000+00:00
txr_1RSiqIFCPJnn9IgIrk5GVMgu,False,2025-05-25 18:00:14+00:00,,Sales Tax,False,Wyoming,True,{},7.0,2025-05-26 00:33:29.066000+00:00
txr_1QQfRoFCPJnn9IgI6O5u4N1S,False,2024-11-30 01:26:12+00:00,,Sales Tax,False,Illinois,True,{},7.1,2025-05-31 00:32:44+00:00
txr_1Q0YaAFCPJnn9IgIuPbBrfvY,False,2024-09-19 00:50:54+00:00,,Sales Tax,False,Oklahoma,True,{},9.8,2025-06-03 00:32:41.864000+00:00
txr_1RWRhpFCPJnn9IgI1G77oZIT,False,2025-06-05 00:30:53+00:00,,VAT,False,Philippines,True,{},12.0,2025-06-05 00:30:53.525000+00:00
txr_1RXpedFCPJnn9IgIP7oR1tEe,False,2025-06-08 20:17:19+00:00,,Sales Tax,False,Oklahoma,True,{},4.5,2025-06-09 00:32:48.378000+00:00
txr_1NoR0SFCPJnn9IgIsTiiPsy6,False,2023-09-09 13:15:24+00:00,,Sales Tax,False,Illinois,True,{},7.6,2025-06-11 00:30:58.140000+00:00
txr_1NLx0mFCPJnn9IgInh2g2CxY,False,2023-06-22 23:34:00+00:00,,Sales Tax,False,Illinois,True,{},6.85,2025-06-13 00:33:02.058000+00:00
txr_1RZGdtFCPJnn9IgIrLabSQIu,False,2025-06-12 19:18:29+00:00,,Sales Tax,True,Illinois,True,{},6.85,2025-06-13 00:33:02.058000+00:00
txr_1QgqPvFCPJnn9IgIhR6gpIM4,False,2025-01-13 16:23:07+00:00,,Sales Tax,False,New Mexico,True,{},8.065,2025-06-14 00:32:31.574000+00:00
txr_1N8MjyFCPJnn9IgIZxFrlH7p,False,2023-05-16 12:12:30+00:00,,Sales Tax,False,Colorado,True,{},9.045,2025-06-16 00:32:22.165000+00:00
txr_1NpCVvFCPJnn9IgI9JauFfaD,False,2023-09-11 15:59:03+00:00,,Sales Tax,False,Nevada,True,{},7.6,2025-06-19 00:32:43.724000+00:00
txr_1N9GojFCPJnn9IgIkdPBeXYZ,False,2023-05-19 00:05:09+00:00,,Sales Tax,False,Utah,True,{},7.95,2025-06-20 00:31:40.504000+00:00
txr_1RPsH0FCPJnn9IgIHRTaMihY,False,2025-05-17 21:28:02+00:00,,Sales Tax,True,Missouri,True,{},6.475,2025-06-21 00:31:20.859000+00:00
txr_1NkZgiFCPJnn9IgIZN8Oz0OO,False,2023-08-29 21:43:04+00:00,,Sales Tax,False,Oklahoma,True,{},5.5,2025-06-24 00:32:57.590000+00:00
txr_1N8CkTFCPJnn9IgIPBPa2g1T,False,2023-05-16 01:32:21+00:00,,Sales Tax,False,California,True,{},8.375,2025-06-24 00:32:54.494000+00:00
txr_1RdhEvFCPJnn9IgIQ1Etp6wN,False,2025-06-25 00:31:01+00:00,,Sales Tax,False,Arizona,True,{},8.0,2025-06-25 00:31:01.407000+00:00
txr_1RdtkWFCPJnn9IgIMDIwNdhu,False,2025-06-25 13:52:28+00:00,,Sales Tax,False,Missouri,True,{},6.95,2025-06-26 00:33:16.824000+00:00
txr_1Re3icFCPJnn9IgIdijlRFlG,False,2025-06-26 00:31:10+00:00,,Sales Tax,False,Oklahoma,True,{},6.8,2025-06-26 00:31:10.276000+00:00
txr_1ORiEsFCPJnn9IgIxRLrpePW,False,2023-12-26 21:32:38+00:00,,Sales Tax,False,Colorado,True,{},6.4,2025-06-27 00:32:48.473000+00:00
txr_1RQXgOFCPJnn9IgI2x4oCtPk,False,2025-05-19 17:41:00+00:00,,Sales Tax,True,Arizona,True,{},8.8,2025-07-03 00:32:57.344000+00:00
txr_1Rhfo6FCPJnn9IgINZ4pzvWV,False,2025-07-05 23:47:46+00:00,,Sales Tax,False,Missouri,True,{},4.725,2025-07-06 00:33:01.497000+00:00
txr_1RhyOLFCPJnn9IgI5atvFKSr,False,2025-07-06 19:38:25+00:00,,Sales Tax,True,Arkansas,True,{},7.5,2025-07-07 00:33:02.010000+00:00
txr_1RiotGFCPJnn9IgI3WM9Veg0,False,2025-07-09 03:41:50+00:00,,Sales Tax,True,Louisiana,True,{},11.35,2025-07-10 00:32:44.898000+00:00
txr_1NL3JgFCPJnn9IgItHjxNsHY,False,2023-06-20 12:05:48+00:00,,Sales Tax,False,Missouri,True,{},8.85,2025-07-11 00:32:42.249000+00:00
txr_1RjRYmFCPJnn9IgIj0UCZx7m,False,2025-07-10 20:59:16+00:00,,Sales Tax,True,New Mexico,True,{},6.1875,2025-07-11 00:32:45.954000+00:00
txr_1RjoCjFCPJnn9IgIZ6PdBj4L,False,2025-07-11 21:10:01+00:00,,Sales Tax,False,New York,True,{},8.5,2025-07-12 00:33:02.823000+00:00
txr_1RjoCjFCPJnn9IgIxueuhP4K,False,2025-07-11 21:10:01+00:00,,Sales Tax,True,New York,True,{},8.5,2025-07-12 00:33:02.823000+00:00
txr_1RXsWLFCPJnn9IgIbjqZwAgz,False,2025-06-08 23:20:57+00:00,,Sales Tax,True,Kansas,True,{},6.5,2025-07-13 00:31:25.463000+00:00
txr_1Nr6ZIFCPJnn9IgI5ULNT7Ew,False,2023-09-16 22:02:24+00:00,,Sales Tax,False,Colorado,True,{},8.15,2025-07-14 00:32:52.771000+00:00
txr_1ONISwFCPJnn9IgIw8KE1T5E,False,2023-12-14 17:12:54+00:00,,Sales Tax,False,Missouri,True,{},8.45,2025-07-16 00:32:44.124000+00:00
txr_1OFhl8FCPJnn9IgIHauaToRw,False,2023-11-23 18:36:18+00:00,,Sales Tax,False,Oklahoma,True,{},9.0,2025-07-17 00:33:03.403000+00:00
txr_1RlfjIFCPJnn9IgIq7sNMB4j,False,2025-07-17 00:31:20+00:00,,Sales Tax,False,Arizona,True,{},9.386,2025-07-17 00:31:20.481000+00:00
txr_1JPNvBFCPJnn9IgIunLd9ZFz,False,2021-08-17 08:45:21+00:00,,Sales Tax,False,Maryland,True,{},6.0,2025-07-18 00:31:44.782000+00:00
txr_1RSrWdFCPJnn9IgIxPa4lizV,False,2025-05-26 03:16:31+00:00,,Sales Tax,True,Virginia,True,{},7.0,2025-07-22 00:32:58.560000+00:00
txr_1Rn7zfFCPJnn9IgIYYlxJ0O6,False,2025-07-21 00:54:15+00:00,,Sales Tax,True,Oklahoma,True,{},5.875,2025-07-22 00:32:56.215000+00:00
txr_1RnU77FCPJnn9IgI71yx7s5a,False,2025-07-22 00:31:25+00:00,,Sales Tax,True,Utah,True,{},6.65,2025-07-22 00:31:25.986000+00:00
txr_1NjAxeFCPJnn9IgI4uehGsCf,False,2023-08-26 01:06:46+00:00,,Sales Tax,False,Arizona,True,{},6.7,2025-07-23 00:33:18.697000+00:00
txr_1Ohvg4FCPJnn9IgIfthTrm0c,False,2024-02-09 15:07:44+00:00,,Sales Tax,False,Wisconsin,True,{},7.9,2025-07-24 00:33:23.500000+00:00
txr_1OF0H3FCPJnn9IgIGGJxC9JS,False,2023-11-21 20:10:21+00:00,,Sales Tax,False,Oklahoma,True,{},9.75,2025-07-24 00:33:23.498000+00:00
txr_1RCmgTFCPJnn9IgIHT7gu5dh,False,2025-04-11 18:52:13+00:00,,Sales Tax,False,Oklahoma,True,{},8.7,2025-07-24 00:33:23.648000+00:00
txr_1Ro3AsFCPJnn9IgIZn2vI0kz,False,2025-07-23 13:57:38+00:00,,Sales Tax,True,California,True,{},8.975,2025-07-24 00:33:19.797000+00:00
txr_1PUHmwFCPJnn9IgI7Y8FNxOI,False,2024-06-22 00:26:42+00:00,,Sales Tax,False,Colorado,True,{},9.3,2025-07-25 00:33:16.598000+00:00
txr_1RbSysFCPJnn9IgI9xqlv4zz,False,2025-06-18 20:53:14+00:00,,Sales Tax,True,Nevada,True,{},7.6,2025-07-26 00:32:37.476000+00:00
txr_1NC7YyFCPJnn9IgI8BIPn4dR,False,2023-05-26 20:48:40+00:00,,Sales Tax,False,Kansas,True,{},8.0,2025-07-26 00:34:40.375000+00:00
txr_1RQU3cFCPJnn9IgIvKJAb99E,False,2025-05-19 13:48:44+00:00,,Sales Tax,True,Alabama,True,{},9.5,2025-07-27 00:33:36.319000+00:00
txr_1RQDwMFCPJnn9IgIsHJN8ZAO,False,2025-05-18 20:36:10+00:00,,Sales Tax,True,Illinois,True,{},7.75,2025-07-27 00:33:28.845000+00:00
txr_1NJDpjFCPJnn9IgIvHjiWWME,False,2023-06-15 10:55:19+00:00,,Sales Tax,False,Missouri,True,{},8.35,2025-07-28 00:32:59.600000+00:00
txr_1NaQ8NFCPJnn9IgIChn3pVgI,False,2023-08-01 21:29:39+00:00,,Sales Tax,False,Arkansas,True,{},8.5,2025-07-29 00:33:26.757000+00:00
txr_1NRg5jFCPJnn9IgI9hVSaTAA,False,2023-07-08 18:42:47+00:00,,Sales Tax,False,Colorado,True,{},8.35,2025-07-29 00:33:26.499000+00:00
txr_1RekVVFCPJnn9IgIcbCdfrkV,False,2025-06-27 22:12:29+00:00,,Sales Tax,True,California,True,{},8.25,2025-07-29 00:33:24.725000+00:00
txr_1NDIhyFCPJnn9IgIaBAXCjXv,False,2023-05-30 02:54:50+00:00,,Sales Tax,False,Missouri,True,{},5.975,2025-07-29 00:31:56.939000+00:00
txr_1N5zO4FCPJnn9IgIC2T0p5XR,False,2023-05-09 22:52:04+00:00,,Sales Tax,False,Colorado,True,{},9.055,2025-07-29 00:33:33.518000+00:00
txr_1P9Sx3FCPJnn9IgIEBIbrHH5,False,2024-04-25 14:07:05+00:00,,Sales Tax,False,Alabama,True,{},9.75,2025-07-30 00:33:26.108000+00:00
txr_1QmlD9FCPJnn9IgIbJGtLjZx,False,2025-01-30 00:02:23+00:00,,Sales Tax,False,New Mexico,True,{},7.565,2025-07-30 00:33:28.077000+00:00
txr_1Rq520FCPJnn9IgIKm10qtnM,False,2025-07-29 04:20:52+00:00,,Sales Tax,True,Washington,True,{},7.8,2025-07-30 00:33:17.805000+00:00
txr_1NK6mJFCPJnn9IgIg2OKw76w,False,2023-06-17 21:35:27+00:00,,Sales Tax,False,Minnesota,True,{},8.875,2025-07-31 00:31:33.172000+00:00
txr_1OLSOBFCPJnn9IgIWzpTQr26,False,2023-12-09 15:24:23+00:00,,Sales Tax,False,North Dakota,True,{},7.0,2025-07-31 00:33:49.143000+00:00
txr_1RhLEKFCPJnn9IgILOwUiH8Y,False,2025-07-05 01:49:28+00:00,,Sales Tax,True,Colorado,True,{},7.5,2025-07-31 00:33:38.071000+00:00
txr_1No81VFCPJnn9IgIwLs8tKaA,False,2023-09-08 16:59:13+00:00,,Sales Tax,False,Missouri,True,{},5.225,2025-07-31 00:31:02.246000+00:00
txr_1RqgpCFCPJnn9IgIozm5u2Sw,False,2025-07-30 20:42:10+00:00,,Sales Tax,True,Ohio,True,{},6.85,2025-07-31 00:33:39.075000+00:00
txr_1N8WrjFCPJnn9IgIpThLJaKm,False,2023-05-16 23:01:11+00:00,,Sales Tax,False,Missouri,True,{},7.35,2025-08-01 00:31:02.024000+00:00
txr_1RK2fhFCPJnn9IgIw33S9BFr,False,2025-05-01 19:21:25+00:00,,Sales Tax,False,Louisiana,True,{},8.5,2025-08-01 00:31:54.683000+00:00
txr_1RX9ITFCPJnn9IgI8Tktxeyj,False,2025-06-06 23:03:37+00:00,,Sales Tax,True,Arizona,True,{},6.1,2025-08-01 00:31:47.648000+00:00
txr_1ROStdFCPJnn9IgIhExoTHLz,False,2025-05-14 00:10:05+00:00,,Sales Tax,True,Nebraska,True,{},7.25,2025-08-01 00:31:08.105000+00:00
txr_1RdtkWFCPJnn9IgIP3FnztW3,False,2025-06-25 13:52:28+00:00,,Sales Tax,False,Missouri,True,{},8.95,2025-08-01 00:31:14.126000+00:00
txr_1NUXbFFCPJnn9IgIbcQEdASl,False,2023-07-16 16:15:09+00:00,,Sales Tax,False,Oklahoma,True,{},6.5,2025-05-18 00:33:21.478000+00:00
txr_1NAJuHFCPJnn9IgIIUyQfQjJ,False,2023-05-21 21:35:13+00:00,,Sales Tax,False,Arizona,True,{},8.95,2025-05-22 00:33:01.565000+00:00
txr_1NXZ5YFCPJnn9IgIX6fbwTCO,False,2023-07-25 00:26:56+00:00,,Sales Tax,False,New Mexico,True,{},8.125,2025-05-23 00:34:02.125000+00:00
txr_1NAlcyFCPJnn9IgI397Dw8Ox,False,2023-05-23 03:11:12+00:00,,Sales Tax,False,Minnesota,True,{},6.875,2025-05-26 00:33:29.072000+00:00
txr_1NDCJrFCPJnn9IgI8cDyQO4E,False,2023-05-29 20:05:31+00:00,,Sales Tax,False,Kansas,True,{},9.1,2025-05-29 00:32:39.386000+00:00
txr_1PuIS2FCPJnn9IgIoBllOXtH,False,2024-09-01 18:24:38+00:00,,Sales Tax,False,Arizona,True,{},6.9,2025-06-02 00:36:09.674000+00:00
txr_1RVJ2zFCPJnn9IgIqZDQ3RpM,False,2025-06-01 21:04:01+00:00,,Sales Tax,True,Arizona,True,{},6.9,2025-06-02 00:36:03.608000+00:00
txr_1NCUQsFCPJnn9IgIlhSE4zF4,False,2023-05-27 21:13:50+00:00,,Sales Tax,False,Colorado,True,{},4.75,2025-06-03 00:32:40.184000+00:00
txr_1JPO7OFCPJnn9IgIVBzuW78I,False,2021-08-17 08:57:58+00:00,,Sales Tax,False,Texas,True,{},6.25,2025-06-03 00:31:42.641000+00:00
txr_1NdJ5MFCPJnn9IgIjqpsnWjP,False,2023-08-09 20:34:28+00:00,,Sales Tax,False,Oklahoma,True,{},9.375,2025-06-05 00:33:02.702000+00:00
txr_1OF406FCPJnn9IgIzXiMBkWH,False,2023-11-22 00:09:06+00:00,,Sales Tax,False,Kansas,True,{},9.125,2025-06-06 00:32:42.894000+00:00
txr_1RL79GFCPJnn9IgIWA43N7d1,False,2025-05-04 18:20:22+00:00,,Sales Tax,True,Oklahoma,True,{},5.8,2025-06-09 00:31:27.242000+00:00
txr_1NA4b6FCPJnn9IgIzL6xYEsq,False,2023-05-21 05:14:24+00:00,,Sales Tax,False,Nebraska,True,{},6.5,2025-06-09 00:32:49.514000+00:00
txr_1PaMF1FCPJnn9IgI3uVdk1lH,False,2024-07-08 18:24:47+00:00,,Sales Tax,False,Georgia,True,{},8.5,2025-06-12 00:32:39.167000+00:00
txr_1RVDlRFCPJnn9IgIcBOPaEbE,False,2025-06-01 15:25:33+00:00,,Sales Tax,True,Tennessee,True,{},12.5,2025-06-14 00:32:31.666000+00:00
txr_1RZi03FCPJnn9IgIrHrZev34,False,2025-06-14 00:31:11+00:00,,Sales Tax,False,Arizona,True,{},8.0,2025-06-14 00:31:11.534000+00:00
txr_1N9dn7FCPJnn9IgIBtaC6Mnk,False,2023-05-20 00:37:01+00:00,,Sales Tax,False,Arizona,True,{},8.43,2025-06-15 00:32:39.863000+00:00
txr_1OAFugFCPJnn9IgIahB6Zrp1,False,2023-11-08 17:51:38+00:00,,Sales Tax,False,Oklahoma,True,{},8.9,2025-06-15 00:32:37.734000+00:00
txr_1N8OXnFCPJnn9IgIdgS2Bwf0,False,2023-05-16 14:08:03+00:00,,Sales Tax,False,Colorado,True,{},2.9,2025-06-20 00:32:53.181000+00:00
