subscription_id,account_country,account_name,amount_due,amount_paid,amount_remaining,amount_shipping,application,attempt_count,attempted,auto_advance,automatic_tax_enabled,automatic_tax_status,billing_reason,collection_method,created,currency,description,due_date,ending_balance,footer,from_invoice_action,from_invoice_invoice,hosted_invoice_url,invoice_pdf,last_finalization_error_code,last_finalization_error_doc_url,last_finalization_error_message,last_finalization_error_param,last_finalization_error_payment_method_type,last_finalization_error_type,latest_revision,livemode,metadata,next_payment_attempt,number,on_behalf_of,paid,paid_out_of_band,payment_settings_default_mandate,payment_settings_payment_method_options_acss_debit_mandate_options_transaction_type,payment_settings_payment_method_options_acss_debit_verification_method,payment_settings_payment_method_options_bancontact_preferred_language,payment_settings_payment_method_options_card_installments_enabled,payment_settings_payment_method_options_card_request_three_d_secure,payment_settings_payment_method_options_customer_balance_bank_transfer_eu_bank_transfer_country,payment_settings_payment_method_options_customer_balance_bank_transfer_type,payment_settings_payment_method_options_customer_balance_funding_type,payment_settings_payment_method_options_us_bank_account_financial_connections_permissions,payment_settings_payment_method_options_us_bank_account_financial_connections_prefetch,payment_settings_payment_method_options_us_bank_account_verification_method,payment_settings_payment_method_types,period_start,period_end,post_payment_credit_notes_amount,pre_payment_credit_notes_amount,quote,receipt_number,rendering_amount_tax_display,rendering_pdf_page_size,shipping_cost_amount_subtotal,shipping_cost_amount_tax,shipping_cost_amount_total,shipping_cost_shipping_rate,shipping_address_city,shipping_address_country,shipping_address_line_1,shipping_address_line_2,shipping_address_postal_code,shipping_address_state,shipping_carrier,shipping_name,shipping_phone,shipping_tracking_number,starting_balance,statement_descriptor,status,status_transitions_finalized_at,status_transitions_paid_at,status_transitions_voided_at,status_transitions_marked_uncollectible_at,subscription_proration_date,subtotal,tax,tax_percent,test_clock,threshold_reason_amount_gte,total,transfer_data_amount,transfer_data_destination,webhooks_delivered_at,customer_id,charge_id,default_source_id,default_payment_method_id,payment_intent_id,application_fee_amount,_fivetran_synced,subtotal_excluding_tax,total_excluding_tax
sub_1NaJgyFCPJnn9IgIXKAJBhEm,US,Pinwheel,17695,0,17695,0,,0,False,,True,complete,upcoming,charge_automatically,2025-08-21 14:36:56+00:00,usd,,,0,,,,,,,,,,,,,True,{},2025-08-21 15:36:56+00:00,,,False,False,,,,,,,,,,,,,,2024-08-21 14:36:56+00:00,2025-08-21 14:36:56+00:00,0,0,,,,,,,,,,,,,,,,,,,0,,draft,,,,,,16499,1196.0,,,,17695,,,,cus_ON3o7bGVvysftc,,,,,,2024-08-28 00:06:57.955000+00:00,16499,16499
sub_1Pt9GQFCPJnn9IgIPDJRVxvv,US,Pinwheel,24859,0,24859,0,,0,False,,True,complete,upcoming,charge_automatically,2025-08-29 14:23:54+00:00,cad,,,0,,,,,,,,,,,,,True,{},2025-08-29 15:23:54+00:00,,,False,False,,,,,,automatic,,,,,,,,2024-08-29 14:23:54+00:00,2025-08-29 14:23:54+00:00,0,0,,,,,,,,,,,,,,,,,,,0,,draft,,,,,,21999,2860.0,,,,24859,,,,cus_QkeZIMJsn1umVb,,,,,,2024-08-30 00:12:31.114000+00:00,21999,21999
sub_1PtW0wFCPJnn9IgIBgEBqrWt,US,Pinwheel,17963,0,17963,0,,0,False,,True,complete,upcoming,charge_automatically,2025-08-30 14:41:26+00:00,usd,,,0,,,,,,,,,,,,,True,{},2025-08-30 15:41:26+00:00,,,False,False,,,,,,automatic,,,,,,,,2024-08-30 14:41:26+00:00,2025-08-30 14:41:26+00:00,0,0,,,,,,,,,,,,,,,,,,,0,,draft,,,,,,16499,1464.0,,,,17963,,,,cus_Ql25U4Xcki2eT9,,,,,,2024-08-31 00:13:03.220000+00:00,16499,16499
sub_1PuNASFCPJnn9IgIK5Xhhzgn,US,Pinwheel,17592,0,17592,0,,0,False,,True,complete,upcoming,charge_automatically,2025-09-01 23:26:48+00:00,usd,,,0,,,,,,,,,,,,,True,{},2025-09-02 00:26:48+00:00,,,False,False,,,,,,automatic,,,,,,,,2024-09-01 23:26:48+00:00,2025-09-01 23:26:48+00:00,0,0,,,,,,,,,,,,,,,,,,,0,,draft,,,,,,16499,1093.0,,,,17592,,,,cus_Qlv0I3JJvyzIal,,,,,,2024-09-02 00:25:06.221000+00:00,16499,16499
sub_1LWPqAFCPJnn9IgIWaEGOXfP,US,Pinwheel,17505,0,17505,0,,0,False,,True,complete,upcoming,charge_automatically,2025-09-02 19:17:46+00:00,usd,,,0,,,,,,,,,,,,,True,{},2025-09-02 20:17:46+00:00,,,False,False,,,,,,,,,,,,,,2024-09-02 19:17:46+00:00,2025-09-02 19:17:46+00:00,0,0,,,,,,,,,,,,,,,,,,,0,,draft,,,,,,16499,1006.0,,,,17505,,,,cus_MEtdBeCQmWc9an,,,,,,2024-09-03 00:06:56.355000+00:00,16499,16499
sub_1Nm8QAFCPJnn9IgIoGDDUZPB,US,Pinwheel,17324,0,17324,0,,0,False,,True,complete,upcoming,charge_automatically,2025-09-03 05:00:00+00:00,usd,,,0,,,,,,,,,,,,,True,{},2025-09-03 06:00:00+00:00,,,False,False,,,,,,,,,,,,,,2024-09-03 05:00:00+00:00,2025-09-03 05:00:00+00:00,0,0,,,,,,,,,,,,,,,,,,,0,,draft,,,,,,16499,825.0,,,,17324,,,,cus_LJtN5WIgxOzLZl,,,,,,2024-09-04 00:04:29.300000+00:00,16499,16499
sub_1LWVlmFCPJnn9IgIkFKpU0dV,US,Pinwheel,17860,0,17860,0,,0,False,,True,complete,upcoming,charge_automatically,2025-09-03 01:37:38+00:00,usd,,,0,,,,,,,,,,,,,True,{},2025-09-03 02:37:38+00:00,,,False,False,,,,,,,,,,,,,,2024-09-03 01:37:38+00:00,2025-09-03 01:37:38+00:00,0,0,,,,,,,,,,,,,,,,,,,0,,draft,,,,,,16499,1361.0,,,,17860,,,,cus_MEzl09YWh1OBi1,,,,,,2024-09-04 00:03:32.201000+00:00,16499,16499
sub_1LWiblFCPJnn9IgIYMOXaYaM,US,Pinwheel,17654,0,17654,0,,0,False,,True,complete,upcoming,charge_automatically,2025-09-03 15:20:09+00:00,usd,,,0,,,,,,,,,,,,,True,{},,,,False,False,,,,,,,,,,,,,,2024-09-03 15:20:09+00:00,2025-09-03 15:20:09+00:00,0,0,,,,,,,,,,,,,,,,,,,0,,draft,,,,,,16499,1155.0,,,,17654,,,,cus_MFD1GrP04VQ8AD,,,,,,2024-09-04 00:05:28.855000+00:00,16499,16499
sub_1NddRnFCPJnn9IgI1qzuginD,US,Pinwheel,18108,0,18108,0,,0,False,,True,complete,upcoming,charge_automatically,2025-09-03 00:00:00+00:00,usd,,,0,,,,,,,,,,,,,True,{},2025-09-03 01:00:00+00:00,,,False,False,,,,,,,,,,,,,,2024-09-03 00:00:00+00:00,2025-09-03 00:00:00+00:00,0,0,,,,,,,,,,,,,,,,,,,0,,draft,,,,,,16499,1609.0,,,,18108,,,,cus_OQUQKzr0jVLvU6,,,,,,2024-09-04 00:02:40.742000+00:00,16499,16499
sub_1NdhbQFCPJnn9IgIDL2SEclP,US,Pinwheel,17736,0,17736,0,,0,False,,True,complete,upcoming,charge_automatically,2025-09-03 00:00:00+00:00,usd,,,0,,,,,,,,,,,,,True,{},2025-09-03 01:00:00+00:00,,,False,False,,,,,,,,,,,,,,2024-09-03 00:00:00+00:00,2025-09-03 00:00:00+00:00,0,0,,,,,,,,,,,,,,,,,,,0,,draft,,,,,,16499,1237.0,,,,17736,,,,cus_OQYi1uH3Hq5nqa,,,,,,2024-09-04 00:02:43.523000+00:00,16499,16499
