subscription_id,id,amount,currency,description,discountable,livemode,metadata,period_start,period_end,proration,quantity,type,price_id,plan_id,customer_id,subscription_item_id,_fivetran_synced,invoice_item_id
sub_1PsCmpFCPJnn9IgIvvPIZp3x,il_tmp_144a56FCPJnn9IgI5923247e,21999,cad,1 × Subscription (Annual) (Tier 1 at $219.99 / year),True,True,{},2025-08-26 23:57:27+00:00,2026-08-26 23:57:27+00:00,False,1,subscription,price_1PMfDyFCPJnn9IgIY1onr2tn,price_1PMfDyFCPJnn9IgIY1onr2tn,,si_Qjg9AeOSkMyAeD,2024-08-28 00:12:08.167000+00:00,
sub_1PsHYFFCPJnn9IgIRD09Dz45,il_tmp_1ec52eFCPJnn9IgIab6c3b26,16499,usd,1 × Subscription (Annual) (Tier 1 at $164.99 / year),True,True,{},2025-08-27 05:00:00+00:00,2026-08-27 05:00:00+00:00,False,1,subscription,price_1LAetfFCPJnn9IgIn72MHBKu,price_1LAetfFCPJnn9IgIn72MHBKu,,si_Qjl4WRKtUEGPti,2024-08-28 00:12:08.537000+00:00,
sub_1NbEAdFCPJnn9IgIIXkxH5ml,il_tmp_1c55b3FCPJnn9IgIb305a369,16499,usd,1 × Subscription (Annual) (Tier 1 at $164.99 / year),True,True,{},2025-08-24 02:55:19+00:00,2026-08-24 02:55:19+00:00,False,1,subscription,price_1LAetfFCPJnn9IgIn72MHBKu,price_1LAetfFCPJnn9IgIn72MHBKu,,si_OO0AY4JV4PhG9V,2024-08-28 00:04:08.851000+00:00,
sub_1PsXMXFCPJnn9IgIQmF6ogqB,il_tmp_136011FCPJnn9IgI0ffc8571,21999,cad,1 × Subscription (Annual) (Tier 1 at $219.99 / year),True,True,{},2025-08-27 21:55:41+00:00,2026-08-27 21:55:41+00:00,False,1,subscription,price_1PMfDyFCPJnn9IgIY1onr2tn,price_1PMfDyFCPJnn9IgIY1onr2tn,,si_Qk1PNPNtMnQUvI,2024-08-28 00:12:27.032000+00:00,
sub_1NcHQDFCPJnn9IgI1dgX506S,il_tmp_1b9273FCPJnn9IgI827aaaa1,16499,usd,1 × Subscription (Annual) (Tier 1 at $164.99 / year),True,True,{},2025-08-27 00:35:45+00:00,2026-08-27 00:35:45+00:00,False,1,subscription,price_1LAetfFCPJnn9IgIn72MHBKu,price_1LAetfFCPJnn9IgIn72MHBKu,,si_OP5bP5BHahyIum,2024-08-28 00:03:14.935000+00:00,
sub_1PsGLkFCPJnn9IgILE0A7pf0,il_tmp_12505dFCPJnn9IgI7e35b587,16499,usd,1 × Subscription (Annual) (Tier 1 at $164.99 / year),True,True,{},2025-08-27 03:45:44+00:00,2026-08-27 03:45:44+00:00,False,1,subscription,price_1LAetfFCPJnn9IgIn72MHBKu,price_1LAetfFCPJnn9IgIn72MHBKu,,si_QjjpivQ2lo0ybK,2024-08-28 00:12:04.983000+00:00,
sub_1PscO9FCPJnn9IgI2jhivXiq,il_tmp_15333dFCPJnn9IgI3421e534,16499,usd,1 × Subscription (Annual) (Tier 1 at $164.99 / year),True,True,{},2025-08-28 03:17:41+00:00,2026-08-28 03:17:41+00:00,False,1,subscription,price_1LAetfFCPJnn9IgIn72MHBKu,price_1LAetfFCPJnn9IgIn72MHBKu,,si_Qk6bI0YGB7xefV,2024-08-29 00:09:34.401000+00:00,
sub_1PsuGdFCPJnn9IgIJQzHKS25,il_tmp_1ca5b0FCPJnn9IgId3407ed2,16499,usd,1 × Subscription (Annual) (Tier 1 at $164.99 / year),True,True,{},2025-08-28 22:23:07+00:00,2026-08-28 22:23:07+00:00,False,1,subscription,price_1LAetfFCPJnn9IgIn72MHBKu,price_1LAetfFCPJnn9IgIn72MHBKu,,si_QkP4eT7BrzKf83,2024-08-29 00:09:43.205000+00:00,
sub_1PszIDFCPJnn9IgIEGceqWod,il_tmp_1f8558FCPJnn9IgIcfd2658c,16499,usd,1 × Subscription (Annual) (Tier 1 at $164.99 / year),True,True,{},2025-08-29 03:45:04+00:00,2026-08-29 03:45:04+00:00,False,1,subscription,price_1LAetfFCPJnn9IgIn72MHBKu,price_1LAetfFCPJnn9IgIn72MHBKu,,si_QkUG3RXEfXKVpY,2024-08-30 00:12:21.323000+00:00,
sub_1PtYXlFCPJnn9IgIDcIWGYnY,il_tmp_186701FCPJnn9IgI6659ceb4,16499,usd,1 × Subscription (Annual) (Tier 1 at $164.99 / year),True,True,{},2025-08-30 17:23:29+00:00,2026-08-30 17:23:29+00:00,False,1,subscription,price_1LAetfFCPJnn9IgIn72MHBKu,price_1LAetfFCPJnn9IgIn72MHBKu,,si_Ql4hl6Kbu4hkyi,2024-08-31 00:13:09.257000+00:00,
