field_id,form_id,id,ref,label,attachment_type,attachment_href,attachment_property_description,_fivetran_synced,_fivetran_start,_fivetran_end,_fivetran_active
pNjpuYlfjTwQ,TlsjoIys,NPCTLDPA4RFK,40c60c27-9aac-4243-84d2-c8a69919cc82,4,,,,2023-05-09 15:55:23.777000+00:00,2023-04-21 19:05:33.918000+00:00,9999-12-31 23:59:59.999000+00:00,True
zXpDnD4f7JHl,MKXagAlh,0GU4TxysPiXT,56b14458-f8ab-47b9-8159-4d5bef5664c7,(1) Did Not Meet Expectations,,,,2023-05-09 15:57:28.725000+00:00,2021-07-22 14:55:18.641000+00:00,9999-12-31 23:59:59.999000+00:00,True
6mAmsOwQ15Oa,qVTFVRU8,OF2knrbM2VPQ,d975e42f-94b7-4942-b220-df60dcffeb0e,11,,,,2023-05-09 15:56:07.251000+00:00,2022-06-25 19:03:31.223000+00:00,9999-12-31 23:59:59.999000+00:00,True
6O3vVgCULphx,v5fs4MLL,CLzfWS7smS6C,6e38a5f3-3ac4-48ac-820a-50941c4ca2fa,Guardian - Pink $19.99,image,https://images.typeform.com/images/XWFjiSbd9eHW,Samsung A32 - Guardian Case - Pink,2023-05-09 15:55:43.786000+00:00,2022-12-09 22:00:17.983000+00:00,9999-12-31 23:59:59.999000+00:00,True
yDUlSrqTHGLS,YzlOKAhR,Ep78tXiT45Ev,690cf677-bffe-45ed-8b36-ca6231f74206,Under 7,,,,2023-05-09 15:56:53.567000+00:00,2021-09-14 16:52:12.761000+00:00,9999-12-31 23:59:59.999000+00:00,True
3RYH4hc8iMhK,XsezE0qD,eInU35vwJGNN,5ef5ee1c-6fac-4ade-8b52-f9a46cec01d2,Grow ($14.99/month + Full Feature Set),,,,2023-05-09 15:56:18.372000+00:00,2022-06-15 17:07:46.599000+00:00,9999-12-31 23:59:59.999000+00:00,True
aVTtif2V8dLo,UKxdVnQv,AJEOiRdNvp1j,a8a01707-47a9-45d1-8f82-5e5a522fd1f0,"*Switch carriers.* We'll send you a Mint SIM kit, on us. Benefit 1: This phone works on Mint because Mint's on the T-Mobile network, so you don't need to do anything. Benefit 2: Mint's plans start at $15 a month, and are perfect for kids.",,,,2023-05-09 15:55:59.800000+00:00,2022-07-12 19:11:56.721000+00:00,9999-12-31 23:59:59.999000+00:00,True
vZcGAlJLAcFx,vgBnsZ5t,VkLJp3SvEDlW,e07d82a3-4756-45b3-9adb-0733a2712074,All the time,,,,2023-05-09 15:57:40.254000+00:00,2021-04-13 19:03:18.853000+00:00,9999-12-31 23:59:59.999000+00:00,True
bbb7HMf31Ix9,XUa9ggXY,rgjPm7Qg7KwN,41e42f3c-63f3-4f84-97ce-478d808d5c36,14,,,,2023-05-09 15:57:34.443000+00:00,2021-05-21 20:28:16.020000+00:00,9999-12-31 23:59:59.999000+00:00,True
1eKX5C3IGMe4,TlsjoIys,fK5J0ELzyaiS,d259bea9-662a-4d3e-a30f-890d8aa8a047,1,,,,2023-05-09 15:55:23.717000+00:00,2023-04-21 19:05:33.918000+00:00,9999-12-31 23:59:59.999000+00:00,True
