form_id,id,form_parent_field_id,ref,title,type,property_description,property_button_text,property_shape,property_structure,property_separator,property_currency,property_default_country_code,property_allow_multiple_selection,property_randomize,property_allow_other_choice,property_vertical_alignment,property_supersized,property_show_labels,property_alphabetical_order,property_hide_marks,property_start_at_one,property_show_button,property_price_type,property_price_value,property_label_left,property_label_right,property_label_center,layout_type,layout_placement,layout_attachment_type,layout_attachment_href,layout_attachment_scale,layout_attachment_property_brightness,layout_attachment_property_description,layout_attachment_property_focal_point_x,layout_attachment_property_focal_point_y,validation_required,validation_max_length,validation_min_value,validation_max_value,validation_min_selection,validation_max_selection,_fivetran_synced,_fivetran_start,_fivetran_end,_fivetran_active
prVoxNf9,6rFbcKc6g02d,b5bBpNNm5DKA,fb987b21-18de-4b9a-b638-c61050fa226e,How do you rate yourself in Creating an Advertisement on Twitter?,opinion_scale,"
",,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,False,,,,,,2023-05-09 15:57:30.548000+00:00,2021-07-12 21:48:13.416000+00:00,9999-12-31 23:59:59.999000+00:00,True
Wez0q1nI,hnb6AnFxnXKx,A4H6S63OhvVa,8648c3b729fcae5e,"Give us some context about your background. We don't need a novel. What's your 3-5 sentence story?

",long_text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,2023-05-09 15:58:12.277000+00:00,2023-03-30 19:05:43.137000+00:00,9999-12-31 23:59:59.999000+00:00,True
e4ufGQWR,C0ZG0IKingYv,,f85401ac-55d8-466b-8c8f-4d1e1974ca45,https://www.pinwheel.com,THANKYOU_SCREEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-09 15:55:57.901000+00:00,2022-10-21 18:35:56.522000+00:00,9999-12-31 23:59:59.999000+00:00,True
vgBnsZ5t,uBtcftLO6yMZ,,2f86ad9c-a43f-4ca1-9661-4a9121541000,You're *Screen Time Flexible*.,THANKYOU_SCREEN,"Congratulations! You're in good company alongside the majority of tech-parents. Screen Time Flexible parents find that ethical tech questions are too frequent and varied to make any one size fits all judgments. As such, Screen Time Flexibles often benefit greatly from tools that let them turn on a dime and change their tech style based on new information.",Check Out Pinwheel,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,2023-05-09 15:57:40.257000+00:00,2021-04-13 19:03:18.853000+00:00,9999-12-31 23:59:59.999000+00:00,True
I7o6uxCF,PfzokuO7BYYn,YLmC0m6sO4Fm,c135d7dc-6e7c-40f4-87fe-350cd58da187,Final comments,long_text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,2023-05-09 15:57:31.723000+00:00,2021-06-07 19:57:37.275000+00:00,9999-12-31 23:59:59.999000+00:00,True
Jr3UXdoc,cJKQXbeAtuK4,,af2dd29f-1caf-4321-a4eb-1b8b2a365bf7,Why or why not? ,long_text,"_""I find Pinwheel to be reliable""_",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,2023-05-09 15:55:59.071000+00:00,2022-11-01 19:12:29.276000+00:00,9999-12-31 23:59:59.999000+00:00,True
Jr3UXdoc,h8f2m6fSGpfj,,01EZ5W56CMC0BSB0T19G9A6DQ0,Thank you for your feedback!,THANKYOU_SCREEN,,again,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,2023-05-09 15:55:59.075000+00:00,2022-11-01 19:12:29.276000+00:00,9999-12-31 23:59:59.999000+00:00,True
lO3sHn,xmI83vX0t1mu,,8f0a7a55-aa51-4c79-904e-f6b1f7ff3701,"The next prompts evaluate the topic of our PROCESS (e.g. meetings, Trello, prioritizing, tools, rhythms)",group,"Remember to *consider our stage*, not some unicorn ""ideal"" process.",Continue,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,2023-05-09 15:58:14.324000+00:00,2021-09-27 20:08:51.511000+00:00,9999-12-31 23:59:59.999000+00:00,True
mP8GzNoV,6MW5bXyBINel,,0cfaf954-7052-448e-ac4e-7bfd94200f42,What will you be using instead of Pinwheel?,multiple_choice,,,,,,,,False,True,True,True,,,,,,,,,,,,,,,,,,,,,False,,,,,,2023-05-09 15:56:24.091000+00:00,2023-02-27 20:42:44.975000+00:00,9999-12-31 23:59:59.999000+00:00,True
HexkhBho,lqAxOhDVY3KP,,01GFNSMJYMK83BS8ZEVFPP6RDW,,THANKYOU_SCREEN,,Create a typeform,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,2023-05-09 15:55:54.919000+00:00,2022-10-28 18:05:04.979000+00:00,9999-12-31 23:59:59.999000+00:00,True
Jr3UXdoc,xNUU65jUyCsL,,a8552261-943c-4fca-a2b2-d5dca705843f,Please provide your email.,email,"_(Optional, if you're okay with us following up with you!)_",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,2023-05-09 15:55:59.075000+00:00,2022-11-01 19:12:29.276000+00:00,9999-12-31 23:59:59.999000+00:00,True
d0dI6dM2,kkH9HzOZ0Rf9,,a8552261-943c-4fca-a2b2-d5dca705843f,Please provide your email.,email,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,2023-05-09 15:56:40.681000+00:00,2022-01-18 22:15:00.551000+00:00,9999-12-31 23:59:59.999000+00:00,True
F8jt6tYB,jFola6y24jTc,DDZrmQ37vuJJ,2af75b89-0089-497e-9858-5ea1aef4c902,Instagram,website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,2023-05-09 15:57:59.397000+00:00,2021-09-29 16:48:40.646000+00:00,9999-12-31 23:59:59.999000+00:00,True
D2ZGBXmn,fO0lkvRGoCop,,ff1de345-769d-4ce7-a6c3-46de0b20295d,"Hi there! 👋 

This brief, anonymous survey is designed to capture your honest feedback about the product team.

There are no wrong answers, just insights we can learn from. 😊",WELCOME_SCREEN,,Start,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,2023-05-09 15:55:22.711000+00:00,2023-05-08 19:11:24.487000+00:00,9999-12-31 23:59:59.999000+00:00,True
D2ZGBXmn,P4kG5SyBS4Md,,110faa93-8aee-4f9a-a3f3-74493850d979,"First, what team do you belong to? 😊 ",multiple_choice,,,,,,,,False,False,False,True,,,,,,,,,,,,,,,,,,,,,False,,,,,,2023-05-09 15:55:22.675000+00:00,2023-05-08 19:11:24.487000+00:00,9999-12-31 23:59:59.999000+00:00,True
Wez0q1nI,SN80oRdZ79xU,,bbb7ba51-abb5-48bf-9269-aefe468fc37b,Are you planning to come in-person and stay in the private bedroom provided in the Austin Hill Country? ,multiple_choice,"This question does not affect acceptance, its just for logistical and planning purposes only.",,,,,,,False,False,True,True,,,,,,,,,,,,,,,,,,,,,False,,,,,,2023-05-09 15:58:12.282000+00:00,2023-03-30 19:05:43.137000+00:00,9999-12-31 23:59:59.999000+00:00,True
CeKmJj5Q,L46scjtTQ4q6,,5d842137-a1cc-4e79-9d85-3f73a2547d55,Please read the conversation snippet on the left and label the *maximum display of violence* *in ANY message *of the conversation,multiple_choice,"
Violence in this MVP scoping includes both potential harm to others and harm to oneself. 

Note: outbound/inbound is relative to Pinwheel phone.",,,,,,,False,False,False,True,,,,,,,,,,,,split,left,image,https://images.typeform.com/images/fD5ZhbtARVpR,,,6,,,False,,,,,,2023-05-09 15:55:58.707000+00:00,2022-10-18 17:36:56.171000+00:00,9999-12-31 23:59:59.999000+00:00,True
CboEYzb7,9ogOjUiD486k,,f12190ea-82e8-4e7e-999f-dc3765073f1a,2. General Parenting Questions,group,Not facts. Just perceptions. ,Continue,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,2023-05-09 15:56:37.928000+00:00,2022-03-09 13:49:27.109000+00:00,9999-12-31 23:59:59.999000+00:00,True
v5fs4MLL,4eVqMXIUEyHg,,4c8a726a-cc52-482b-bc75-c49a0a663431,"Your order details are below. To make changes, click Back.

Click Check Out to enter your payment information. You will have a chance to review your order before submitting payment.",THANKYOU_SCREEN,"Pinwheel Plus 2
Dual Layer Black Case",Check Out,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,2023-05-09 15:55:43.789000+00:00,2022-12-09 22:00:17.983000+00:00,9999-12-31 23:59:59.999000+00:00,True
gmvhyLfk,gUNbJgRsHF3R,,f7d22856-b707-4d6a-b309-84ec5de6cffe,What age(s) are your children that are using Pinwheel?,multiple_choice,_(Optional)_,,,,,,,True,False,True,True,,,,,,,,,,,,,,,,,,,,,False,,,,,,2023-05-09 15:56:41.846000+00:00,2022-03-06 03:43:59.512000+00:00,9999-12-31 23:59:59.999000+00:00,True
Txo4Ri0C,MdH7P63T8ULP,,d1d91e2b1ad344dc,How did you hear about Pinwheel? ,multiple_choice,,,,,,,,False,False,False,True,,,,,,,,,,,,,,,,,,,,,False,,,,,,2023-05-09 15:57:32.882000+00:00,2021-06-04 19:38:40.988000+00:00,9999-12-31 23:59:59.999000+00:00,True
xaHb3xw2,hA2yVzgL53Hv,,73eff861-3ad6-4e40-88cd-fb7171496732,Would you like to add another case to your order? Or continue to shipping details?,multiple_choice,,,,,,,,False,False,False,True,,,,,,,,,,,,,,,,,,,,,True,,,,,,2023-05-09 15:56:46.687000+00:00,2021-10-20 01:16:14.356000+00:00,9999-12-31 23:59:59.999000+00:00,True
XsezE0qD,ncQjjEoleRFl,,56b9be96-a364-48cd-9bca-3088a40a6d4a,"May we have your phone number, please?",short_text,"If you prefer to communicate via text rather than email, enter your phone number. (Or whatever our reason is for wanting phone number)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,2023-05-09 15:56:18.371000+00:00,2022-06-15 17:07:46.599000+00:00,9999-12-31 23:59:59.999000+00:00,True
XsezE0qD,DefaultTyScreen,,default_tys,"Thanks for completing this typeform
Now *create your own* — it's free, easy, & beautiful",THANKYOU_SCREEN,,Create a *typeform*,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,2023-05-09 15:56:18.382000+00:00,2022-06-15 17:07:46.599000+00:00,9999-12-31 23:59:59.999000+00:00,True
bnMZx3gX,atFa153fmZc5,,6d762ec8-715b-4566-9154-9e8b5115eae6,How likely are you to recommend we do this event again?,opinion_scale,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,True,,,,,,2023-05-09 15:56:37.530000+00:00,2022-03-17 02:41:10.735000+00:00,9999-12-31 23:59:59.999000+00:00,True
WtnwWfU9,sugjH41DMQXQ,,d0c06028-c458-4a98-9bf2-f56928226893,Is there information you'd like to *see less of* in your Newsletter?,long_text,What's not helpful to you?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,2023-05-09 15:56:43.020000+00:00,2022-03-08 19:16:55.484000+00:00,9999-12-31 23:59:59.999000+00:00,True
vDskpIgg,P06qaQnztFQD,,59b5c527-ce4e-41a7-91cc-512e7b4d82a9,Thank you for your feedback!,THANKYOU_SCREEN,,again,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,2023-05-09 15:57:37.718000+00:00,2022-02-22 19:27:18.099000+00:00,9999-12-31 23:59:59.999000+00:00,True
iiCu08iz,DefaultTyScreen,,default_tys,"Thanks for completing this typeform
Now *create your own* — it's free, easy, & beautiful",THANKYOU_SCREEN,,Create a *typeform*,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,2023-05-09 15:56:59.866000+00:00,2021-09-03 11:35:09.640000+00:00,9999-12-31 23:59:59.999000+00:00,True
bVLUqNNk,DefaultTyScreen,,default_tys,"Thanks for completing this typeform
Now *create your own* — it's free, easy, & beautiful",THANKYOU_SCREEN,,Create a *typeform*,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,2023-05-09 15:55:36.978000+00:00,2023-02-03 12:11:12.956000+00:00,9999-12-31 23:59:59.999000+00:00,True
Jr3UXdoc,nv95Ihq5G8Hz,,01EZ5W56CMBTHAZ9N683Z8YWGJ,How disappointed would you be if Pinwheel no longer existed?,multiple_choice,,,,,,,,False,False,False,True,,,,,,,,,,,,,,,,,,,,,True,,,,,,2023-05-09 15:55:59.069000+00:00,2022-11-01 19:12:29.276000+00:00,9999-12-31 23:59:59.999000+00:00,True
o12nvR2G,DefaultTyScreen,,default_tys,"Thanks for completing this typeform
Now *create your own* — it's free, easy, & beautiful",THANKYOU_SCREEN,,Create a *typeform*,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,2023-05-09 15:55:37.854000+00:00,2023-02-06 11:21:40.831000+00:00,9999-12-31 23:59:59.999000+00:00,True
wDlqAkFc,zCcVSh3Pqp1E,BuM2JhlCdc9r,edc0f61e-5918-4e31-9687-e86e71bee375,Please give a rating,opinion_scale,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,False,,,,,,2023-05-09 15:58:11.333000+00:00,2020-07-30 22:08:32.066000+00:00,9999-12-31 23:59:59.999000+00:00,True
cREUGF3B,lL0mm4sKkQzg,,4593393e3fa9f0aa,What would you *most want* in a future webinar?,multiple_choice,,,,,,,,False,False,False,True,,,,,,,,,,,,,,,,,,,,,False,,,,,,2023-05-09 15:57:36.582000+00:00,2021-05-06 16:50:14.381000+00:00,9999-12-31 23:59:59.999000+00:00,True
e4ufGQWR,DefaultTyScreen,,default_tys,"Thanks for completing this typeform
Now *create your own* — it's free, easy, & beautiful",THANKYOU_SCREEN,,Create a *typeform*,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,2023-05-09 15:55:57.901000+00:00,2022-10-21 18:35:56.522000+00:00,9999-12-31 23:59:59.999000+00:00,True
MKXagAlh,DefaultTyScreen,,default_tys,"Thanks for completing this typeform
Now *create your own* — it's free, easy, & beautiful",THANKYOU_SCREEN,,Create a *typeform*,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,2023-05-09 15:57:28.729000+00:00,2021-07-22 14:55:18.641000+00:00,9999-12-31 23:59:59.999000+00:00,True
LzAPLKMT,DefaultTyScreen,,default_tys,"Thanks for completing this typeform
Now *create your own* — it's free, easy, & beautiful",THANKYOU_SCREEN,,Create a *typeform*,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,2023-05-09 15:56:38.338000+00:00,2022-03-08 01:20:51.009000+00:00,9999-12-31 23:59:59.999000+00:00,True
WtnwWfU9,gyZFhi2LsdvM,,5f574768-a020-4488-9baf-c17e2343c515,"Tell us what you think of the 
Pinwheel Newsletter!",WELCOME_SCREEN,"Our Pinwheel Team works hard on your Newsletter every month! 
We we want to learn from what you see. ",Start,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,2023-05-09 15:56:43.022000+00:00,2022-03-08 19:16:55.484000+00:00,9999-12-31 23:59:59.999000+00:00,True
D2ZGBXmn,FPTVRXSSbK7c,,6ff4ee4a-f0ce-41ac-aff6-9017ba723842,The product team prioritizes the things that are most important to customers.,matrix,_Product team = Noah + Greta_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-09 15:55:22.697000+00:00,2023-05-08 19:11:24.487000+00:00,9999-12-31 23:59:59.999000+00:00,True
