field,form_id,_fivetran_synced,_fivetran_start,_fivetran_end,_fivetran_active
email,e7hRQtSH,2023-05-09 15:55:47.560000+00:00,2023-03-02 21:15:53.713000+00:00,9999-12-31 23:59:59.999000+00:00,True
email,QCwykDBd,2023-06-20 20:30:21.658000+00:00,2023-06-20 17:00:22.740000+00:00,9999-12-31 23:59:59.999000+00:00,True
accountid,PNWzUBMi,2023-07-07 02:30:09.277000+00:00,2023-07-07 00:48:10.360000+00:00,9999-12-31 23:59:59.999000+00:00,True
email,PNWzUBMi,2023-07-07 02:30:09.278000+00:00,2023-07-07 00:48:10.360000+00:00,9999-12-31 23:59:59.999000+00:00,True
email,mP8GzNoV,2023-05-09 15:56:24.088000+00:00,2023-02-27 20:42:44.975000+00:00,9999-12-31 23:59:59.999000+00:00,True
email,fgdJcRKf,2023-05-09 15:55:32.244000+00:00,2023-03-08 16:33:42.649000+00:00,9999-12-31 23:59:59.999000+00:00,True
source,vgBnsZ5t,2023-05-09 15:57:40.253000+00:00,2021-04-13 19:03:18.853000+00:00,9999-12-31 23:59:59.999000+00:00,True
email,sxgX6rXP,2023-05-09 15:55:29.390000+00:00,2023-04-27 22:28:19.957000+00:00,9999-12-31 23:59:59.999000+00:00,True
email,dVIV14sF,2023-05-09 15:55:40.554000+00:00,2023-01-06 20:03:22.218000+00:00,9999-12-31 23:59:59.999000+00:00,True
email,LzxHvwVm,2023-11-22 20:29:31.152000+00:00,2023-11-22 18:54:28.149000+00:00,9999-12-31 23:59:59.999000+00:00,True
email,sGqsMGlv,2024-03-21 20:29:50.893000+00:00,2024-03-21 16:21:19.328000+00:00,9999-12-31 23:59:59.999000+00:00,True
email,vQg4oCT0,2024-04-17 00:01:57.701000+00:00,2024-04-16 16:43:33.304000+00:00,9999-12-31 23:59:59.999000+00:00,True
