response_id,choice_id,choice_text,_fivetran_synced,field_id,ranking
y60gc5c53p6lmedy60f2h3hbbv1h985w,T5fgJG6izVtG,,2023-11-07 14:31:02.087000+00:00,uB5LFDbzlAzB,
zzp7yfhbdn2p7o7nq461zzp7yhdckgok,1AhoNn4JWg3Q,,2023-11-07 14:33:57.217000+00:00,nyTVrrQOwN8H,
w3rt9b9ue3h43vw3rt9ftowhrov89h0q,1aEIEgjYfPmj,,2023-11-07 14:32:17.596000+00:00,nCN9LZXtZhDM,
q1xiyowjx6kr89fk2yxmq1xiyg7a3mhb,E0ieGGpJV0oY,,2023-11-07 14:33:57.218000+00:00,nyTVrrQOwN8H,
ylvm9ntzo1fxr0ylvm906dtmdrhdnrs5,OIqMqoqeHQzU,,2023-11-07 14:31:53.272000+00:00,Ci35vD0lUQfw,
smfh2sny19e5c5vrsmfhldxwjy4y8lek,yqpoOc7DONUB,,2023-11-07 14:34:01.898000+00:00,nyTVrrQOwN8H,
2kw18c9fhgvm3cgffw2kw18v9do51dl6,MznNXayzrjzx,,2023-11-07 14:34:03.836000+00:00,nyTVrrQOwN8H,
y3ch2h52t9wvxgcxu3y3ch2a53q0gt6s,YMkkXnvSxLhX,,2023-11-07 14:31:34.279000+00:00,CFVnrZdExedL,
sc695jr4chfissbis04oycsc695jrdt8,pV3A0eM3cFGc,,2023-11-07 14:34:06.208000+00:00,nyTVrrQOwN8H,
beiogpkg1pv60jsrbbnboypbeiogpch5,MznNXayzrjzx,,2023-11-07 14:33:37.885000+00:00,nyTVrrQOwN8H,
wdyuq9f8rkgr3rh230bzwdyuq9r9ejb2,J5bZMfnELkr8,,2023-11-07 14:33:49.161000+00:00,nyTVrrQOwN8H,
6wbm7e0spa5bu4godbg36wbm7e52fvam,DGzp4NOvdQPG,,2023-11-07 14:31:53.262000+00:00,wEXrIACOc7Lr,
kqjxtzqei3ez633ckqjs9rwymmp7vh82,GREI37NJqhC7,,2023-11-07 14:31:02.078000+00:00,hWYfKvWjPynR,
chkyay911qxff7re12spyrgqrpchkyay,z4Oie0jJBMVi,,2023-11-07 14:34:28.576000+00:00,hr56fnud6o6j,
uovr3bh48ps4szmuovr3dvtezk5p8pgt,LKXSTLL4YfXj,,2023-11-07 14:34:03.819000+00:00,nyTVrrQOwN8H,
8ss3e9f6g3qah9tcgwj8ss34dq6tu052,1AhoNn4JWg3Q,,2023-11-07 14:34:03.841000+00:00,nyTVrrQOwN8H,
